category,pct_mcp_only,pct_aei_api,pct_conv_baseline,delta_mcp_vs_aei,delta_mcp_vs_conv
"Stone Cutters and Carvers, Manufacturing",1.41,7.55,17.41,-6.15,-16.00
Structural Iron and Steel Workers,3.00,9.21,9.69,-6.21,-6.70
Credit Counselors,40.40,46.63,57.22,-6.24,-16.82
Marriage and Family Therapists,30.96,37.29,54.21,-6.33,-23.25
Police and Sheriff's Patrol Officers,9.60,15.94,26.44,-6.34,-16.84
Nanosystems Engineers,24.19,30.61,47.62,-6.42,-23.43
Registered Nurses,12.94,19.43,33.36,-6.49,-20.41
Occupational Therapists,12.43,19.02,40.17,-6.60,-27.75
Anthropologists and Archeologists,14.56,21.19,33.15,-6.63,-18.60
Chiropractors,14.28,20.94,36.39,-6.66,-22.11
Massage Therapists,1.72,8.48,20.80,-6.76,-19.08
Survey Researchers,27.94,34.71,60.41,-6.78,-32.47
Chief Executives,28.53,35.47,50.67,-6.94,-22.14
Models,4.67,11.74,56.20,-7.07,-51.53
"Architects, Except Landscape and Naval",45.89,53.07,63.87,-7.18,-17.98
Mental Health and Substance Abuse Social Workers,23.58,30.86,51.92,-7.28,-28.35
Computer and Information Systems Managers,45.80,53.35,77.59,-7.55,-31.79
Training and Development Specialists,18.81,26.37,60.20,-7.56,-41.39
Boilermakers,3.68,11.29,15.52,-7.61,-11.85
Histotechnologists,2.79,10.54,12.02,-7.75,-9.23
"Poets, Lyricists and Creative Writers",56.08,63.89,87.44,-7.81,-31.36
"Physicians, Pathologists",17.49,25.60,22.36,-8.12,-4.88
Dental Laboratory Technicians,0.88,9.17,14.43,-8.28,-13.55
Solar Photovoltaic Installers,10.97,19.34,37.91,-8.37,-26.94
"Educational, Guidance, and Career Counselors and Advisors",21.00,29.64,40.04,-8.64,-19.03
Allergists and Immunologists,14.89,23.74,30.31,-8.86,-15.42
Nurse Midwives,14.03,23.19,45.91,-9.17,-31.88
Government Property Inspectors and Investigators,19.03,28.20,50.14,-9.17,-31.11
Health Education Specialists,24.84,34.06,25.86,-9.21,-1.02
Family Medicine Physicians,10.40,19.70,21.06,-9.30,-10.66
Investment Fund Managers,56.88,66.18,89.34,-9.30,-32.46
Audiovisual Equipment Installers and Repairers,20.36,29.73,21.33,-9.37,-0.97
Cement Masons and Concrete Finishers,0.00,9.55,16.12,-9.55,-16.12
Molecular and Cellular Biologists,26.12,35.67,48.60,-9.55,-22.48
Dietetic Technicians,29.16,38.91,52.44,-9.74,-23.27
Sales Engineers,41.70,51.57,72.01,-9.87,-30.31
Insurance Sales Agents,36.68,46.68,64.14,-10.00,-27.46
First-Line Supervisors of Housekeeping and Janitorial Workers,15.87,26.20,45.60,-10.33,-29.73
"Directors, Religious Activities and Education",15.33,25.65,60.18,-10.33,-44.85
Financial Quantitative Analysts,60.74,71.15,84.89,-10.41,-24.15
"Career/Technical Education Teachers, Postsecondary",23.31,33.75,32.38,-10.45,-9.08
Prosthodontists,0.00,10.45,18.35,-10.45,-18.35
Lawyers,17.71,28.18,41.80,-10.47,-24.10
Clinical Nurse Specialists,11.75,22.30,47.25,-10.55,-35.50
"Fraud Examiners, Investigators and Analysts",26.31,36.96,68.45,-10.65,-42.14
Accountants and Auditors,35.32,46.01,28.09,-10.69,7.23
Sheet Metal Workers,3.90,14.63,31.58,-10.73,-27.68
Nurse Practitioners,17.48,28.27,40.41,-10.79,-22.93
Computer Hardware Engineers,27.91,38.81,54.59,-10.90,-26.69
Bill and Account Collectors,42.83,54.00,71.85,-11.17,-29.02
First-Line Supervisors of Retail Sales Workers,37.26,48.44,67.18,-11.18,-29.92
Advanced Practice Psychiatric Nurses,16.00,27.19,47.35,-11.19,-31.35
"Judges, Magistrate Judges, and Magistrates",4.44,15.69,24.47,-11.26,-20.03
Materials Scientists,17.93,29.54,54.28,-11.61,-36.35
Film and Video Editors,43.46,55.41,72.00,-11.95,-28.54
Exercise Physiologists,25.79,37.90,50.46,-12.11,-24.67
Personal Financial Advisors,47.82,59.97,79.29,-12.14,-31.47
Travel Agents,50.57,62.84,71.20,-12.26,-20.63
Substance Abuse and Behavioral Disorder Counselors,12.01,24.68,44.51,-12.67,-32.50
"Career/Technical Education Teachers, Secondary School",17.79,30.48,53.33,-12.69,-35.55
"English Language and Literature Teachers, Postsecondary",39.74,52.83,71.86,-13.08,-32.11
First-Line Supervisors of Non-Retail Sales Workers,35.50,49.01,67.92,-13.51,-32.43
"Fine Artists, Including Painters, Sculptors, and Illustrators",30.16,43.74,67.94,-13.58,-37.78
Real Estate Sales Agents,45.65,59.50,78.11,-13.85,-32.47
Psychiatrists,8.49,22.72,44.56,-14.23,-36.07
Camera and Photographic Equipment Repairers,2.68,16.95,34.18,-14.27,-31.51
"Career/Technical Education Teachers, Middle School",19.55,33.83,58.59,-14.28,-39.04
Retail Loss Prevention Specialists,20.63,35.26,43.59,-14.63,-22.96
Dental Assistants,13.49,28.60,38.05,-15.11,-24.55
Mental Health Counselors,25.60,40.82,57.59,-15.21,-31.98
Search Marketing Strategists,57.46,72.72,89.65,-15.26,-32.19
Technical Writers,48.55,63.84,85.76,-15.29,-37.21
Optometrists,3.82,19.12,30.19,-15.30,-26.37
Marketing Managers,47.08,62.85,76.80,-15.77,-29.71
Clinical and Counseling Psychologists,23.11,39.26,28.86,-16.14,-5.74
"Chemistry Teachers, Postsecondary",28.54,44.76,65.95,-16.22,-37.41
Market Research Analysts and Marketing Specialists,60.74,77.33,89.50,-16.58,-28.76
Historians,24.62,41.33,76.04,-16.71,-51.42
Food Scientists and Technologists,17.90,34.61,48.90,-16.72,-31.00
"Special Education Teachers, Secondary School",14.17,31.03,48.57,-16.86,-34.40
Business Intelligence Analysts,68.08,85.24,92.34,-17.16,-24.26
"Biological Science Teachers, Postsecondary",29.12,46.38,74.81,-17.26,-45.69
Intelligence Analysts,35.94,53.44,76.15,-17.51,-40.21
"Mathematical Science Teachers, Postsecondary",35.81,53.52,68.09,-17.72,-32.29
General Internal Medicine Physicians,10.51,28.46,16.70,-17.96,-6.19
"Library Science Teachers, Postsecondary",34.30,52.35,77.66,-18.05,-43.37
"Special Education Teachers, Middle School",14.52,32.60,44.16,-18.07,-29.64
Producers and Directors,26.64,44.72,28.12,-18.08,-1.48
"Dentists, General",5.22,23.48,33.43,-18.26,-28.21
"Pediatricians, General",6.86,25.29,50.52,-18.43,-43.66
"Meeting, Convention, and Event Planners",29.71,48.73,60.62,-19.02,-30.91
"Elementary School Teachers, Except Special Education",19.18,38.60,63.21,-19.42,-44.04
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",31.55,51.43,64.56,-19.88,-33.01
Microbiologists,8.41,29.10,55.44,-20.70,-47.03
"Foreign Language and Literature Teachers, Postsecondary",34.29,56.19,70.20,-21.90,-35.91
"Geography Teachers, Postsecondary",32.13,54.17,73.45,-22.04,-41.32
"Middle School Teachers, Except Special and Career/Technical Education",21.29,43.46,63.59,-22.17,-42.30
"Environmental Science Teachers, Postsecondary",29.59,52.18,72.77,-22.60,-43.19
"Business Teachers, Postsecondary",30.99,53.79,80.38,-22.80,-49.38
Labor Relations Specialists,6.00,28.85,37.62,-22.85,-31.62
"Forestry and Conservation Science Teachers, Postsecondary",28.75,51.86,73.62,-23.11,-44.87
Sales Managers,23.83,47.26,53.40,-23.43,-29.57
"Nursing Instructors and Teachers, Postsecondary",20.91,44.47,59.60,-23.56,-38.69
Financial Managers,48.46,72.07,25.11,-23.61,23.36
"Claims Adjusters, Examiners, and Investigators",25.23,48.91,33.75,-23.68,-8.52
"Sociology Teachers, Postsecondary",29.08,52.87,72.41,-23.79,-43.33
"Family and Consumer Sciences Teachers, Postsecondary",29.93,54.34,31.46,-24.41,-1.53
Naturopathic Physicians,10.96,35.59,47.39,-24.64,-36.43
Physician Assistants,15.38,40.25,48.10,-24.87,-32.72
"Computer Science Teachers, Postsecondary",26.17,51.46,79.16,-25.30,-52.99
Self-Enrichment Teachers,20.80,46.27,27.88,-25.47,-7.07
"Engineering Teachers, Postsecondary",30.29,55.80,82.86,-25.51,-52.57
Real Estate Brokers,34.90,60.66,90.16,-25.76,-55.26
Public Relations Specialists,43.85,69.72,83.21,-25.87,-39.36
"Communications Teachers, Postsecondary",28.47,54.81,78.83,-26.35,-50.36
Cytotechnologists,3.98,30.39,45.93,-26.41,-41.95
"Art, Drama, and Music Teachers, Postsecondary",22.88,49.45,72.25,-26.57,-49.37
Curators,32.87,60.54,84.17,-27.67,-51.29
"Secondary School Teachers, Except Special and Career/Technical Education",20.23,48.06,59.76,-27.83,-39.53
"Anthropology and Archeology Teachers, Postsecondary",28.46,56.89,70.86,-28.42,-42.39
"Psychology Teachers, Postsecondary",24.36,53.07,75.88,-28.71,-51.52
Training and Development Managers,30.87,59.78,85.71,-28.91,-54.85
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",22.02,51.00,24.89,-28.98,-2.87
"Criminal Justice and Law Enforcement Teachers, Postsecondary",27.00,56.15,71.01,-29.15,-44.01
"Recreation and Fitness Studies Teachers, Postsecondary",28.35,57.53,69.59,-29.18,-41.24
Sociologists,24.19,53.48,70.51,-29.29,-46.32
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",29.36,58.90,76.37,-29.54,-47.00
"Agricultural Sciences Teachers, Postsecondary",26.08,55.78,75.45,-29.70,-49.37
"Health Specialties Teachers, Postsecondary",24.34,54.47,76.86,-30.13,-52.52
"History Teachers, Postsecondary",29.69,60.52,79.93,-30.83,-50.24
Economists,27.10,59.52,82.53,-32.42,-55.44
"Architecture Teachers, Postsecondary",25.62,58.13,77.55,-32.51,-51.93
"Physics Teachers, Postsecondary",27.45,60.03,80.44,-32.58,-52.98
"Philosophy and Religion Teachers, Postsecondary",29.74,62.34,75.68,-32.60,-45.94
Political Scientists,8.10,40.71,72.79,-32.61,-64.69
First-Line Supervisors of Construction Trades and Extraction Workers,14.05,48.68,57.06,-34.64,-43.01
Instructional Coordinators,26.87,61.87,49.99,-35.00,-23.12
"Economics Teachers, Postsecondary",28.41,63.62,81.89,-35.21,-53.49
"Social Work Teachers, Postsecondary",26.66,62.03,75.98,-35.37,-49.32
"Law Teachers, Postsecondary",26.97,63.46,75.25,-36.50,-48.29
"Political Science Teachers, Postsecondary",25.42,62.15,79.99,-36.73,-54.57
"Education Teachers, Postsecondary",26.96,63.85,83.15,-36.89,-56.19
Obstetricians and Gynecologists,8.32,45.53,44.00,-37.21,-35.68
Industrial-Organizational Psychologists,14.01,57.57,66.61,-43.56,-52.60
Actors,10.09,57.76,79.37,-47.66,-69.28
Patient Representatives,22.41,75.13,80.85,-52.72,-58.44
