category,pct_mcp_only,pct_aei_api,pct_conv_baseline,delta_mcp_vs_aei,delta_mcp_vs_conv
"Electronics Engineers, Except Computer",34.99,22.35,59.87,12.64,-24.89
Passenger Attendants,33.12,20.51,47.01,12.61,-13.89
"Hotel, Motel, and Resort Desk Clerks",47.35,34.94,55.30,12.40,-7.95
Human Resources Managers,31.01,18.65,52.33,12.36,-21.32
"Control and Valve Installers and Repairers, Except Mechanical Door",13.59,1.24,24.17,12.35,-10.59
Nuclear Monitoring Technicians,19.13,6.79,42.22,12.34,-23.09
Art Therapists,16.46,4.15,52.25,12.31,-35.79
"Securities, Commodities, and Financial Services Sales Agents",65.04,52.76,29.00,12.28,36.04
"Shipping, Receiving, and Inventory Clerks",41.24,28.97,25.81,12.27,15.43
Radiation Therapists,16.50,4.26,19.52,12.25,-3.02
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",12.17,0.00,15.06,12.17,-2.89
Environmental Engineers,16.47,4.30,37.92,12.17,-21.45
School Bus Monitors,12.08,0.00,36.95,12.08,-24.86
"Grinding and Polishing Workers, Hand",12.06,0.00,14.29,12.06,-2.22
Microsystems Engineers,32.47,20.51,43.17,11.97,-10.70
Landscape Architects,17.76,5.97,44.00,11.80,-26.24
Operations Research Analysts,53.64,41.86,70.69,11.78,-17.06
"Graders and Sorters, Agricultural Products",11.72,0.00,10.06,11.72,1.67
Mechanical Door Repairers,11.71,0.00,11.38,11.71,0.33
"Special Education Teachers, Kindergarten",19.02,7.31,20.58,11.71,-1.56
Automotive Engineering Technicians,36.81,25.11,49.03,11.70,-12.22
Aviation Inspectors,11.70,0.00,15.13,11.70,-3.43
Shuttle Drivers and Chauffeurs,16.58,4.97,16.14,11.60,0.43
Community Health Workers,24.02,12.43,41.39,11.59,-17.37
Treasurers and Controllers,39.04,27.51,47.63,11.53,-8.59
Biologists,20.68,9.17,58.37,11.50,-37.70
Manufacturing Engineers,33.26,21.77,53.38,11.50,-20.12
Gambling Managers,19.41,7.92,21.88,11.49,-2.47
Sports Medicine Physicians,12.62,1.17,25.31,11.45,-12.69
Forensic Science Technicians,26.02,14.61,50.01,11.41,-23.99
Carpet Installers,11.37,0.00,15.76,11.37,-4.38
Logisticians,28.99,17.63,58.84,11.36,-29.85
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",15.55,4.19,42.84,11.36,-27.29
"Cooks, Fast Food",11.27,0.00,40.84,11.27,-29.57
Cardiovascular Technologists and Technicians,15.89,4.69,27.72,11.20,-11.82
Mechanical Engineers,30.42,19.23,45.83,11.19,-15.42
Hydroelectric Production Managers,11.17,0.00,10.08,11.17,1.09
"Orthopedic Surgeons, Except Pediatric",11.12,0.00,13.62,11.12,-2.50
Landscaping and Groundskeeping Workers,11.10,0.00,5.83,11.10,5.27
"Explosives Workers, Ordnance Handling Experts, and Blasters",11.02,0.00,5.05,11.02,5.97
Conservation Scientists,10.98,0.00,14.57,10.98,-3.59
Sewing Machine Operators,10.69,0.00,11.19,10.69,-0.50
Anesthesiologist Assistants,10.64,0.00,10.49,10.64,0.16
"Layout Workers, Metal and Plastic",10.62,0.00,18.20,10.62,-7.58
Bioinformatics Technicians,74.28,63.66,87.67,10.61,-13.39
Transit and Railroad Police,10.49,0.00,24.91,10.49,-14.42
Information Technology Project Managers,58.82,48.35,67.85,10.47,-9.04
Non-Destructive Testing Specialists,27.71,17.25,40.30,10.46,-12.59
"Cutters and Trimmers, Hand",10.44,0.00,10.93,10.44,-0.49
"Environmental Science and Protection Technicians, Including Health",18.04,7.61,29.56,10.44,-11.52
"Farmers, Ranchers, and Other Agricultural Managers",14.74,4.31,12.11,10.43,2.62
Physical Therapist Aides,10.42,0.00,10.07,10.42,0.35
Automotive Service Technicians and Mechanics,16.32,5.94,18.91,10.38,-2.58
Dredge Operators,10.32,0.00,0.00,10.32,10.32
Nannies,14.01,3.74,37.78,10.27,-23.76
Medical and Health Services Managers,35.81,25.69,47.27,10.13,-11.46
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",13.34,3.23,7.87,10.10,5.46
"Cooks, Restaurant",10.46,0.40,46.27,10.05,-35.81
Security Management Specialists,25.84,15.79,49.70,10.05,-23.87
Retail Salespersons,47.68,37.64,57.36,10.05,-9.68
Nursing Assistants,10.03,0.00,14.84,10.03,-4.81
Animal Scientists,10.00,0.00,38.75,10.00,-28.75
"Meter Readers, Utilities",32.78,22.84,42.77,9.94,-9.99
