category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,rank_human_conv,intop_human_conv,rank_aei_api,intop_aei_api,rank_microsoft,intop_microsoft,rank_mcp,intop_mcp,confidence_count,confidence_tier
Accountants and Auditors,28.09,46.01,28.09,35.32,505.00,0,115.00,0,341.00,0,228.00,0,0,None (0/4)
Actors,63.20,57.76,14.19,10.09,57.00,0,46.00,0,700.00,0,702.00,0,0,None (0/4)
Actuaries,41.57,1.54,27.11,19.31,279.00,0,627.00,0,361.00,0,488.00,0,0,None (0/4)
Acupuncturists,19.67,5.05,7.33,10.04,651.00,0,551.00,0,846.00,0,705.00,0,0,None (0/4)
Acute Care Nurses,29.87,12.74,19.58,10.95,466.00,0,385.00,0,568.00,0,685.00,0,0,None (0/4)
Adapted Physical Education Specialists,33.35,2.74,26.97,6.31,410.00,0,603.00,0,369.00,0,796.00,0,0,None (0/4)
Adhesive Bonding Machine Operators and Tenders,21.57,0.00,19.24,19.56,602.00,0,640.00,0,577.00,0,482.00,0,0,None (0/4)
"Administrative Law Judges, Adjudicators, and Hearing Officers",36.96,18.40,24.41,13.04,355.00,0,315.00,0,431.00,0,634.00,0,0,None (0/4)
Administrative Services Managers,21.21,1.85,21.00,37.83,610.00,0,622.00,0,528.00,0,192.00,0,0,None (0/4)
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.89,51.00,24.89,22.02,554.00,0,84.00,0,419.00,0,442.00,0,0,None (0/4)
Advanced Practice Psychiatric Nurses,39.46,27.19,14.67,16.00,310.00,0,232.00,0,685.00,0,554.00,0,0,None (0/4)
Advertising Sales Agents,65.16,44.12,50.03,52.27,40.00,0,123.00,0,14.00,1,100.00,0,1,Single-source (1/4)
Advertising and Promotions Managers,41.12,42.68,33.14,42.67,283.00,0,130.00,0,242.00,0,156.00,0,0,None (0/4)
Aerospace Engineering and Operations Technologists and Technicians,36.82,10.75,36.82,27.79,359.00,0,417.00,0,170.00,0,337.00,0,0,None (0/4)
Aerospace Engineers,26.61,2.54,24.41,23.15,524.00,0,608.00,0,432.00,0,417.00,0,0,None (0/4)
"Agents and Business Managers of Artists, Performers, and Athletes",47.46,33.71,28.24,33.41,190.00,0,183.00,0,339.00,0,247.00,0,0,None (0/4)
Agricultural Engineers,38.39,0.00,30.44,22.98,329.00,0,640.00,0,297.00,0,425.00,0,0,None (0/4)
Agricultural Equipment Operators,16.24,0.00,16.24,2.25,714.00,0,640.00,0,638.00,0,864.00,0,0,None (0/4)
Agricultural Inspectors,25.14,6.78,12.02,8.46,549.00,0,511.00,0,757.00,0,748.00,0,0,None (0/4)
"Agricultural Sciences Teachers, Postsecondary",64.33,55.78,33.02,26.08,45.00,0,53.00,0,246.00,0,367.00,0,0,None (0/4)
Agricultural Technicians,20.85,6.49,16.92,10.35,618.00,0,519.00,0,619.00,0,698.00,0,0,None (0/4)
Air Traffic Controllers,30.21,1.83,25.44,26.85,463.00,0,625.00,0,407.00,0,353.00,0,0,None (0/4)
Aircraft Cargo Handling Supervisors,20.85,0.00,20.85,28.74,617.00,0,640.00,0,534.00,0,320.00,0,0,None (0/4)
Aircraft Mechanics and Service Technicians,14.03,0.00,14.03,9.01,768.00,0,640.00,0,704.00,0,737.00,0,0,None (0/4)
Aircraft Service Attendants,14.25,0.00,14.25,2.35,764.00,0,640.00,0,699.00,0,862.00,0,0,None (0/4)
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",11.28,5.54,10.52,1.31,811.00,0,537.00,0,790.00,0,886.00,0,0,None (0/4)
Airfield Operations Specialists,28.38,10.58,27.12,17.78,502.00,0,419.00,0,359.00,0,518.00,0,0,None (0/4)
"Airline Pilots, Copilots, and Flight Engineers",14.75,0.88,14.43,25.26,754.00,0,633.00,0,696.00,0,379.00,0,0,None (0/4)
Allergists and Immunologists,22.01,23.74,13.20,14.89,597.00,0,259.00,0,731.00,0,580.00,0,0,None (0/4)
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.54,0.00,0.54,3.84,915.00,0,640.00,0,914.00,0,839.00,0,0,None (0/4)
Amusement and Recreation Attendants,40.93,7.49,37.48,38.31,285.00,0,490.00,0,157.00,0,186.00,0,0,None (0/4)
Anesthesiologist Assistants,10.49,0.00,10.13,10.64,828.00,0,640.00,0,799.00,0,689.00,0,0,None (0/4)
Anesthesiologists,5.60,0.39,5.14,5.21,884.00,0,638.00,0,876.00,0,816.00,0,0,None (0/4)
Animal Breeders,47.23,0.00,42.89,13.04,192.00,0,640.00,0,66.00,0,633.00,0,0,None (0/4)
Animal Caretakers,39.56,7.98,39.56,22.69,309.00,0,473.00,0,130.00,0,433.00,0,0,None (0/4)
Animal Control Workers,47.12,15.54,40.37,13.92,195.00,0,345.00,0,112.00,0,614.00,0,0,None (0/4)
Animal Scientists,38.75,0.00,20.90,10.00,322.00,0,640.00,0,530.00,0,708.00,0,0,None (0/4)
Animal Trainers,10.84,3.09,5.59,6.63,821.00,0,598.00,0,868.00,0,791.00,0,0,None (0/4)
Anthropologists and Archeologists,33.15,21.19,33.15,14.56,416.00,0,285.00,0,241.00,0,593.00,0,0,None (0/4)
"Anthropology and Archeology Teachers, Postsecondary",60.49,56.89,32.93,28.46,76.00,0,49.00,0,249.00,0,328.00,0,0,None (0/4)
Appraisers and Assessors of Real Estate,26.63,29.17,26.63,29.84,523.00,0,214.00,0,378.00,0,295.00,0,0,None (0/4)
Appraisers of Personal and Business Property,41.67,0.00,41.67,33.56,275.00,0,640.00,0,88.00,0,245.00,0,0,None (0/4)
"Arbitrators, Mediators, and Conciliators",35.99,20.51,18.40,14.71,372.00,0,291.00,0,592.00,0,587.00,0,0,None (0/4)
"Architects, Except Landscape and Naval",53.15,53.07,29.93,45.89,135.00,0,72.00,0,308.00,0,134.00,0,0,None (0/4)
Architectural and Civil Drafters,45.47,7.15,45.47,56.15,218.00,0,500.00,0,40.00,0,77.00,0,0,None (0/4)
Architectural and Engineering Managers,29.00,38.81,17.32,35.92,490.00,0,145.00,0,611.00,0,214.00,0,0,None (0/4)
"Architecture Teachers, Postsecondary",67.16,58.13,30.41,25.62,31.00,0,45.00,0,299.00,0,373.00,0,0,None (0/4)
Archivists,69.98,37.22,40.59,44.74,18.00,1,156.00,0,106.00,0,138.00,0,1,Single-source (1/4)
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",65.15,58.90,33.29,29.36,41.00,0,43.00,0,236.00,0,309.00,0,0,None (0/4)
Art Directors,57.44,31.33,38.48,34.58,97.00,0,198.00,0,140.00,0,236.00,0,0,None (0/4)
Art Therapists,49.14,4.15,21.03,16.46,177.00,0,575.00,0,527.00,0,547.00,0,0,None (0/4)
"Art, Drama, and Music Teachers, Postsecondary",60.40,49.45,30.88,22.88,78.00,0,91.00,0,293.00,0,428.00,0,0,None (0/4)
Astronomers,50.07,16.52,23.17,33.51,164.00,0,333.00,0,463.00,0,246.00,0,0,None (0/4)
Athletes and Sports Competitors,43.35,9.61,37.03,7.01,247.00,0,439.00,0,165.00,0,783.00,0,0,None (0/4)
Athletic Trainers,29.12,15.76,21.25,17.61,486.00,0,343.00,0,521.00,0,528.00,0,0,None (0/4)
Atmospheric and Space Scientists,54.80,16.99,32.43,55.89,118.00,0,329.00,0,261.00,0,81.00,0,0,None (0/4)
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",54.94,51.43,31.14,31.55,117.00,0,82.00,0,288.00,0,269.00,0,0,None (0/4)
Audio and Video Technicians,24.21,20.52,24.21,38.90,559.00,0,290.00,0,437.00,0,181.00,0,0,None (0/4)
Audiologists,21.24,0.00,20.68,7.48,608.00,0,640.00,0,539.00,0,776.00,0,0,None (0/4)
Audiovisual Equipment Installers and Repairers,21.33,29.73,21.33,20.36,607.00,0,210.00,0,519.00,0,473.00,0,0,None (0/4)
Automotive Body and Related Repairers,11.71,0.00,11.71,1.89,806.00,0,640.00,0,764.00,0,872.00,0,0,None (0/4)
Automotive Engineering Technicians,46.02,25.11,30.30,36.81,207.00,0,251.00,0,302.00,0,200.00,0,0,None (0/4)
Automotive Engineers,46.10,11.56,40.34,32.03,204.00,0,400.00,0,113.00,0,266.00,0,0,None (0/4)
Automotive Glass Installers and Repairers,4.75,0.00,4.75,0.00,895.00,0,640.00,0,888.00,0,902.00,0,0,None (0/4)
Automotive Service Technicians and Mechanics,18.91,5.94,18.91,16.32,665.00,0,530.00,0,581.00,0,549.00,0,0,None (0/4)
Automotive and Watercraft Service Attendants,8.36,9.81,6.49,15.92,856.00,0,434.00,0,857.00,0,556.00,0,0,None (0/4)
Aviation Inspectors,15.13,0.00,15.13,11.70,743.00,0,640.00,0,669.00,0,664.00,0,0,None (0/4)
Avionics Technicians,29.42,0.00,24.26,21.48,477.00,0,640.00,0,436.00,0,450.00,0,0,None (0/4)
Baggage Porters and Bellhops,26.30,10.26,24.50,26.63,530.00,0,426.00,0,429.00,0,359.00,0,0,None (0/4)
Bailiffs,33.16,18.05,33.16,12.36,414.00,0,320.00,0,239.00,0,649.00,0,0,None (0/4)
Bakers,25.05,0.00,19.84,22.22,552.00,0,640.00,0,559.00,0,438.00,0,0,None (0/4)
Barbers,10.65,5.00,9.94,11.69,825.00,0,552.00,0,806.00,0,666.00,0,0,None (0/4)
Baristas,43.44,23.07,35.90,20.14,245.00,0,268.00,0,179.00,0,476.00,0,0,None (0/4)
Bartenders,26.49,7.90,21.63,12.71,525.00,0,478.00,0,504.00,0,642.00,0,0,None (0/4)
Bicycle Repairers,25.44,0.00,25.44,9.19,543.00,0,640.00,0,409.00,0,731.00,0,0,None (0/4)
Bill and Account Collectors,52.28,54.00,26.84,42.83,148.00,0,64.00,0,371.00,0,155.00,0,0,None (0/4)
Billing and Posting Clerks,36.77,40.60,36.77,63.66,362.00,0,137.00,0,172.00,0,41.00,0,0,None (0/4)
Biochemists and Biophysicists,43.30,22.86,39.07,22.14,250.00,0,269.00,0,134.00,0,440.00,0,0,None (0/4)
Bioengineers and Biomedical Engineers,40.11,19.99,40.11,35.97,300.00,0,298.00,0,119.00,0,211.00,0,0,None (0/4)
Biofuels Processing Technicians,13.88,7.13,6.74,28.54,771.00,0,502.00,0,854.00,0,325.00,0,0,None (0/4)
Biofuels Production Managers,4.10,0.00,4.10,18.20,900.00,0,640.00,0,892.00,0,510.00,0,0,None (0/4)
Biofuels/Biodiesel Technology and Product Development Managers,22.85,0.00,16.40,7.44,582.00,0,640.00,0,632.00,0,777.00,0,0,None (0/4)
Bioinformatics Scientists,59.06,60.31,40.62,59.74,88.00,0,35.00,0,105.00,0,56.00,0,0,None (0/4)
Bioinformatics Technicians,77.29,63.66,41.61,74.28,5.00,1,21.00,1,90.00,0,9.00,1,3,Moderate (3/4)
"Biological Science Teachers, Postsecondary",66.04,46.38,30.08,29.12,35.00,0,113.00,0,305.00,0,313.00,0,0,None (0/4)
Biological Technicians,44.99,21.33,27.12,39.53,227.00,0,284.00,0,358.00,0,177.00,0,0,None (0/4)
Biologists,42.12,9.17,40.25,20.68,267.00,0,447.00,0,116.00,0,465.00,0,0,None (0/4)
Biomass Plant Technicians,8.87,0.00,8.87,18.02,851.00,0,640.00,0,825.00,0,513.00,0,0,None (0/4)
Biomass Power Plant Managers,15.19,2.81,13.83,25.84,740.00,0,601.00,0,714.00,0,369.00,0,0,None (0/4)
Biostatisticians,53.31,32.50,40.80,57.86,134.00,0,193.00,0,100.00,0,65.00,0,0,None (0/4)
Blockchain Engineers,48.02,0.00,48.02,58.66,187.00,0,640.00,0,21.00,1,61.00,0,1,Single-source (1/4)
Boilermakers,10.26,11.29,10.26,3.68,832.00,0,405.00,0,795.00,0,842.00,0,0,None (0/4)
"Bookkeeping, Accounting, and Auditing Clerks",59.22,33.02,40.95,68.48,86.00,0,189.00,0,97.00,0,27.00,1,1,Single-source (1/4)
Brickmasons and Blockmasons,15.65,6.50,15.65,7.15,731.00,0,518.00,0,657.00,0,779.00,0,0,None (0/4)
Bridge and Lock Tenders,0.00,0.00,0.00,22.87,916.00,0,640.00,0,916.00,0,429.00,0,0,None (0/4)
Broadcast Announcers and Radio Disc Jockeys,42.82,23.96,42.82,51.10,257.00,0,258.00,0,69.00,0,109.00,0,0,None (0/4)
Broadcast Technicians,31.60,9.96,22.23,48.32,433.00,0,431.00,0,486.00,0,120.00,0,0,None (0/4)
Brokerage Clerks,64.96,35.42,46.55,57.14,42.00,0,168.00,0,34.00,0,71.00,0,0,None (0/4)
Brownfield Redevelopment Specialists and Site Managers,15.93,0.00,15.93,21.90,724.00,0,640.00,0,650.00,0,443.00,0,0,None (0/4)
Budget Analysts,53.93,7.97,41.32,43.48,128.00,0,474.00,0,94.00,0,150.00,0,0,None (0/4)
"Bus Drivers, School",14.64,0.00,14.64,12.83,756.00,0,640.00,0,687.00,0,641.00,0,0,None (0/4)
"Bus Drivers, Transit and Intercity",22.47,0.00,22.47,24.26,586.00,0,640.00,0,477.00,0,399.00,0,0,None (0/4)
Bus and Truck Mechanics and Diesel Engine Specialists,28.48,1.95,27.65,7.78,500.00,0,619.00,0,347.00,0,768.00,0,0,None (0/4)
Business Continuity Planners,48.15,31.46,35.39,35.68,185.00,0,197.00,0,187.00,0,221.00,0,0,None (0/4)
Business Intelligence Analysts,64.12,85.24,46.81,68.08,47.00,0,1.00,1,30.00,1,29.00,1,3,Moderate (3/4)
"Business Teachers, Postsecondary",71.74,53.79,41.75,30.99,11.00,1,66.00,0,87.00,0,280.00,0,1,Single-source (1/4)
Butchers and Meat Cutters,40.59,0.00,40.59,8.91,292.00,0,640.00,0,107.00,0,741.00,0,0,None (0/4)
"Buyers and Purchasing Agents, Farm Products",29.58,25.33,24.78,38.69,475.00,0,249.00,0,423.00,0,183.00,0,0,None (0/4)
Cabinetmakers and Bench Carpenters,23.19,0.00,22.01,4.76,575.00,0,640.00,0,492.00,0,820.00,0,0,None (0/4)
Calibration Technologists and Technicians,33.22,0.00,33.22,13.39,413.00,0,640.00,0,238.00,0,626.00,0,0,None (0/4)
"Camera Operators, Television, Video, and Film",27.63,20.06,27.63,29.80,509.00,0,297.00,0,348.00,0,296.00,0,0,None (0/4)
Camera and Photographic Equipment Repairers,29.58,16.95,25.96,2.68,474.00,0,331.00,0,394.00,0,857.00,0,0,None (0/4)
"Captains, Mates, and Pilots of Water Vessels",20.14,0.00,20.14,22.53,639.00,0,640.00,0,552.00,0,434.00,0,0,None (0/4)
Cardiologists,21.34,0.00,21.34,13.63,606.00,0,640.00,0,517.00,0,620.00,0,0,None (0/4)
Cardiovascular Technologists and Technicians,22.13,4.69,16.37,15.89,593.00,0,559.00,0,634.00,0,557.00,0,0,None (0/4)
"Career/Technical Education Teachers, Middle School",52.33,33.83,27.62,19.55,146.00,0,180.00,0,349.00,0,483.00,0,0,None (0/4)
"Career/Technical Education Teachers, Postsecondary",32.38,33.75,32.38,23.31,424.00,0,182.00,0,265.00,0,414.00,0,0,None (0/4)
"Career/Technical Education Teachers, Secondary School",48.20,30.48,27.32,17.79,184.00,0,207.00,0,355.00,0,517.00,0,0,None (0/4)
Cargo and Freight Agents,27.53,29.13,21.55,48.08,510.00,0,215.00,0,508.00,0,122.00,0,0,None (0/4)
Carpenters,10.71,4.02,10.71,9.98,824.00,0,577.00,0,785.00,0,709.00,0,0,None (0/4)
Carpet Installers,15.76,0.00,15.76,11.37,726.00,0,640.00,0,654.00,0,669.00,0,0,None (0/4)
Cartographers and Photogrammetrists,39.70,6.69,34.43,45.91,305.00,0,512.00,0,204.00,0,133.00,0,0,None (0/4)
Cashiers,42.33,18.39,37.18,60.59,263.00,0,316.00,0,162.00,0,53.00,0,0,None (0/4)
Cement Masons and Concrete Finishers,12.55,9.55,6.58,0.00,795.00,0,441.00,0,856.00,0,902.00,0,0,None (0/4)
Chefs and Head Cooks,31.59,14.64,24.58,9.98,434.00,0,356.00,0,427.00,0,710.00,0,0,None (0/4)
Chemical Engineers,45.78,0.00,39.30,34.08,211.00,0,640.00,0,131.00,0,242.00,0,0,None (0/4)
Chemical Equipment Operators and Tenders,14.86,7.94,14.71,10.78,751.00,0,476.00,0,683.00,0,686.00,0,0,None (0/4)
Chemical Plant and System Operators,17.22,0.00,7.17,9.23,698.00,0,640.00,0,850.00,0,729.00,0,0,None (0/4)
Chemical Technicians,43.39,26.22,26.80,26.53,246.00,0,239.00,0,372.00,0,360.00,0,0,None (0/4)
"Chemistry Teachers, Postsecondary",56.42,44.76,28.34,28.54,109.00,0,119.00,0,337.00,0,324.00,0,0,None (0/4)
Chemists,52.71,30.88,33.78,25.35,141.00,0,202.00,0,220.00,0,378.00,0,0,None (0/4)
Chief Executives,39.22,35.47,20.51,28.53,315.00,0,167.00,0,544.00,0,326.00,0,0,None (0/4)
Chief Sustainability Officers,32.17,0.00,14.93,14.95,426.00,0,640.00,0,677.00,0,579.00,0,0,None (0/4)
"Child, Family, and School Social Workers",39.38,1.31,38.81,24.99,313.00,0,630.00,0,137.00,0,386.00,0,0,None (0/4)
Childcare Workers,34.10,15.05,26.24,10.08,395.00,0,351.00,0,385.00,0,703.00,0,0,None (0/4)
Chiropractors,20.11,20.94,14.75,14.28,640.00,0,286.00,0,681.00,0,599.00,0,0,None (0/4)
Choreographers,49.37,13.44,37.41,7.56,174.00,0,379.00,0,158.00,0,772.00,0,0,None (0/4)
Civil Engineering Technologists and Technicians,32.67,33.09,32.67,38.89,420.00,0,188.00,0,254.00,0,182.00,0,0,None (0/4)
Civil Engineers,30.64,7.11,26.04,31.35,455.00,0,503.00,0,391.00,0,273.00,0,0,None (0/4)
"Claims Adjusters, Examiners, and Investigators",33.75,48.91,33.75,25.23,402.00,0,97.00,0,221.00,0,380.00,0,0,None (0/4)
Cleaners of Vehicles and Equipment,4.91,0.00,4.91,3.65,894.00,0,640.00,0,885.00,0,843.00,0,0,None (0/4)
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",11.82,0.00,8.71,15.46,804.00,0,640.00,0,831.00,0,568.00,0,0,None (0/4)
Clergy,62.64,9.73,42.32,15.70,60.00,0,436.00,0,77.00,0,564.00,0,0,None (0/4)
Climate Change Policy Analysts,43.62,16.19,43.62,29.47,243.00,0,336.00,0,63.00,0,307.00,0,0,None (0/4)
Clinical Data Managers,51.77,47.91,31.95,56.12,152.00,0,103.00,0,271.00,0,78.00,0,0,None (0/4)
Clinical Neuropsychologists,18.17,5.05,18.17,10.01,683.00,0,550.00,0,595.00,0,707.00,0,0,None (0/4)
Clinical Nurse Specialists,30.64,22.30,24.89,11.75,456.00,0,277.00,0,418.00,0,659.00,0,0,None (0/4)
Clinical Research Coordinators,33.47,27.27,27.39,32.56,407.00,0,231.00,0,353.00,0,259.00,0,0,None (0/4)
Clinical and Counseling Psychologists,28.86,39.26,28.86,23.11,491.00,0,141.00,0,328.00,0,420.00,0,0,None (0/4)
Coaches and Scouts,45.83,28.43,24.05,23.26,210.00,0,221.00,0,443.00,0,415.00,0,0,None (0/4)
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",10.54,2.27,10.54,6.80,827.00,0,614.00,0,789.00,0,787.00,0,0,None (0/4)
"Coil Winders, Tapers, and Finishers",16.19,0.00,16.19,17.66,716.00,0,640.00,0,639.00,0,526.00,0,0,None (0/4)
"Coin, Vending, and Amusement Machine Servicers and Repairers",9.65,0.00,9.65,30.49,843.00,0,640.00,0,812.00,0,286.00,0,0,None (0/4)
Commercial Divers,23.55,0.00,21.27,2.10,570.00,0,640.00,0,520.00,0,869.00,0,0,None (0/4)
Commercial Pilots,23.97,6.13,23.39,22.10,563.00,0,524.00,0,456.00,0,441.00,0,0,None (0/4)
Commercial and Industrial Designers,58.31,1.45,39.24,40.81,92.00,0,629.00,0,133.00,0,168.00,0,0,None (0/4)
"Communications Teachers, Postsecondary",71.62,54.81,26.04,28.47,12.00,1,55.00,0,392.00,0,327.00,0,1,Single-source (1/4)
Community Health Workers,30.65,12.43,27.17,24.02,454.00,0,389.00,0,357.00,0,405.00,0,0,None (0/4)
Compensation and Benefits Managers,49.93,27.02,21.64,28.89,166.00,0,233.00,0,503.00,0,318.00,0,0,None (0/4)
"Compensation, Benefits, and Job Analysis Specialists",31.86,11.65,15.63,33.34,430.00,0,399.00,0,658.00,0,248.00,0,0,None (0/4)
Compliance Managers,41.31,24.22,27.19,33.09,281.00,0,256.00,0,356.00,0,253.00,0,0,None (0/4)
Compliance Officers,31.35,17.80,31.35,38.00,442.00,0,321.00,0,284.00,0,189.00,0,0,None (0/4)
Computer Hardware Engineers,44.27,38.81,29.05,27.91,235.00,0,146.00,0,324.00,0,333.00,0,0,None (0/4)
Computer Network Architects,57.05,53.89,43.94,53.39,101.00,0,65.00,0,60.00,0,91.00,0,0,None (0/4)
Computer Network Support Specialists,55.75,62.03,42.28,80.99,113.00,0,28.00,1,79.00,0,4.00,1,2,Low (2/4)
Computer Numerically Controlled Tool Operators,33.16,13.38,33.16,35.75,415.00,0,381.00,0,240.00,0,220.00,0,0,None (0/4)
Computer Numerically Controlled Tool Programmers,53.08,20.34,53.08,46.43,137.00,0,294.00,0,3.00,1,130.00,0,1,Single-source (1/4)
Computer Programmers,63.25,65.53,47.94,73.46,56.00,0,15.00,1,22.00,1,10.00,1,3,Moderate (3/4)
"Computer Science Teachers, Postsecondary",69.59,51.46,31.80,26.17,20.00,1,81.00,0,272.00,0,364.00,0,1,Single-source (1/4)
Computer Systems Analysts,57.53,60.67,43.79,69.13,94.00,0,31.00,0,61.00,0,23.00,1,1,Single-source (1/4)
Computer Systems Engineers/Architects,54.50,48.98,39.28,57.11,126.00,0,96.00,0,132.00,0,72.00,0,0,None (0/4)
Computer User Support Specialists,53.79,69.54,44.63,64.81,130.00,0,10.00,1,50.00,0,38.00,0,1,Single-source (1/4)
Computer and Information Research Scientists,63.59,43.47,33.57,46.05,52.00,0,126.00,0,226.00,0,132.00,0,0,None (0/4)
Computer and Information Systems Managers,54.73,53.35,30.89,45.80,121.00,0,71.00,0,292.00,0,135.00,0,0,None (0/4)
"Computer, Automated Teller, and Office Machine Repairers",36.57,31.73,33.13,26.73,365.00,0,196.00,0,244.00,0,355.00,0,0,None (0/4)
Concierges,57.50,42.90,44.52,66.62,95.00,0,128.00,0,52.00,0,35.00,0,0,None (0/4)
Conservation Scientists,14.57,0.00,14.57,10.98,759.00,0,640.00,0,692.00,0,681.00,0,0,None (0/4)
Construction Laborers,11.24,3.60,3.87,0.50,812.00,0,588.00,0,895.00,0,898.00,0,0,None (0/4)
Construction Managers,36.54,23.50,17.16,21.59,367.00,0,262.00,0,612.00,0,448.00,0,0,None (0/4)
Construction and Building Inspectors,24.32,14.59,16.25,18.28,558.00,0,361.00,0,637.00,0,509.00,0,0,None (0/4)
Continuous Mining Machine Operators,7.01,0.00,7.01,6.19,872.00,0,640.00,0,852.00,0,797.00,0,0,None (0/4)
"Control and Valve Installers and Repairers, Except Mechanical Door",23.67,1.24,23.67,13.59,568.00,0,631.00,0,451.00,0,621.00,0,0,None (0/4)
Conveyor Operators and Tenders,17.23,11.41,11.44,15.71,697.00,0,404.00,0,770.00,0,563.00,0,0,None (0/4)
"Cooks, Fast Food",40.84,0.00,37.29,11.27,287.00,0,640.00,0,161.00,0,670.00,0,0,None (0/4)
"Cooks, Institution and Cafeteria",16.33,0.00,14.96,14.76,711.00,0,640.00,0,675.00,0,583.00,0,0,None (0/4)
"Cooks, Private Household",41.42,7.49,37.61,5.41,280.00,0,491.00,0,154.00,0,811.00,0,0,None (0/4)
"Cooks, Restaurant",46.23,0.40,33.88,10.46,202.00,0,637.00,0,217.00,0,694.00,0,0,None (0/4)
"Cooks, Short Order",49.64,8.72,32.42,13.17,168.00,0,459.00,0,262.00,0,630.00,0,0,None (0/4)
Cooling and Freezing Equipment Operators and Tenders,24.18,0.00,24.18,14.21,560.00,0,640.00,0,438.00,0,604.00,0,0,None (0/4)
Coroners,32.08,0.00,26.43,9.10,427.00,0,640.00,0,383.00,0,734.00,0,0,None (0/4)
Correctional Officers and Jailers,16.56,0.00,15.05,13.12,707.00,0,640.00,0,671.00,0,631.00,0,0,None (0/4)
Correspondence Clerks,49.42,20.69,33.63,51.45,173.00,0,287.00,0,224.00,0,103.00,0,0,None (0/4)
Cost Estimators,54.30,14.31,40.65,38.67,127.00,0,366.00,0,104.00,0,184.00,0,0,None (0/4)
Costume Attendants,30.36,0.79,24.61,16.58,461.00,0,634.00,0,426.00,0,542.00,0,0,None (0/4)
Counter and Rental Clerks,60.46,44.14,51.20,62.68,77.00,0,122.00,0,8.00,1,44.00,0,1,Single-source (1/4)
Couriers and Messengers,22.38,23.59,15.51,29.50,588.00,0,260.00,0,660.00,0,306.00,0,0,None (0/4)
Court Reporters and Simultaneous Captioners,19.41,7.11,19.41,55.58,656.00,0,504.00,0,571.00,0,83.00,0,0,None (0/4)
"Court, Municipal, and License Clerks",40.28,20.07,40.28,60.21,298.00,0,296.00,0,115.00,0,54.00,0,0,None (0/4)
Craft Artists,61.19,25.41,43.69,24.20,72.00,0,247.00,0,62.00,0,400.00,0,0,None (0/4)
Crane and Tower Operators,15.25,0.00,15.25,9.39,739.00,0,640.00,0,666.00,0,727.00,0,0,None (0/4)
Credit Analysts,44.65,37.19,33.24,64.00,232.00,0,157.00,0,237.00,0,39.00,0,0,None (0/4)
"Credit Authorizers, Checkers, and Clerks",35.11,54.10,35.11,50.90,380.00,0,63.00,0,190.00,0,110.00,0,0,None (0/4)
Credit Counselors,43.61,46.63,34.26,40.40,244.00,0,110.00,0,207.00,0,172.00,0,0,None (0/4)
Crematory Operators,15.67,0.00,15.67,5.55,729.00,0,640.00,0,655.00,0,810.00,0,0,None (0/4)
"Criminal Justice and Law Enforcement Teachers, Postsecondary",60.89,56.15,33.36,27.00,73.00,0,51.00,0,233.00,0,348.00,0,0,None (0/4)
Critical Care Nurses,20.10,9.54,11.65,8.15,641.00,0,442.00,0,766.00,0,759.00,0,0,None (0/4)
Crossing Guards and Flaggers,25.46,2.02,25.46,7.55,540.00,0,617.00,0,405.00,0,773.00,0,0,None (0/4)
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",18.72,3.60,9.08,13.02,670.00,0,587.00,0,821.00,0,635.00,0,0,None (0/4)
Curators,50.36,60.54,36.04,32.87,163.00,0,33.00,0,178.00,0,256.00,0,0,None (0/4)
Customer Service Representatives,71.00,54.54,45.08,63.99,14.00,1,57.00,0,47.00,0,40.00,0,1,Single-source (1/4)
Customs Brokers,39.60,21.48,24.39,42.34,308.00,0,283.00,0,433.00,0,160.00,0,0,None (0/4)
Customs and Border Protection Officers,44.11,24.76,44.11,19.20,237.00,0,254.00,0,58.00,0,489.00,0,0,None (0/4)
"Cutters and Trimmers, Hand",10.93,0.00,10.93,10.44,820.00,0,640.00,0,781.00,0,695.00,0,0,None (0/4)
"Cutting and Slicing Machine Setters, Operators, and Tenders",16.59,4.27,14.36,21.54,706.00,0,569.00,0,697.00,0,449.00,0,0,None (0/4)
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",18.57,4.52,15.77,9.45,675.00,0,562.00,0,653.00,0,724.00,0,0,None (0/4)
Cytogenetic Technologists,28.56,13.70,25.00,14.72,498.00,0,374.00,0,417.00,0,585.00,0,0,None (0/4)
Cytotechnologists,37.32,30.39,23.31,3.98,346.00,0,208.00,0,458.00,0,835.00,0,0,None (0/4)
Dancers,21.71,0.00,21.71,1.60,600.00,0,640.00,0,502.00,0,878.00,0,0,None (0/4)
Data Entry Keyers,52.01,38.16,38.17,70.30,150.00,0,149.00,0,147.00,0,18.00,1,1,Single-source (1/4)
Data Scientists,46.04,0.00,46.04,72.12,206.00,0,640.00,0,38.00,0,14.00,1,1,Single-source (1/4)
