title_current,major,job_zone,outlook,emp,wage,pct,tier
"Chemistry Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,20390.00,86220.00,65.95,High (≥60%)
Chemists,"Life, Physical, and Social Science Occupations",4.00,4.00,83250.00,84150.00,59.71,Moderate (40–59%)
Chief Executives,Management Occupations,5.00,5.00,172469.00,206420.00,50.67,Moderate (40–59%)
Chief Sustainability Officers,Management Occupations,5.00,5.00,39381.00,206420.00,32.17,Restructuring (20–39%)
"Child, Family, and School Social Workers",Community and Social Service Occupations,4.00,3.00,382960.00,58570.00,40.05,Moderate (40–59%)
Childcare Workers,Personal Care and Service Occupations,2.00,2.00,354051.00,32050.00,38.68,Restructuring (20–39%)
Chiropractors,Healthcare Practitioners and Technical Occupations,5.00,4.00,37630.00,79000.00,36.39,Restructuring (20–39%)
Choreographers,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,3430.00,55600.00,52.52,Moderate (40–59%)
Civil Engineering Technologists and Technicians,Architecture and Engineering Occupations,3.00,3.00,62130.00,64200.00,32.67,Restructuring (20–39%)
Civil Engineers,Architecture and Engineering Occupations,4.00,5.00,118470.00,99590.00,33.59,Restructuring (20–39%)
"Claims Adjusters, Examiners, and Investigators",Business and Financial Operations Occupations,4.00,4.00,305020.00,76790.00,33.75,Restructuring (20–39%)
Cleaners of Vehicles and Equipment,Transportation and Material Moving Occupations,2.00,2.00,373960.00,35270.00,4.91,Low (<20%)
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Production Occupations,2.00,3.00,13890.00,41460.00,11.82,Low (<20%)
Clergy,Community and Social Service Occupations,5.00,1.00,58080.00,60820.00,72.16,High (≥60%)
Climate Change Policy Analysts,"Life, Physical, and Social Science Occupations",5.00,4.00,21539.00,80060.00,43.62,Moderate (40–59%)
Clinical Data Managers,Computer and Mathematical Occupations,4.00,5.00,104082.00,112590.00,58.62,Moderate (40–59%)
Clinical Neuropsychologists,"Life, Physical, and Social Science Occupations",5.00,4.00,35580.00,117580.00,18.17,Low (<20%)
Clinical Nurse Specialists,Healthcare Practitioners and Technical Occupations,5.00,5.00,784864.00,93600.00,47.25,Moderate (40–59%)
Clinical Research Coordinators,Management Occupations,4.00,5.00,51654.00,161180.00,46.49,Moderate (40–59%)
Clinical and Counseling Psychologists,"Life, Physical, and Social Science Occupations",5.00,5.00,72190.00,95830.00,28.86,Restructuring (20–39%)
Coaches and Scouts,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2.00,250940.00,45920.00,55.07,Moderate (40–59%)
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Production Occupations,2.00,3.00,159500.00,47590.00,14.37,Low (<20%)
"Coil Winders, Tapers, and Finishers",Production Occupations,2.00,2.00,12170.00,47260.00,16.19,Low (<20%)
"Coin, Vending, and Amusement Machine Servicers and Repairers","Installation, Maintenance, and Repair Occupations",2.00,2.00,28260.00,47350.00,9.65,Low (<20%)
Commercial Divers,"Installation, Maintenance, and Repair Occupations",3.00,2.00,3430.00,61130.00,23.55,Restructuring (20–39%)
Commercial Pilots,Transportation and Material Moving Occupations,3.00,3.00,51830.00,122670.00,26.52,Restructuring (20–39%)
Commercial and Industrial Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,30250.00,79450.00,58.71,Moderate (40–59%)
"Communications Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,29260.00,77800.00,78.83,High (≥60%)
Community Health Workers,Community and Social Service Occupations,4.00,3.00,60730.00,51030.00,41.39,Moderate (40–59%)
Compensation and Benefits Managers,Management Occupations,4.00,4.00,20070.00,140360.00,55.61,Moderate (40–59%)
"Compensation, Benefits, and Job Analysis Specialists",Business and Financial Operations Occupations,4.00,3.00,102370.00,77020.00,33.65,Restructuring (20–39%)
Compliance Managers,Management Occupations,4.00,4.00,116780.00,136550.00,55.62,Moderate (40–59%)
Compliance Officers,Business and Financial Operations Occupations,4.00,4.00,18302.00,78420.00,31.35,Restructuring (20–39%)
Computer Hardware Engineers,Architecture and Engineering Occupations,4.00,4.00,75710.00,155020.00,54.59,Moderate (40–59%)
Computer Network Architects,Computer and Mathematical Occupations,4.00,5.00,96522.00,130390.00,71.56,High (≥60%)
Computer Network Support Specialists,Computer and Mathematical Occupations,4.00,4.00,146450.00,73340.00,81.36,High (≥60%)
Computer Numerically Controlled Tool Operators,Production Occupations,2.00,3.00,176950.00,49970.00,33.16,Restructuring (20–39%)
Computer Numerically Controlled Tool Programmers,Production Occupations,2.00,3.00,28230.00,65670.00,53.08,Moderate (40–59%)
Computer Programmers,Computer and Mathematical Occupations,4.00,5.00,109870.00,98670.00,78.84,High (≥60%)
"Computer Science Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,36240.00,96690.00,79.16,High (≥60%)
Computer Systems Analysts,Computer and Mathematical Occupations,3.00,5.00,403416.00,103790.00,70.69,High (≥60%)
Computer Systems Engineers/Architects,Computer and Mathematical Occupations,3.00,5.00,195620.00,108970.00,61.79,High (≥60%)
Computer User Support Specialists,Computer and Mathematical Occupations,3.00,5.00,697210.00,60340.00,81.76,High (≥60%)
Computer and Information Research Scientists,Computer and Mathematical Occupations,5.00,5.00,38480.00,140910.00,75.93,High (≥60%)
Computer and Information Systems Managers,Management Occupations,4.00,5.00,645970.00,171200.00,77.59,High (≥60%)
"Computer, Automated Teller, and Office Machine Repairers","Installation, Maintenance, and Repair Occupations",3.00,2.00,73010.00,46860.00,48.83,Moderate (40–59%)
Concierges,Personal Care and Service Occupations,2.00,1.00,44200.00,37320.00,65.83,High (≥60%)
Conservation Scientists,"Life, Physical, and Social Science Occupations",4.00,3.00,5444.00,67950.00,14.57,Low (<20%)
