title_current,pct,pct_ceiling,ai_projection,exposure_projection,major,job_zone,outlook,emp_nat
"Earth Drillers, Except Oil and Gas",5.49,13.75,13.47,15.26,Construction and Extraction Occupations,2.00,3.00,11754.46
"Pump Operators, Except Wellhead Pumpers",20.64,44.03,13.26,21.32,Transportation and Material Moving Occupations,2.00,3.00,12600.00
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",20.06,22.30,13.23,14.74,Production Occupations,2.00,2.00,8760.00
Proofreaders and Copy Markers,54.18,64.10,13.20,26.67,Office and Administrative Support Occupations,4.00,2.00,5160.00
Passenger Attendants,47.01,53.50,13.09,23.83,Transportation and Material Moving Occupations,2.00,2.00,25340.00
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",19.09,30.21,13.09,19.69,Production Occupations,2.00,2.00,14900.00
Recycling and Reclamation Workers,0.00,13.56,13.07,15.69,Transportation and Material Moving Occupations,2.00,2.00,2982530.00
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",32.67,48.16,13.07,23.15,Office and Administrative Support Occupations,2.00,2.00,49720.00
Pharmacy Aides,50.04,66.05,13.06,25.01,Healthcare Support Occupations,2.00,1.00,41100.00
Rail-Track Laying and Maintenance Equipment Operators,0.00,0.77,13.02,13.51,Construction and Extraction Occupations,2.00,3.00,16480.00
"Library Assistants, Clerical",41.44,58.46,12.98,24.86,Office and Administrative Support Occupations,2.00,1.00,80070.00
Driver/Sales Workers,18.31,50.33,12.73,23.96,Transportation and Material Moving Occupations,2.00,2.00,417420.00
Glaziers,15.47,16.68,12.66,16.70,Construction and Extraction Occupations,2.00,3.00,57000.00
Heavy and Tractor-Trailer Truck Drivers,21.53,29.40,12.66,18.73,Transportation and Material Moving Occupations,2.00,3.00,2070480.00
"Office Machine Operators, Except Computer",46.41,53.09,12.38,23.52,Office and Administrative Support Occupations,2.00,1.00,24740.00
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",5.52,10.36,12.33,19.12,Transportation and Material Moving Occupations,2.00,2.00,12460.00
Highway Maintenance Workers,3.21,3.21,12.23,16.99,Construction and Extraction Occupations,2.00,3.00,151750.00
"Umpires, Referees, and Other Sports Officials",13.30,30.69,12.15,25.93,"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,1.00,15080.00
Farm Labor Contractors,19.80,28.08,12.14,18.70,Business and Financial Operations Occupations,2.00,4.00,410.00
Helpers--Extraction Workers,3.66,3.66,12.14,15.06,Construction and Extraction Occupations,2.00,2.00,6720.00
"Potters, Manufacturing",17.30,24.81,12.10,12.98,Production Occupations,3.00,2.00,11662.00
Funeral Attendants,40.19,40.19,12.05,22.28,Personal Care and Service Occupations,2.00,2.00,30560.00
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",10.59,29.58,11.97,21.08,Production Occupations,2.00,1.00,19500.00
"Tank Car, Truck, and Ship Loaders",14.53,33.08,11.94,20.24,Transportation and Material Moving Occupations,2.00,2.00,10920.00
Adhesive Bonding Machine Operators and Tenders,21.57,40.13,11.84,16.05,Production Occupations,2.00,2.00,12170.00
Bakers,25.05,31.70,11.80,22.22,Production Occupations,2.00,2.00,231890.00
Sailors and Marine Oilers,8.72,15.20,11.78,16.66,Transportation and Material Moving Occupations,2.00,2.00,31360.00
Machinists,31.89,36.25,11.77,15.56,Production Occupations,3.00,3.00,298790.00
"Shipping, Receiving, and Inventory Clerks",25.81,51.03,11.75,21.74,Office and Administrative Support Occupations,2.00,2.00,857630.00
Packaging and Filling Machine Operators and Tenders,5.10,26.56,11.73,15.35,Production Occupations,2.00,2.00,383860.00
Log Graders and Scalers,12.19,26.20,11.71,21.32,"Farming, Fishing, and Forestry Occupations",2.00,1.00,3310.00
Helpers--Roofers,2.34,2.34,11.48,14.06,Construction and Extraction Occupations,2.00,2.00,5170.00
Terrazzo Workers and Finishers,20.46,20.46,11.28,10.79,Construction and Extraction Occupations,2.00,4.00,1450.00
Foundry Mold and Coremakers,0.00,1.73,11.27,10.45,Production Occupations,2.00,2.00,12720.00
Reinforcing Iron and Rebar Workers,11.47,11.47,11.15,12.16,Construction and Extraction Occupations,2.00,3.00,14140.00
Butchers and Meat Cutters,40.59,44.81,11.05,19.70,Production Occupations,2.00,2.00,140040.00
Carpet Installers,15.76,15.76,10.92,16.98,Construction and Extraction Occupations,2.00,2.00,14980.00
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",19.76,30.95,10.91,15.21,Production Occupations,2.00,2.00,13810.00
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",20.75,26.39,10.87,16.41,Production Occupations,2.00,2.00,65700.00
Etchers and Engravers,17.43,31.34,10.86,15.25,Production Occupations,2.00,1.00,8390.00
Ophthalmic Laboratory Technicians,12.58,13.97,10.86,14.94,Production Occupations,2.00,2.00,18740.00
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",21.75,21.75,10.84,14.12,Transportation and Material Moving Occupations,2.00,3.00,7773.33
"Tailors, Dressmakers, and Custom Sewers",14.52,17.84,10.74,18.67,Production Occupations,2.00,1.00,16290.00
"Paper Goods Machine Setters, Operators, and Tenders",15.45,34.82,10.70,16.33,Production Occupations,2.00,2.00,96950.00
Baggage Porters and Bellhops,28.74,36.96,10.69,19.23,Personal Care and Service Occupations,2.00,1.00,31220.00
Barbers,12.75,19.47,10.65,18.22,Personal Care and Service Occupations,3.00,2.00,18100.00
Cement Masons and Concrete Finishers,16.12,16.12,10.64,18.52,Construction and Extraction Occupations,1.00,4.00,205230.00
Gambling Dealers,47.20,51.56,10.62,20.87,Personal Care and Service Occupations,2.00,2.00,82980.00
Costume Attendants,30.36,39.41,10.53,16.89,Personal Care and Service Occupations,2.00,2.00,6290.00
"Stone Cutters and Carvers, Manufacturing",17.41,18.82,10.38,14.23,Production Occupations,2.00,2.00,14904.00
"Mixing and Blending Machine Setters, Operators, and Tenders",22.50,28.25,10.34,14.41,Production Occupations,2.00,2.00,100840.00
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",15.25,24.64,10.32,15.87,Production Occupations,2.00,2.00,36290.00
Hoist and Winch Operators,8.77,28.06,10.32,17.49,Transportation and Material Moving Occupations,2.00,2.00,2480.00
Automotive Body and Related Repairers,11.71,11.71,10.29,14.22,"Installation, Maintenance, and Repair Occupations",2.00,3.00,155220.00
Print Binding and Finishing Workers,8.02,20.41,10.28,16.40,Production Occupations,2.00,2.00,36470.00
Segmental Pavers,5.39,5.39,10.26,16.56,Construction and Extraction Occupations,2.00,3.00,16765.00
"Meter Readers, Utilities",42.77,48.12,10.24,19.80,Office and Administrative Support Occupations,2.00,2.00,19620.00
Couriers and Messengers,33.87,38.11,10.24,19.80,Office and Administrative Support Occupations,2.00,2.00,71920.00
"Floor Layers, Except Carpet, Wood, and Hard Tiles",9.90,9.90,10.22,11.49,Construction and Extraction Occupations,2.00,3.00,24850.00
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",31.93,37.74,10.13,15.61,Production Occupations,2.00,2.00,54200.00
Upholsterers,18.70,22.75,10.06,19.09,Production Occupations,2.00,2.00,20990.00
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",18.58,31.94,10.06,13.85,Production Occupations,2.00,2.00,57310.00
Engine and Other Machine Assemblers,18.72,18.72,9.99,15.20,Production Occupations,2.00,3.00,38420.00
Baristas,47.64,51.91,9.98,18.68,Food Preparation and Serving Related Occupations,1.00,2.00,1976580.00
Waiters and Waitresses,39.41,45.07,9.94,18.17,Food Preparation and Serving Related Occupations,2.00,2.00,2302690.00
Floor Sanders and Finishers,0.00,0.00,9.93,13.31,Construction and Extraction Occupations,1.00,3.00,4140.00
Tile and Stone Setters,16.11,16.11,9.91,15.87,Construction and Extraction Occupations,2.00,4.00,38740.00
Motion Picture Projectionists,9.83,41.51,9.89,17.08,Personal Care and Service Occupations,2.00,2.00,1950.00
Wellhead Pumpers,14.02,44.38,9.85,12.30,Transportation and Material Moving Occupations,2.00,3.00,17350.00
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",15.06,23.34,9.81,14.36,Production Occupations,2.00,3.00,154820.00
Crane and Tower Operators,15.25,22.62,9.67,16.31,Transportation and Material Moving Occupations,3.00,4.00,42000.00
Conveyor Operators and Tenders,20.08,35.52,9.60,15.25,Transportation and Material Moving Occupations,1.00,2.00,26060.00
Light Truck Drivers,15.34,27.47,9.58,18.58,Transportation and Material Moving Occupations,2.00,3.00,994410.00
Postal Service Mail Carriers,21.06,36.80,9.55,16.55,Office and Administrative Support Occupations,2.00,4.00,336040.00
Animal Caretakers,39.56,50.19,9.47,18.87,Personal Care and Service Occupations,2.00,2.00,277300.00
Gem and Diamond Workers,29.86,29.86,9.44,16.77,Production Occupations,3.00,2.00,6190.00
Food Cooking Machine Operators and Tenders,18.90,35.76,9.41,12.30,Production Occupations,2.00,1.00,27660.00
Paperhangers,22.39,22.39,9.31,12.64,Construction and Extraction Occupations,2.00,3.00,1520.00
"Ushers, Lobby Attendants, and Ticket Takers",37.60,52.29,9.30,16.74,Personal Care and Service Occupations,2.00,2.00,119210.00
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",20.58,33.29,9.28,12.96,Production Occupations,2.00,1.00,14590.00
"Tool Grinders, Filers, and Sharpeners",20.82,30.99,9.23,9.85,Production Occupations,2.00,2.00,5730.00
"Cutting and Slicing Machine Setters, Operators, and Tenders",16.59,33.88,9.11,10.57,Production Occupations,2.00,2.00,47540.00
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",25.77,47.31,9.08,13.17,Production Occupations,2.00,1.00,16160.00
Tire Repairers and Changers,8.09,9.18,8.94,12.63,"Installation, Maintenance, and Repair Occupations",2.00,2.00,106620.00
Tree Trimmers and Pruners,8.23,8.61,8.90,14.30,Building and Grounds Cleaning and Maintenance Occupations,2.00,3.00,47870.00
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",6.28,20.52,8.89,10.75,Production Occupations,2.00,1.00,20600.00
"Coin, Vending, and Amusement Machine Servicers and Repairers",9.65,39.86,8.86,9.61,"Installation, Maintenance, and Repair Occupations",2.00,2.00,28260.00
"Cooks, Fast Food",40.84,46.76,8.58,11.21,Food Preparation and Serving Related Occupations,1.00,2.00,668230.00
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",22.66,22.66,8.53,9.78,Construction and Extraction Occupations,2.00,2.00,43640.00
Shampooers,14.82,32.54,8.42,14.39,Personal Care and Service Occupations,2.00,2.00,8890.00
Cashiers,46.94,68.24,8.30,14.54,Sales and Related Occupations,2.00,2.00,3148030.00
Musicians and Singers,14.12,28.94,8.20,18.50,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,0.00,38350.00
Dredge Operators,0.00,10.32,8.19,10.94,Transportation and Material Moving Occupations,2.00,2.00,1030.00
Bridge and Lock Tenders,0.00,22.87,8.15,15.39,Transportation and Material Moving Occupations,2.00,2.00,2720.00
Gambling Change Persons and Booth Cashiers,30.95,51.12,8.10,15.88,Sales and Related Occupations,2.00,2.00,21930.00
"Loading and Moving Machine Operators, Underground Mining",7.19,14.11,8.09,10.43,Construction and Extraction Occupations,2.00,4.00,6130.00
Plasterers and Stucco Masons,29.14,29.14,8.07,10.17,Construction and Extraction Occupations,1.00,4.00,20880.00
Operating Engineers and Other Construction Equipment Operators,9.22,14.56,8.04,9.80,Construction and Extraction Occupations,2.00,4.00,469270.00
Electromechanical Equipment Assemblers,15.62,23.67,7.76,10.22,Production Occupations,2.00,2.00,91100.00
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",22.17,29.36,7.74,11.07,Production Occupations,2.00,2.00,70110.00
Structural Metal Fabricators and Fitters,8.66,9.74,7.67,12.96,Production Occupations,2.00,3.00,53380.00
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",14.28,15.36,7.65,8.25,Construction and Extraction Occupations,2.00,2.00,15660.00
Logging Equipment Operators,3.97,8.35,7.63,5.25,"Farming, Fishing, and Forestry Occupations",1.00,1.00,22520.00
Gambling and Sports Book Writers and Runners,41.19,50.78,7.62,15.12,Personal Care and Service Occupations,2.00,2.00,7600.00
"Mail Clerks and Mail Machine Operators, Except Postal Service",22.21,39.02,7.52,16.11,Office and Administrative Support Occupations,2.00,2.00,62730.00
Amusement and Recreation Attendants,40.93,57.33,7.34,14.19,Personal Care and Service Occupations,1.00,2.00,371590.00
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",54.22,58.31,7.17,14.80,Food Preparation and Serving Related Occupations,1.00,2.00,427150.00
"Paving, Surfacing, and Tamping Equipment Operators",0.90,0.90,6.92,6.23,Construction and Extraction Occupations,2.00,3.00,45680.00
Furniture Finishers,16.17,16.17,6.91,12.10,Production Occupations,2.00,2.00,14230.00
Pipelayers,11.09,12.45,6.90,9.22,Construction and Extraction Occupations,1.00,3.00,33580.00
Construction Laborers,11.96,12.60,6.84,7.64,Construction and Extraction Occupations,2.00,3.00,1057660.00
"Textile Cutting Machine Setters, Operators, and Tenders",17.74,25.42,6.83,7.74,Production Occupations,2.00,1.00,8960.00
"Cooks, Short Order",49.64,53.26,6.65,14.25,Food Preparation and Serving Related Occupations,2.00,2.00,150420.00
"Locker Room, Coatroom, and Dressing Room Attendants",31.45,35.20,6.65,13.85,Personal Care and Service Occupations,2.00,1.00,14960.00
Drywall and Ceiling Tile Installers,15.59,17.32,6.62,5.79,Construction and Extraction Occupations,2.00,4.00,82900.00
Fast Food and Counter Workers,29.37,35.37,6.54,12.72,Food Preparation and Serving Related Occupations,1.00,2.00,1804350.00
Dining Room and Cafeteria Attendants and Bartender Helpers,13.34,16.11,6.45,11.06,Food Preparation and Serving Related Occupations,1.00,2.00,522010.00
Tire Builders,1.99,1.99,6.40,7.69,Production Occupations,2.00,2.00,20970.00
Parking Attendants,17.80,24.40,6.25,11.80,Transportation and Material Moving Occupations,2.00,1.00,134650.00
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",18.57,26.97,6.24,9.23,Production Occupations,2.00,3.00,174430.00
Shoe Machine Operators and Tenders,8.17,11.16,6.09,9.95,Production Occupations,2.00,1.00,3270.00
"Laborers and Freight, Stock, and Material Movers, Hand",5.97,20.71,6.02,6.83,Transportation and Material Moving Occupations,2.00,2.00,2982530.00
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",23.36,29.82,6.00,6.59,Production Occupations,2.00,2.00,63350.00
"Roustabouts, Oil and Gas",2.46,3.54,5.76,7.21,Construction and Extraction Occupations,1.00,2.00,45330.00
Electrical and Electronic Equipment Assemblers,26.38,32.54,5.71,12.20,Production Occupations,2.00,2.00,91100.00
"Grinding and Polishing Workers, Hand",14.29,26.59,5.68,3.58,Production Occupations,2.00,3.00,11850.00
Orderlies,4.94,6.42,5.64,10.58,Healthcare Support Occupations,2.00,2.00,53020.00
"Insulation Workers, Floor, Ceiling, and Wall",13.62,13.62,5.53,7.90,Construction and Extraction Occupations,2.00,3.00,38610.00
"Food Servers, Nonrestaurant",22.31,32.27,5.52,11.56,Food Preparation and Serving Related Occupations,2.00,2.00,271780.00
Automotive Glass Installers and Repairers,4.75,4.75,5.47,9.17,"Installation, Maintenance, and Repair Occupations",2.00,2.00,18940.00
Maids and Housekeeping Cleaners,2.80,8.94,5.37,9.65,Building and Grounds Cleaning and Maintenance Occupations,1.00,2.00,854910.00
Agricultural Equipment Operators,16.24,16.24,5.35,5.80,"Farming, Fishing, and Forestry Occupations",1.00,1.00,30940.00
"Pourers and Casters, Metal",17.06,22.16,5.19,10.22,Production Occupations,2.00,0.00,5830.00
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",18.89,40.89,5.10,11.51,Office and Administrative Support Occupations,2.00,3.00,111930.00
"Sawing Machine Setters, Operators, and Tenders, Wood",27.59,38.37,4.93,4.60,Production Occupations,2.00,1.00,43140.00
Stockers and Order Fillers,23.26,44.66,4.83,10.42,Transportation and Material Moving Occupations,2.00,2.00,2779530.00
Crossing Guards and Flaggers,25.46,28.91,4.79,8.62,Protective Service Occupations,2.00,2.00,90180.00
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",12.11,17.35,4.77,7.22,Production Occupations,2.00,1.00,14530.00
"Cooks, Restaurant",46.27,49.58,4.63,10.45,Food Preparation and Serving Related Occupations,2.00,2.00,1452130.00
Manicurists and Pedicurists,10.39,16.21,4.51,9.28,Personal Care and Service Occupations,2.00,1.00,147820.00
Timing Device Assemblers and Adjusters,9.74,11.05,4.36,2.19,Production Occupations,2.00,2.00,230.00
Dancers,21.71,21.71,4.20,9.59,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,0.00,9060.00
Textile Bleaching and Dyeing Machine Operators and Tenders,18.56,30.80,4.16,5.61,Production Occupations,2.00,1.00,5820.00
"Painters, Construction and Maintenance",19.74,19.74,4.16,7.90,Construction and Extraction Occupations,2.00,3.00,224180.00
Machine Feeders and Offbearers,4.35,14.15,4.11,3.79,Transportation and Material Moving Occupations,2.00,2.00,46690.00
Shoe and Leather Workers and Repairers,10.77,10.77,4.01,7.75,Production Occupations,2.00,1.00,7640.00
"Refractory Materials Repairers, Except Brickmasons",12.88,12.88,3.83,2.77,"Installation, Maintenance, and Repair Occupations",2.00,4.00,1100.00
Industrial Truck and Tractor Operators,5.43,39.37,3.80,4.04,Transportation and Material Moving Occupations,2.00,3.00,805770.00
Slaughterers and Meat Packers,32.66,32.66,3.56,5.71,Production Occupations,2.00,1.00,67500.00
Cleaners of Vehicles and Equipment,4.91,8.56,3.55,4.63,Transportation and Material Moving Occupations,2.00,2.00,373960.00
Fallers,15.08,17.31,3.25,5.87,"Farming, Fishing, and Forestry Occupations",1.00,1.00,4110.00
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",14.37,18.36,3.18,2.27,Production Occupations,2.00,3.00,159500.00
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",7.60,9.56,3.11,4.99,Construction and Extraction Occupations,1.00,2.00,7220.00
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",11.34,16.79,3.07,5.01,Building and Grounds Cleaning and Maintenance Occupations,3.00,2.00,2199900.00
Laundry and Dry-Cleaning Workers,13.23,21.62,3.00,5.23,Production Occupations,1.00,1.00,195360.00
"Packers and Packagers, Hand",25.47,29.00,2.98,3.94,Transportation and Material Moving Occupations,2.00,2.00,601440.00
"Welders, Cutters, Solderers, and Brazers",16.18,18.65,2.98,2.31,Production Occupations,2.00,3.00,424040.00
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",11.82,27.28,2.98,3.01,Production Occupations,2.00,3.00,13890.00
Food Preparation Workers,35.77,38.18,2.71,5.54,Food Preparation and Serving Related Occupations,2.00,2.00,888770.00
Landscaping and Groundskeeping Workers,5.83,16.08,2.71,4.85,Building and Grounds Cleaning and Maintenance Occupations,1.00,2.00,943430.00
"Sewers, Hand",17.94,17.94,2.08,3.23,Production Occupations,1.00,1.00,2240.00
"Graders and Sorters, Agricultural Products",10.06,21.78,1.93,2.68,"Farming, Fishing, and Forestry Occupations",1.00,1.00,26870.00
"Molders, Shapers, and Casters, Except Metal and Plastic",12.68,13.72,1.81,0.48,Production Occupations,2.00,1.00,3146.00
"Pressers, Textile, Garment, and Related Materials",10.75,15.78,1.78,1.94,Production Occupations,1.00,1.00,26830.00
"Rock Splitters, Quarry",6.41,6.41,1.64,2.25,Construction and Extraction Occupations,1.00,3.00,3080.00
Refuse and Recyclable Material Collectors,8.35,21.01,1.58,0.35,Transportation and Material Moving Occupations,2.00,3.00,139180.00
Tapers,9.44,9.44,1.40,0.24,Construction and Extraction Occupations,2.00,4.00,12500.00
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",5.69,11.34,1.36,2.39,"Farming, Fishing, and Forestry Occupations",1.00,1.00,261690.00
Dishwashers,5.27,5.27,1.16,2.54,Food Preparation and Serving Related Occupations,1.00,2.00,471670.00
"Cutters and Trimmers, Hand",10.93,19.59,0.71,0.27,Production Occupations,1.00,2.00,7070.00
Sewing Machine Operators,11.19,21.20,0.69,1.52,Production Occupations,1.00,2.00,109590.00
Helpers--Production Workers,12.12,32.12,0.66,0.14,Production Occupations,2.00,1.00,167490.00
"Painting, Coating, and Decorating Workers",13.39,13.39,0.62,0.23,Production Occupations,1.00,1.00,8470.00
