title_current,pct,pct_ceiling,ai_projection,exposure_projection,major,job_zone,outlook,emp_nat
"Special Education Teachers, Secondary School",48.57,53.42,47.29,75.59,Educational Instruction and Library Occupations,4.00,4.00,162780.00
"Criminal Justice and Law Enforcement Teachers, Postsecondary",71.01,80.29,47.16,75.56,Educational Instruction and Library Occupations,5.00,3.00,13560.00
Gambling Managers,21.88,36.14,47.14,73.12,Management Occupations,2.00,3.00,4620.00
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",64.56,74.27,47.09,74.39,Educational Instruction and Library Occupations,5.00,3.00,11480.00
Food Scientists and Technologists,48.90,48.90,47.07,69.48,"Life, Physical, and Social Science Occupations",4.00,4.00,14370.00
"Forestry and Conservation Science Teachers, Postsecondary",73.62,80.90,47.04,76.00,Educational Instruction and Library Occupations,5.00,4.00,1310.00
Aerospace Engineers,27.46,35.39,47.03,66.59,Architecture and Engineering Occupations,4.00,5.00,68440.00
Supply Chain Managers,37.24,62.92,46.83,71.98,Management Occupations,4.00,5.00,148351.00
Postmasters and Mail Superintendents,17.28,62.17,46.56,69.32,Management Occupations,2.00,3.00,13810.00
Oral and Maxillofacial Surgeons,13.47,13.47,46.56,67.90,Healthcare Practitioners and Technical Occupations,5.00,5.00,5330.00
Chemical Engineers,45.78,57.92,46.55,61.86,Architecture and Engineering Occupations,4.00,5.00,20330.00
Occupational Health and Safety Technicians,21.75,32.54,46.48,66.39,"Life, Physical, and Social Science Occupations",3.00,3.00,31450.00
Veterinarians,34.16,35.79,46.47,67.85,Healthcare Practitioners and Technical Occupations,5.00,5.00,80630.00
"Transportation, Storage, and Distribution Managers",27.35,39.56,46.37,69.43,Management Occupations,4.00,5.00,64649.00
Coaches and Scouts,55.07,63.35,46.14,74.35,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2.00,250940.00
Information Technology Project Managers,67.85,81.20,46.12,75.17,Computer and Mathematical Occupations,4.00,5.00,46177.00
Biologists,58.37,59.22,46.11,67.95,"Life, Physical, and Social Science Occupations",5.00,4.00,12266.00
Government Property Inspectors and Investigators,50.14,50.62,46.03,70.47,Business and Financial Operations Occupations,3.00,4.00,68789.00
First-Line Supervisors of Police and Detectives,18.41,42.62,46.02,71.34,Protective Service Occupations,2.00,5.00,153130.00
"Recreation and Fitness Studies Teachers, Postsecondary",69.59,77.02,45.93,73.01,Educational Instruction and Library Occupations,5.00,4.00,12680.00
Materials Scientists,54.28,55.91,45.92,62.06,"Life, Physical, and Social Science Occupations",4.00,4.00,8330.00
"Library Science Teachers, Postsecondary",77.66,83.47,45.89,77.02,Educational Instruction and Library Occupations,5.00,3.00,4100.00
Purchasing Managers,46.97,59.66,45.85,73.52,Management Occupations,4.00,4.00,81240.00
"Energy Engineers, Except Wind and Solar",34.01,43.40,45.82,66.21,Architecture and Engineering Occupations,4.00,5.00,25824.00
Farm and Home Management Educators,36.57,50.40,45.78,76.01,Educational Instruction and Library Occupations,5.00,2.00,10260.00
"Entertainment and Recreation Managers, Except Gambling",39.76,54.73,45.77,70.34,Management Occupations,4.00,3.00,560732.43
Nurse Midwives,45.91,45.91,45.73,68.39,Healthcare Practitioners and Technical Occupations,5.00,4.00,8280.00
Pharmacists,64.86,69.00,45.71,69.37,Healthcare Practitioners and Technical Occupations,5.00,5.00,328870.00
Sports Medicine Physicians,25.31,30.46,45.59,71.48,Healthcare Practitioners and Technical Occupations,5.00,2.00,34183.00
Mental Health Counselors,57.59,63.13,45.53,75.44,Community and Social Service Occupations,5.00,4.00,161811.67
Survey Researchers,60.41,65.33,45.52,75.34,"Life, Physical, and Social Science Occupations",5.00,3.00,7720.00
Microsystems Engineers,43.17,53.12,45.52,65.46,Architecture and Engineering Occupations,5.00,5.00,23080.00
Funeral Home Managers,19.66,38.78,45.51,65.58,Management Occupations,3.00,4.00,13120.00
Dermatologists,28.56,36.84,45.49,68.81,Healthcare Practitioners and Technical Occupations,5.00,2.00,10080.00
Interior Designers,49.33,52.70,45.49,66.93,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,69580.00
