title_current,config,pct_first,pct_last,pct_delta
First-Line Supervisors of Police and Detectives,human_conversation,12.51,18.41,5.90
Sports Medicine Physicians,human_conversation,19.06,25.15,6.09
Funeral Home Managers,human_conversation,19.66,19.66,0.00
Dermatologists,human_conversation,11.53,28.56,17.04
"Career/Technical Education Teachers, Postsecondary",human_conversation,32.38,32.38,0.00
First-Line Supervisors of Correctional Officers,human_conversation,20.71,21.42,0.72
"Mining and Geological Engineers, Including Mining Safety Engineers",human_conversation,25.19,25.19,0.00
Orthodontists,human_conversation,22.50,31.79,9.29
Wind Energy Engineers,human_conversation,31.40,31.40,0.00
Petroleum Engineers,human_conversation,19.94,20.42,0.47
Nanotechnology Engineering Technologists and Technicians,human_conversation,23.23,23.23,0.00
"Family and Consumer Sciences Teachers, Postsecondary",human_conversation,31.46,31.46,0.00
Industrial Production Managers,human_conversation,17.07,19.54,2.47
Environmental Restoration Planners,human_conversation,28.08,28.49,0.41
Facilities Managers,human_conversation,7.55,7.55,0.00
Hydroelectric Plant Technicians,human_conversation,10.99,10.99,0.00
Police and Sheriff's Patrol Officers,human_conversation,26.44,26.44,0.00
Medical Dosimetrists,human_conversation,32.41,32.41,0.00
Hearing Aid Specialists,human_conversation,10.55,14.11,3.57
Industrial Ecologists,human_conversation,21.19,22.85,1.66
Conservation Scientists,human_conversation,14.57,14.57,0.00
First-Line Supervisors of Personal Service Workers,human_conversation,22.92,25.33,2.42
Clinical and Counseling Psychologists,human_conversation,28.86,28.86,0.00
"Farmers, Ranchers, and Other Agricultural Managers",human_conversation,12.11,12.11,0.00
Construction and Building Inspectors,human_conversation,16.25,24.32,8.07
Brownfield Redevelopment Specialists and Site Managers,human_conversation,15.93,15.93,0.00
Detectives and Criminal Investigators,human_conversation,31.20,31.20,0.00
Midwives,human_conversation,20.49,27.73,7.24
Fundraising Managers,human_conversation,11.92,11.92,0.00
"Special Education Teachers, Elementary School",human_conversation,19.90,19.90,0.00
Wind Energy Operations Managers,human_conversation,9.98,13.82,3.84
"Judges, Magistrate Judges, and Magistrates",human_conversation,10.97,23.86,12.89
Foresters,human_conversation,12.88,12.88,0.00
Equal Opportunity Representatives and Officers,human_conversation,26.00,31.42,5.42
"Airline Pilots, Copilots, and Flight Engineers",human_conversation,14.43,14.75,0.32
Range Managers,human_conversation,13.80,13.80,0.00
