geo,total_confirmed_workers,total_ceiling_workers,overall_gap_ratio,Architecture and Engineering Occupations,"Arts, Design, Entertainment, Sports, and Media Occupations",Building and Grounds Cleaning and Maintenance Occupations,Business and Financial Operations Occupations,Community and Social Service Occupations,Computer and Mathematical Occupations,Construction and Extraction Occupations,Educational Instruction and Library Occupations,"Farming, Fishing, and Forestry Occupations",Food Preparation and Serving Related Occupations,Healthcare Practitioners and Technical Occupations,Healthcare Support Occupations,"Installation, Maintenance, and Repair Occupations",Legal Occupations,"Life, Physical, and Social Science Occupations",Management Occupations,Office and Administrative Support Occupations,Personal Care and Service Occupations,Production Occupations,Protective Service Occupations,Sales and Related Occupations,Transportation and Material Moving Occupations
pr,515846.00,638090.00,0.24,0.17,0.17,0.50,0.20,0.14,0.17,0.12,0.14,0.46,0.16,0.12,0.12,0.21,0.15,0.29,0.39,0.23,0.23,0.49,0.16,0.26,1.16
ri,261204.00,321404.00,0.23,0.15,0.14,0.71,0.19,0.13,0.20,0.13,0.13,0.00,0.15,0.12,0.14,0.24,0.22,0.25,0.38,0.22,0.20,0.42,0.21,0.27,1.30
sc,1195355.00,1493685.00,0.25,0.18,0.16,0.63,0.18,0.12,0.20,0.13,0.13,0.68,0.15,0.12,0.13,0.24,0.21,0.28,0.40,0.21,0.23,0.45,0.17,0.28,1.56
sd,231938.00,284604.00,0.23,0.18,0.16,0.62,0.20,0.14,0.18,0.13,0.13,0.48,0.16,0.11,0.13,0.24,0.18,0.22,0.40,0.23,0.22,0.37,0.19,0.23,1.05
tn,1695082.00,2119943.00,0.25,0.17,0.18,0.63,0.19,0.12,0.20,0.11,0.13,0.48,0.16,0.12,0.13,0.24,0.19,0.25,0.38,0.24,0.21,0.45,0.21,0.26,1.25
tx,7518007.00,9318201.00,0.24,0.18,0.14,0.61,0.19,0.12,0.21,0.13,0.13,0.37,0.16,0.13,0.12,0.23,0.19,0.32,0.39,0.21,0.23,0.44,0.17,0.27,1.10
ut,921333.00,1141645.00,0.24,0.17,0.17,0.65,0.18,0.12,0.21,0.12,0.14,0.53,0.15,0.13,0.12,0.25,0.17,0.29,0.36,0.20,0.27,0.44,0.20,0.27,1.34
va,2326687.00,2864726.00,0.23,0.16,0.14,0.61,0.16,0.12,0.20,0.13,0.14,0.43,0.15,0.12,0.13,0.23,0.18,0.25,0.37,0.23,0.23,0.46,0.19,0.29,1.25
vi,19168.00,23668.00,0.23,0.19,0.16,0.60,0.19,0.12,0.23,0.12,0.12,0.00,0.15,0.12,0.12,0.21,0.18,0.24,0.40,0.25,0.24,0.42,0.15,0.26,0.98
vt,165003.00,203513.00,0.23,0.16,0.15,0.67,0.17,0.14,0.20,0.15,0.13,0.00,0.16,0.12,0.13,0.26,0.19,0.22,0.37,0.27,0.24,0.46,0.19,0.27,1.07
wa,1975707.00,2435975.00,0.23,0.16,0.15,0.68,0.17,0.16,0.23,0.13,0.15,0.72,0.15,0.13,0.13,0.23,0.20,0.23,0.34,0.24,0.23,0.42,0.21,0.25,1.26
wi,1481630.00,1859735.00,0.26,0.17,0.14,0.68,0.16,0.13,0.19,0.12,0.14,0.28,0.16,0.13,0.13,0.24,0.19,0.23,0.41,0.21,0.26,0.45,0.20,0.26,1.50
wv,373522.00,463419.00,0.24,0.19,0.18,0.63,0.16,0.14,0.22,0.15,0.14,0.58,0.18,0.12,0.14,0.24,0.18,0.26,0.44,0.23,0.25,0.45,0.18,0.27,1.25
wy,136523.00,169882.00,0.24,0.19,0.16,0.66,0.18,0.13,0.21,0.14,0.16,0.18,0.16,0.12,0.13,0.23,0.18,0.25,0.46,0.24,0.24,0.46,0.23,0.24,1.05
