category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,z_human_conv,z_aei_api,z_microsoft,z_mcp
Biofuels/Biodiesel Technology and Product Development Managers,22.85,0.00,16.40,7.44,1.82,-2.01,0.54,-0.48
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",22.66,0.00,19.66,2.32,1.43,-1.36,0.91,-0.96
Motorcycle Mechanics,22.62,0.00,22.25,2.18,1.18,-1.34,1.12,-0.99
Electrical and Electronic Equipment Assemblers,22.51,12.29,19.86,19.00,1.32,-4.46,0.37,0.15
"Bus Drivers, Transit and Intercity",22.47,0.00,22.47,24.26,0.51,-22.31,0.51,0.72
"Education Administrators, Kindergarten through Secondary",22.43,22.08,22.43,23.95,-0.39,-0.97,-0.39,8.18
Couriers and Messengers,22.38,23.59,15.51,29.50,-0.07,0.16,-2.53,2.07
"Morticians, Undertakers, and Funeral Arrangers",22.38,0.00,22.38,18.52,0.73,-9.45,0.73,0.28
"Physicians, Pathologists",22.36,25.60,22.36,17.49,0.13,1.73,0.13,-3.18
Printing Press Operators,22.24,0.00,21.59,23.34,0.56,-25.22,0.49,0.69
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",22.17,0.00,22.17,9.47,1.04,-2.45,1.04,-0.42
Cardiovascular Technologists and Technicians,22.13,4.69,16.37,15.89,1.48,-3.87,0.24,0.17
Police Identification and Records Officers,22.07,0.00,21.44,31.27,0.28,-4.53,0.23,1.33
Weatherization Installers and Technicians,22.02,0.00,13.59,17.87,1.24,-4.23,0.02,0.54
Magnetic Resonance Imaging Technologists,22.02,4.81,16.48,21.25,0.93,-5.03,0.05,0.78
Allergists and Immunologists,22.01,23.74,13.20,14.89,0.84,1.51,-1.49,-0.84
Gambling Managers,21.88,7.92,21.88,19.41,0.74,-9.22,0.74,0.27
Media Programming Directors,21.73,26.93,21.73,27.76,-1.15,0.92,-1.15,1.43
Dancers,21.71,0.00,21.71,1.60,1.15,-1.29,1.15,-1.03
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",21.63,8.04,16.10,21.72,0.92,-3.66,-0.13,0.95
Adhesive Bonding Machine Operators and Tenders,21.57,0.00,19.24,19.56,0.77,-15.89,0.46,0.50
First-Line Supervisors of Security Workers,21.55,0.00,21.55,36.73,0.11,-3.04,0.11,1.80
Fire Inspectors and Investigators,21.51,0.00,21.51,13.57,0.90,-4.11,0.90,-0.06
First-Line Supervisors of Correctional Officers,21.42,11.02,20.71,11.26,1.28,-1.19,1.03,-1.11
Cardiologists,21.34,0.00,21.34,13.63,0.90,-4.22,0.90,-0.05
Audiovisual Equipment Installers and Repairers,21.33,29.73,21.33,20.36,-0.48,15.57,-0.48,-0.78
Audiologists,21.24,0.00,20.68,7.48,1.13,-2.11,1.03,-0.54
Septic Tank Servicers and Sewer Pipe Cleaners,21.23,0.00,20.54,8.96,1.11,-2.45,0.98,-0.41
Administrative Services Managers,21.21,1.85,21.00,37.83,0.05,-2.57,0.04,2.08
Paperhangers,21.12,2.72,21.12,1.60,1.15,-1.06,1.15,-1.26
Family Medicine Physicians,21.06,19.70,21.06,10.40,0.69,0.36,0.69,-12.95
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,21.06,5.16,21.06,21.38,0.56,-85.37,0.56,0.61
Postal Service Mail Carriers,21.06,0.00,20.99,33.32,0.18,-3.54,0.17,1.59
Forest and Conservation Technicians,21.02,5.30,16.84,14.63,1.43,-3.76,0.40,0.03
Optometrists,20.88,19.12,18.26,3.82,0.83,0.52,0.39,-11.68
Aircraft Cargo Handling Supervisors,20.85,0.00,20.85,28.74,0.29,-5.16,0.29,1.23
Agricultural Technicians,20.85,6.49,16.92,10.35,1.82,-1.80,0.59,-0.59
"Tool Grinders, Filers, and Sharpeners",20.82,0.00,20.82,13.98,0.87,-4.69,0.87,0.01
Electrical Power-Line Installers and Repairers,20.80,0.00,19.30,9.12,1.17,-2.58,0.89,-0.37
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",20.80,7.99,10.04,20.77,1.15,-1.49,-0.88,1.14
"Maintenance and Repair Workers, General",20.80,0.00,20.44,5.63,1.15,-1.81,1.08,-0.68
Semiconductor Processing Technicians,20.76,0.00,20.76,20.78,0.58,-2454.91,0.58,0.58
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",20.75,0.00,20.75,8.04,1.07,-2.25,1.07,-0.48
"Pump Operators, Except Wellhead Pumpers",20.64,0.00,20.64,28.33,0.29,-5.22,0.29,1.22
Psychiatric Aides,20.63,8.62,15.86,11.55,2.37,-1.63,0.36,-0.58
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",20.62,0.00,15.23,13.71,1.31,-4.55,0.36,0.16
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",20.61,10.78,20.61,8.97,1.14,-0.89,1.14,-1.47
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",20.58,0.00,17.91,15.27,0.98,-6.75,0.56,0.22
"Special Education Teachers, Kindergarten",20.58,7.31,20.58,19.02,0.68,-14.16,0.68,0.37
Petroleum Engineers,20.42,0.00,19.94,22.78,0.50,-13.85,0.44,0.80
"Inspectors, Testers, Sorters, Samplers, and Weighers",20.41,10.96,14.92,14.21,3.34,-1.64,-0.06,-0.26
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",20.34,0.00,20.34,17.62,0.70,-12.38,0.70,0.35
"Mobile Heavy Equipment Mechanics, Except Engines",20.33,3.08,18.43,10.23,1.27,-2.47,0.83,-0.39
Photographic Process Workers and Processing Machine Operators,20.26,1.53,16.00,53.70,-0.13,-1.38,-0.35,4.19
Radiologic Technologists and Technicians,20.21,3.76,20.21,20.83,0.55,-47.06,0.55,0.64
"Opticians, Dispensing",20.21,0.00,20.21,7.02,1.09,-2.08,1.09,-0.55
Licensed Practical and Licensed Vocational Nurses,20.16,13.50,14.11,19.58,1.32,-1.33,-0.98,0.99
"Captains, Mates, and Pilots of Water Vessels",20.14,0.00,20.14,22.53,0.48,-15.16,0.48,0.78
Chiropractors,20.11,20.94,14.75,14.28,0.93,1.41,-1.02,-1.29
Critical Care Nurses,20.10,9.54,11.65,8.15,5.85,-0.61,-0.14,-1.00
Stationary Engineers and Boiler Operators,20.10,0.00,19.66,21.66,0.53,-19.46,0.47,0.73
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",20.06,0.00,20.06,5.73,1.11,-1.85,1.11,-0.66
Terrazzo Workers and Finishers,20.00,1.85,18.47,1.24,1.31,-1.09,1.01,-1.21
"Plumbers, Pipefitters, and Steamfitters",19.99,12.15,19.99,9.97,1.13,-0.78,1.13,-1.64
"Electric Motor, Power Tool, and Related Repairers",19.94,3.22,19.63,9.81,1.10,-2.30,1.03,-0.47
"Food Servers, Nonrestaurant",19.93,6.53,19.01,14.41,1.05,-3.80,0.80,-0.10
"Special Education Teachers, Elementary School",19.90,7.56,19.90,11.79,1.09,-2.06,1.09,-0.56
Farm Labor Contractors,19.80,0.00,19.80,21.42,0.51,-21.84,0.51,0.72
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",19.76,0.00,19.76,14.47,0.82,-5.89,0.82,0.11
Acupuncturists,19.67,5.05,7.33,10.04,4.89,-1.12,-0.57,-0.08
Funeral Home Managers,19.66,9.55,19.66,28.65,0.04,-2.52,0.04,2.12
Heavy and Tractor-Trailer Truck Drivers,19.54,10.98,16.19,18.81,1.06,-4.09,-0.05,0.75
Industrial Production Managers,19.54,0.00,17.07,35.95,0.10,-2.36,-0.08,2.23
Preventive Medicine Physicians,19.43,0.00,8.25,13.33,1.82,-2.44,-0.27,0.42
Court Reporters and Simultaneous Captioners,19.41,7.11,19.41,55.58,-0.32,-1.17,-0.32,5.67
Neurodiagnostic Technologists,19.38,4.40,12.74,7.79,2.64,-1.53,0.28,-0.58
"Derrick Operators, Oil and Gas",19.38,0.00,19.38,2.51,1.15,-1.41,1.15,-0.93
"Painters, Construction and Maintenance",19.35,2.06,9.33,0.46,3.26,-0.81,0.20,-1.13
Jewelers and Precious Stone and Metal Workers,19.34,3.55,19.34,9.40,1.07,-2.17,1.07,-0.51
Veterinary Assistants and Laboratory Animal Caretakers,19.22,9.37,11.35,17.51,1.53,-1.61,-0.76,0.81
Gas Plant Operators,19.07,10.55,10.63,18.40,1.30,-1.17,-1.14,1.02
Geodetic Surveyors,19.01,3.55,15.85,46.55,-0.13,-1.40,-0.33,4.13
Veterinary Technologists and Technicians,19.00,6.54,12.57,14.15,1.97,-2.60,-0.10,0.23
Automotive Service Technicians and Mechanics,18.91,5.94,18.91,16.32,0.76,-8.11,0.76,0.23
Food Cooking Machine Operators and Tenders,18.90,0.00,18.90,21.10,0.48,-15.47,0.48,0.78
Railroad Conductors and Yardmasters,18.88,0.00,16.01,9.63,1.28,-3.14,0.69,-0.20
Locomotive Engineers,18.80,0.00,16.74,8.62,1.24,-2.74,0.81,-0.31
Engine and Other Machine Assemblers,18.72,7.43,15.25,2.19,1.59,-0.53,0.69,-2.01
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",18.72,3.60,9.08,13.02,2.14,-2.07,-0.35,0.33
Upholsterers,18.70,0.00,16.25,6.65,1.35,-2.18,0.82,-0.49
Parking Enforcement Workers,18.67,0.00,17.96,26.89,0.27,-4.27,0.20,1.39
Hospitalists,18.60,0.00,18.60,15.41,0.73,-9.54,0.73,0.28
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",18.58,0.00,18.58,14.48,0.77,-7.27,0.77,0.20
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",18.57,4.52,15.77,9.45,1.53,-2.16,0.69,-0.47
Textile Bleaching and Dyeing Machine Operators and Tenders,18.56,4.61,15.28,17.71,0.86,-7.40,0.21,0.67
Registered Nurses,18.49,19.43,9.30,12.94,0.90,1.26,-2.18,-0.50
"Mixing and Blending Machine Setters, Operators, and Tenders",18.49,11.50,13.84,9.65,3.25,-0.56,0.13,-1.39
First-Line Supervisors of Police and Detectives,18.41,0.00,12.51,25.06,0.47,-2.97,-0.15,1.57
Financial Examiners,18.28,2.30,13.44,21.36,0.62,-3.85,-0.05,1.22
Farm Equipment Mechanics and Service Technicians,18.20,0.00,18.20,13.28,0.82,-5.82,0.82,0.11
"Layout Workers, Metal and Plastic",18.20,0.00,17.11,10.62,1.04,-3.74,0.82,-0.11
Clinical Neuropsychologists,18.17,5.05,18.17,10.01,1.07,-2.21,1.07,-0.50
"Helpers--Installation, Maintenance, and Repair Workers",18.07,0.00,14.13,1.37,1.66,-1.28,0.76,-0.99
"Rail Yard Engineers, Dinkey Operators, and Hostlers",18.05,0.00,15.94,7.80,1.27,-2.57,0.81,-0.36
"Maintenance Workers, Machinery",17.99,0.00,17.99,13.86,0.78,-6.96,0.78,0.18
Metal-Refining Furnace Operators and Tenders,17.97,0.00,17.97,15.94,0.68,-14.77,0.68,0.38
"Sewers, Hand",17.94,0.00,17.94,0.36,1.15,-1.19,1.15,-1.12
Nuclear Technicians,17.93,0.00,17.93,15.57,0.69,-12.60,0.69,0.35
Parking Attendants,17.80,5.10,17.80,11.13,1.02,-2.72,1.02,-0.33
"Mail Clerks and Mail Machine Operators, Except Postal Service",17.72,8.68,17.72,29.35,-0.08,-1.92,-0.08,2.81
"Makeup Artists, Theatrical and Performance",17.67,0.00,13.92,0.88,1.63,-1.23,0.78,-1.04
Labor Relations Specialists,17.63,28.85,9.64,6.00,0.23,2.98,-0.69,-1.32
Quality Control Systems Managers,17.52,0.71,16.85,27.86,0.17,-3.25,0.11,1.70
Etchers and Engravers,17.43,0.00,16.91,18.50,0.55,-21.72,0.47,0.71
"Potters, Manufacturing",17.30,0.00,16.83,8.53,1.05,-2.88,0.95,-0.29
Conveyor Operators and Tenders,17.23,11.41,11.44,15.71,1.77,-1.13,-1.11,0.70
Chemical Plant and System Operators,17.22,0.00,7.17,9.23,2.42,-2.11,-0.19,0.13
"Pourers and Casters, Metal",17.06,0.00,17.06,4.37,1.12,-1.75,1.12,-0.71
"Model Makers, Metal and Plastic",16.98,0.00,16.98,20.32,0.42,-9.41,0.42,0.92
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",16.96,6.38,16.96,2.63,1.12,-0.70,1.12,-1.77
Driver/Sales Workers,16.94,20.57,4.96,36.86,-0.24,0.06,-1.87,2.78
General Internal Medicine Physicians,16.70,28.46,16.70,10.51,-0.20,3.87,-0.20,-1.49
Nuclear Engineers,16.68,8.32,15.01,17.67,0.63,-6.06,0.15,0.98
Nurse Anesthetists,16.64,0.00,16.64,7.95,1.01,-2.74,1.01,-0.33
"Cutting and Slicing Machine Setters, Operators, and Tenders",16.59,4.27,14.36,21.54,0.37,-3.59,0.02,1.49
Correctional Officers and Jailers,16.56,0.00,15.05,13.12,0.88,-8.66,0.59,0.28
Emergency Medicine Physicians,16.51,0.00,16.51,15.40,0.64,-25.11,0.64,0.46
Watch and Clock Repairers,16.48,0.00,16.48,4.33,1.12,-1.77,1.12,-0.70
Orthoptists,16.37,11.23,13.64,7.11,1.73,-0.24,0.45,-2.58
"Cooks, Institution and Cafeteria",16.33,0.00,14.96,14.76,0.75,-17.99,0.51,0.48
"Packers and Packagers, Hand",16.33,9.14,16.33,9.42,1.15,-1.23,1.15,-1.09
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",16.32,0.00,16.03,6.48,1.09,-2.31,1.03,-0.46
Agricultural Equipment Operators,16.24,0.00,16.24,2.25,1.15,-1.43,1.15,-0.91
"Textile Cutting Machine Setters, Operators, and Tenders",16.22,7.38,14.70,15.35,0.85,-10.51,0.35,0.55
"Coil Winders, Tapers, and Finishers",16.19,0.00,16.19,17.66,0.50,-19.67,0.50,0.73
"Welders, Cutters, Solderers, and Brazers",16.18,0.00,16.18,2.76,1.14,-1.51,1.14,-0.86
Recycling Coordinators,16.18,7.95,13.88,24.45,0.09,-1.84,-0.28,2.78
Furniture Finishers,16.17,0.00,16.17,0.62,1.15,-1.22,1.15,-1.09
Shuttle Drivers and Chauffeurs,16.14,4.97,16.14,16.58,0.54,-45.43,0.54,0.64
Tile and Stone Setters,16.11,0.00,16.11,2.68,1.14,-1.50,1.14,-0.87
Occupational Health and Safety Technicians,16.05,9.62,14.57,11.92,1.62,-2.18,0.63,-0.44
Physical Medicine and Rehabilitation Physicians,16.03,0.00,2.39,4.52,6.07,-1.04,-0.54,-0.19
Brownfield Redevelopment Specialists and Site Managers,15.93,0.00,15.93,21.90,0.29,-5.20,0.29,1.23
Power Plant Operators,15.78,2.81,11.94,18.37,0.61,-3.88,-0.05,1.23
Carpet Installers,15.76,0.00,15.76,11.37,0.83,-5.65,0.83,0.10
Massage Therapists,15.75,8.48,7.38,1.72,2.73,0.03,-0.18,-1.94
Psychiatric Technicians,15.72,0.00,12.21,6.80,1.53,-2.58,0.60,-0.30
Crematory Operators,15.67,0.00,15.67,5.55,1.08,-2.10,1.08,-0.54
Respiratory Therapists,15.65,0.00,13.55,6.08,1.34,-2.34,0.80,-0.43
Brickmasons and Blockmasons,15.65,6.50,15.65,7.15,1.15,-1.29,1.15,-1.03
Urologists,15.64,14.31,12.78,11.07,1.80,0.50,-0.38,-2.22
Helpers--Electricians,15.52,0.00,15.52,2.43,1.14,-1.48,1.14,-0.88
Glaziers,15.47,0.00,13.62,5.41,1.33,-2.15,0.85,-0.51
"Paper Goods Machine Setters, Operators, and Tenders",15.45,0.00,15.45,21.61,0.28,-4.93,0.28,1.27
Light Truck Drivers,15.34,0.00,15.34,20.51,0.32,-5.72,0.32,1.16
Radiation Therapists,15.26,4.26,13.57,16.50,0.60,-7.37,0.23,0.92
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",15.25,0.00,15.25,13.79,0.66,-17.52,0.66,0.41
Crane and Tower Operators,15.25,0.00,15.25,9.39,0.91,-3.94,0.91,-0.09
Biomass Power Plant Managers,15.19,2.81,13.83,25.84,0.09,-2.35,-0.07,2.24
"Stone Cutters and Carvers, Manufacturing",15.17,7.55,13.89,1.41,1.21,-0.34,0.85,-2.65
Outdoor Power Equipment and Other Small Engine Mechanics,15.17,6.53,15.17,16.20,0.48,-15.08,0.48,0.78
Aviation Inspectors,15.13,0.00,15.13,11.70,0.78,-7.05,0.78,0.18
Fallers,15.08,0.00,15.08,2.23,1.14,-1.46,1.14,-0.90
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",15.06,0.00,14.58,12.17,0.79,-9.01,0.69,0.27
"Geological Technicians, Except Hydrologic Technicians",14.98,23.36,14.98,26.45,-1.11,0.69,-1.11,1.79
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",14.94,0.00,14.94,0.00,1.15,-1.15,1.15,-1.15
Postmasters and Mail Superintendents,14.87,12.06,12.59,52.38,-0.47,-0.65,-0.61,26.25
Loss Prevention Managers,14.87,4.15,12.01,24.89,0.11,-1.94,-0.25,2.62
Millwrights,14.86,0.00,14.86,3.33,1.13,-1.65,1.13,-0.77
Chemical Equipment Operators and Tenders,14.86,7.94,14.71,10.78,1.09,-2.38,1.01,-0.44
Shampooers,14.82,0.00,0.73,17.72,0.86,-1.22,-1.06,1.50
Electromechanical Equipment Assemblers,14.80,6.02,12.58,8.05,1.76,-1.69,0.64,-0.67
"Airline Pilots, Copilots, and Flight Engineers",14.75,0.88,14.43,25.26,0.10,-2.80,0.07,1.93
"Glass Blowers, Molders, Benders, and Finishers",14.67,0.00,14.67,5.26,1.08,-2.12,1.08,-0.53
"Bus Drivers, School",14.64,0.00,14.64,12.83,0.69,-13.46,0.69,0.36
Occupational Therapy Assistants,14.62,5.30,14.51,5.97,1.17,-1.29,1.13,-1.03
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",14.60,4.93,14.60,9.08,1.04,-2.46,1.04,-0.41
Conservation Scientists,14.57,0.00,14.57,10.98,0.80,-6.45,0.80,0.15
Nursing Assistants,14.54,0.00,9.69,10.03,1.40,-4.22,0.20,0.26
"Tank Car, Truck, and Ship Loaders",14.53,0.00,14.53,17.76,0.40,-8.38,0.40,0.96
"Grinding and Polishing Workers, Hand",14.29,0.00,14.29,12.06,0.72,-10.55,0.72,0.31
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",14.28,0.00,12.51,1.08,1.41,-1.30,0.93,-1.01
Aircraft Service Attendants,14.25,0.00,14.25,2.35,1.14,-1.50,1.14,-0.87
Musicians and Singers,14.12,17.54,14.12,19.05,-1.10,0.62,-1.10,1.92
Hearing Aid Specialists,14.11,0.00,10.55,4.67,1.71,-2.05,0.60,-0.48
Subway and Streetcar Operators,14.09,8.94,12.41,27.51,-0.22,-1.09,-0.46,5.98
Aircraft Mechanics and Service Technicians,14.03,0.00,14.03,9.01,0.89,-4.27,0.89,-0.04
Wellhead Pumpers,14.02,0.00,14.02,32.89,-0.10,-1.86,-0.10,2.91
Wind Energy Development Managers,13.94,15.27,13.94,19.43,-0.79,-0.16,-0.79,6.55
Biofuels Processing Technicians,13.88,7.13,6.74,28.54,-0.02,-0.83,-0.89,4.81
"Tailors, Dressmakers, and Custom Sewers",13.88,2.73,8.85,5.32,2.68,-1.54,0.26,-0.57
Team Assemblers,13.85,0.00,13.85,13.78,0.58,-381.85,0.58,0.57
Wind Energy Operations Managers,13.82,11.19,9.98,26.10,-0.22,-0.65,-0.89,7.35
Range Managers,13.80,0.00,13.80,8.33,0.92,-3.79,0.92,-0.11
Signal and Track Switch Repairers,13.79,0.00,13.79,14.28,0.55,-49.33,0.55,0.64
"Insulation Workers, Floor, Ceiling, and Wall",13.62,0.00,13.62,9.57,0.84,-5.25,0.84,0.06
"Orthopedic Surgeons, Except Pediatric",13.62,0.00,13.62,11.12,0.74,-8.87,0.74,0.26
Oral and Maxillofacial Surgeons,13.47,0.00,9.98,3.89,1.76,-1.88,0.60,-0.56
Firefighters,13.47,0.00,13.47,5.76,1.04,-2.45,1.04,-0.41
"Painting, Coating, and Decorating Workers",13.39,0.00,13.39,0.00,1.15,-1.15,1.15,-1.15
Drywall and Ceiling Tile Installers,13.34,6.05,10.18,8.29,2.50,-1.79,0.26,-0.43
Dining Room and Cafeteria Attendants and Bartender Helpers,13.34,0.00,13.34,9.62,0.83,-5.64,0.83,0.10
"Umpires, Referees, and Other Sports Officials",13.30,0.00,13.30,23.60,0.08,-2.81,0.08,1.92
Laundry and Dry-Cleaning Workers,13.23,0.00,13.23,8.39,0.90,-4.16,0.90,-0.06
Physical Therapist Assistants,13.17,0.00,12.47,8.41,0.98,-4.41,0.79,-0.02
Pediatric Surgeons,13.12,0.00,13.12,7.63,0.94,-3.56,0.94,-0.15
Orthotists and Prosthetists,12.99,0.00,12.99,3.93,1.10,-1.91,1.10,-0.63
Motorboat Mechanics and Service Technicians,12.95,0.00,12.95,6.50,1.00,-2.90,1.00,-0.29
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",12.92,8.70,12.92,29.41,-0.37,-1.02,-0.37,7.36
Foresters,12.88,0.00,12.88,1.80,1.15,-1.44,1.15,-0.91
"Refractory Materials Repairers, Except Brickmasons",12.88,0.00,12.88,0.00,1.15,-1.15,1.15,-1.15
"Molders, Shapers, and Casters, Except Metal and Plastic",12.68,2.32,12.68,1.04,1.15,-0.96,1.15,-1.37
Ophthalmic Laboratory Technicians,12.58,0.00,12.58,1.39,1.15,-1.37,1.15,-0.96
Cement Masons and Concrete Finishers,12.55,9.55,6.58,0.00,1.47,0.51,-0.12,-3.20
Dental Assistants,12.50,28.60,12.50,13.49,-0.63,27.51,-0.63,-0.47
Forest Fire Inspectors and Prevention Specialists,12.20,0.00,6.29,36.37,-0.10,-1.15,-0.53,4.95
Log Graders and Scalers,12.19,0.00,12.19,17.41,0.26,-4.63,0.26,1.32
Helpers--Production Workers,12.12,5.79,5.39,22.75,0.08,-0.87,-0.95,3.97
"Farmers, Ranchers, and Other Agricultural Managers",12.11,4.31,12.11,14.74,0.32,-5.73,0.32,1.16
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",12.03,5.71,12.03,14.27,0.31,-5.48,0.31,1.19
Histotechnologists,12.02,10.54,12.02,2.79,0.72,0.30,0.72,-10.25
Fundraising Managers,11.92,5.96,11.92,37.91,-0.39,-0.97,-0.39,8.13
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",11.82,0.00,8.71,15.46,0.49,-3.55,-0.05,1.41
Forest and Conservation Workers,11.78,0.00,11.78,4.19,1.08,-2.11,1.08,-0.54
Automotive Body and Related Repairers,11.71,0.00,11.71,1.89,1.14,-1.49,1.14,-0.87
Phlebotomists,11.57,5.25,6.61,8.99,2.44,-1.53,-0.63,0.35
Reinforcing Iron and Rebar Workers,11.47,0.00,11.47,0.00,1.15,-1.15,1.15,-1.15
Mechanical Door Repairers,11.38,0.00,11.38,11.71,0.55,-60.32,0.55,0.63
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",11.34,0.00,11.34,4.46,1.06,-2.28,1.06,-0.47
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",11.28,5.54,10.52,1.31,1.19,-0.39,0.89,-2.50
Construction Laborers,11.24,3.60,3.87,0.50,4.58,-0.29,-0.23,-1.32
"Excavating and Loading Machine and Dragline Operators, Surface Mining",11.21,3.46,11.21,0.98,1.12,-0.73,1.12,-1.71
Sewing Machine Operators,11.19,0.00,11.19,10.69,0.62,-38.43,0.62,0.50
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",11.17,4.34,10.23,10.57,0.80,-13.20,0.41,0.54
Paramedics,11.11,0.00,11.11,4.50,1.06,-2.33,1.06,-0.45
Pipelayers,11.09,0.00,11.09,1.36,1.15,-1.40,1.15,-0.94
Hydroelectric Plant Technicians,10.99,0.00,10.99,16.28,0.23,-4.18,0.23,1.41
"Ophthalmologists, Except Pediatric",10.96,9.39,10.96,11.04,0.54,-36.66,0.54,0.66
"Cutters and Trimmers, Hand",10.93,0.00,10.93,10.44,0.62,-38.06,0.62,0.50
Animal Trainers,10.84,3.09,5.59,6.63,3.16,-1.65,-0.33,0.03
Shoe and Leather Workers and Repairers,10.77,0.00,10.77,1.84,1.14,-1.51,1.14,-0.86
"Pressers, Textile, Garment, and Related Materials",10.75,0.00,10.75,5.02,1.02,-2.67,1.02,-0.35
Carpenters,10.71,4.02,10.71,9.98,0.67,-15.29,0.67,0.39
Barbers,10.65,5.00,9.94,11.69,0.51,-6.54,0.23,1.03
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",10.59,0.00,10.59,19.13,0.07,-2.73,0.07,1.97
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",10.54,2.27,10.54,6.80,0.97,-3.25,0.97,-0.21
Anesthesiologist Assistants,10.49,0.00,10.13,10.64,0.59,-39.77,0.51,0.63
Emergency Medical Technicians,10.44,0.00,10.44,6.41,0.92,-3.91,0.92,-0.09
Fiberglass Laminators and Fabricators,10.34,0.00,10.34,0.00,1.15,-1.15,1.15,-1.15
Stonemasons,10.30,0.00,10.30,0.26,1.15,-1.20,1.15,-1.11
Boilermakers,10.26,11.29,10.26,3.68,0.45,0.85,0.45,-11.69
Dental Laboratory Technicians,10.16,9.17,10.16,0.88,0.67,0.39,0.67,-15.66
Hydroelectric Production Managers,10.08,0.00,9.16,11.17,0.56,-10.07,0.34,0.85
"Roof Bolters, Mining",10.08,0.00,10.08,2.84,1.11,-1.84,1.11,-0.67
Physical Therapist Aides,10.07,0.00,7.47,10.42,0.76,-5.78,0.11,0.88
"Graders and Sorters, Agricultural Products",10.06,0.00,10.06,11.72,0.44,-11.02,0.44,0.86
Geothermal Production Managers,10.04,0.00,8.75,23.07,-0.05,-1.76,-0.20,3.08
"Floor Layers, Except Carpet, Wood, and Hard Tiles",9.90,0.00,9.90,4.15,1.05,-2.41,1.05,-0.43
Motion Picture Projectionists,9.83,0.00,5.02,35.46,-0.19,-1.02,-0.55,6.21
Timing Device Assemblers and Adjusters,9.74,2.40,4.05,3.81,7.07,-1.03,-0.32,-0.41
Embalmers,9.68,0.00,7.28,7.49,1.12,-6.13,0.31,0.37
"Coin, Vending, and Amusement Machine Servicers and Repairers",9.65,0.00,9.65,30.49,-0.24,-1.38,-0.24,4.32
Tapers,9.44,0.00,6.94,0.00,1.78,-1.12,0.70,-1.12
"Rotary Drill Operators, Oil and Gas",9.33,0.00,9.33,8.65,0.64,-23.16,0.64,0.45
Operating Engineers and Other Construction Equipment Operators,9.22,0.00,9.22,5.71,0.91,-3.97,0.91,-0.08
Hazardous Materials Removal Workers,9.12,6.63,2.49,9.04,0.93,-0.07,-4.08,0.88
Nuclear Power Reactor Operators,8.97,0.00,8.97,31.82,-0.28,-1.26,-0.28,4.99
Medical Appliance Technicians,8.97,0.00,8.97,0.00,1.15,-1.15,1.15,-1.15
Fence Erectors,8.90,0.00,8.90,3.06,1.09,-2.06,1.09,-0.56
Biomass Plant Technicians,8.87,0.00,8.87,18.02,-0.01,-2.25,-0.01,2.37
Hoist and Winch Operators,8.77,0.00,8.77,18.80,-0.04,-2.09,-0.04,2.56
Sailors and Marine Oilers,8.72,0.00,8.72,7.59,0.69,-12.76,0.69,0.35
Structural Metal Fabricators and Fitters,8.66,0.00,8.66,1.38,1.14,-1.48,1.14,-0.88
Solar Thermal Installers and Technicians,8.43,0.00,8.43,8.33,0.59,-148.96,0.59,0.56
Automotive and Watercraft Service Attendants,8.36,9.81,6.49,15.92,-0.50,-0.09,-1.21,4.63
Tree Trimmers and Pruners,8.23,0.00,8.23,0.87,1.15,-1.36,1.15,-0.97
Shoe Machine Operators and Tenders,8.17,0.00,8.17,2.99,1.08,-2.16,1.08,-0.52
