category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,z_human_conv,z_aei_api,z_microsoft,z_mcp
Data Scientists,46.04,0.00,46.04,72.12,0.18,-3.63,0.18,1.56
Automotive Engineering Technicians,46.02,25.11,30.30,36.81,2.61,-1.59,-0.54,0.28
Legislators,45.88,5.73,37.59,13.11,1.62,-1.55,0.75,-0.78
Parts Salespersons,45.85,13.80,34.53,53.34,0.60,-3.25,-0.15,1.35
Coaches and Scouts,45.83,28.43,24.05,23.26,7.38,-0.20,-0.72,-0.83
Chemical Engineers,45.78,0.00,39.30,34.08,1.00,-6.78,0.53,0.23
"Office Machine Operators, Except Computer",45.78,4.80,40.17,34.05,1.03,-6.00,0.57,0.17
Marriage and Family Therapists,45.76,37.29,32.88,30.96,3.72,0.09,-0.69,-1.17
Purchasing Managers,45.74,32.83,18.88,34.26,2.01,-0.01,-2.65,0.13
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",45.62,21.87,42.31,30.32,1.37,-2.18,0.81,-0.49
Photonics Engineers,45.59,31.32,35.54,34.99,5.07,-1.24,-0.24,-0.34
Manufacturing Engineers,45.54,21.77,39.97,33.26,1.51,-2.90,0.54,-0.20
Architectural and Civil Drafters,45.47,7.15,45.47,56.15,0.36,-6.80,0.36,1.06
Government Property Inspectors and Investigators,45.47,28.20,38.27,19.03,1.76,-0.44,0.55,-2.11
Microbiologists,45.35,29.10,30.33,8.41,1.85,0.06,0.15,-2.93
Digital Forensics Analysts,45.34,0.00,45.34,52.49,0.45,-11.56,0.45,0.85
"Eligibility Interviewers, Government Programs",45.25,36.81,37.08,50.05,0.52,-1.12,-1.04,2.15
"Fraud Examiners, Investigators and Analysts",45.21,36.96,33.57,26.31,2.38,0.20,-0.27,-2.05
Software Developers,45.16,19.58,45.16,59.94,0.18,-3.58,0.18,1.58
Order Clerks,45.08,50.27,37.35,52.42,-0.20,0.71,-3.16,1.26
"Meat, Poultry, and Fish Cutters and Trimmers",45.01,0.00,45.01,4.29,1.15,-1.34,1.15,-0.99
Biological Technicians,44.99,21.33,27.12,39.53,1.68,-1.73,-0.66,0.68
Interior Designers,44.80,6.86,30.09,31.52,1.59,-3.53,0.12,0.22
"Insurance Appraisers, Auto Damage",44.79,0.00,34.10,17.47,1.62,-2.33,0.59,-0.38
Dietetic Technicians,44.74,38.91,23.79,29.16,1.84,0.58,-1.76,-0.61
Forensic Science Technicians,44.69,14.61,42.74,26.02,1.19,-2.26,0.94,-0.48
Credit Analysts,44.65,37.19,33.24,64.00,-0.01,-0.65,-1.11,4.43
Medical and Health Services Managers,44.33,25.69,33.34,35.81,2.41,-2.11,-0.21,0.15
"Preschool Teachers, Except Special Education",44.27,11.83,19.60,12.51,6.89,-0.82,-0.18,-0.75
Computer Hardware Engineers,44.27,38.81,29.05,27.91,2.06,0.55,-0.95,-1.23
Set and Exhibit Designers,44.13,14.82,38.84,23.17,1.52,-1.89,0.76,-0.60
Customs and Border Protection Officers,44.11,24.76,44.11,19.20,1.13,-0.77,1.13,-1.65
Human Factors Engineers and Ergonomists,44.10,14.62,42.38,12.36,1.26,-1.03,1.06,-1.29
Logistics Engineers,44.08,33.42,19.51,41.86,1.11,-0.13,-3.61,0.77
Landscape Architects,44.00,5.97,34.57,17.76,1.71,-1.97,0.62,-0.53
Tellers,43.99,4.20,40.87,63.08,0.27,-3.75,0.13,1.51
"Pediatricians, General",43.64,25.29,12.25,6.86,3.04,0.22,-0.71,-1.28
Climate Change Policy Analysts,43.62,16.19,43.62,29.47,1.01,-2.78,1.01,-0.32
Credit Counselors,43.61,46.63,34.26,40.40,0.51,1.52,-2.98,-0.17
Baristas,43.44,23.07,35.90,20.14,2.04,-0.85,0.55,-1.36
Chemical Technicians,43.39,26.22,26.80,26.53,57.85,-0.62,-0.53,-0.58
Athletes and Sports Competitors,43.35,9.61,37.03,7.01,1.53,-1.01,0.84,-1.28
"Environmental Scientists and Specialists, Including Health",43.34,26.01,27.57,19.93,4.67,-0.36,-0.18,-1.29
Personal Care Aides,43.33,10.01,21.95,17.40,4.46,-1.27,-0.09,-0.46
Biochemists and Biophysicists,43.30,22.86,39.07,22.14,1.60,-1.07,0.80,-1.20
Security Management Specialists,43.14,15.79,29.09,25.84,2.82,-1.84,0.06,-0.26
"Special Education Teachers, Secondary School",43.11,31.03,24.50,14.17,2.34,0.26,-0.34,-1.98
"Teaching Assistants, Postsecondary",43.01,9.73,43.01,27.69,0.97,-3.18,0.97,-0.22
"Production, Planning, and Expediting Clerks",42.85,23.16,34.78,40.78,1.11,-3.89,-0.08,0.73
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",42.84,4.19,42.84,15.55,1.11,-1.88,1.11,-0.65
"Hotel, Motel, and Resort Desk Clerks",42.83,34.94,35.01,47.35,0.52,-1.09,-1.07,2.15
Broadcast Announcers and Radio Disc Jockeys,42.82,23.96,42.82,51.10,0.25,-4.52,0.25,1.34
Electrical Engineers,42.60,11.44,32.95,35.46,1.21,-5.10,0.19,0.40
Security Guards,42.56,23.52,26.75,31.52,3.80,-1.24,-0.60,0.06
Payroll and Timekeeping Clerks,42.53,20.64,35.66,61.57,0.16,-1.93,-0.29,2.56
Electrical and Electronic Engineering Technologists and Technicians,42.53,13.14,42.53,30.75,0.93,-3.74,0.93,-0.12
Pharmacists,42.36,24.97,38.24,22.41,1.63,-0.89,0.77,-1.41
Cashiers,42.33,18.39,37.18,60.59,0.17,-2.30,-0.15,2.22
Dietitians and Nutritionists,42.31,31.08,40.32,32.90,1.54,-1.50,0.81,-0.83
Environmental Economists,42.27,19.87,32.57,26.53,2.51,-1.75,0.26,-0.45
Nuclear Monitoring Technicians,42.22,6.79,31.31,19.13,1.89,-2.09,0.48,-0.42
Biologists,42.12,9.17,40.25,20.68,1.19,-2.12,0.97,-0.53
New Accounts Clerks,42.12,10.79,42.12,66.76,0.08,-2.78,0.08,1.94
Solar Energy Systems Engineers,42.06,0.00,42.06,35.66,0.71,-10.80,0.71,0.31
Genetic Counselors,42.05,13.27,39.92,19.44,1.28,-1.64,0.99,-0.77
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",42.04,11.51,32.41,7.10,1.85,-0.87,0.64,-1.38
Transportation Security Screeners,42.00,6.21,39.67,15.80,1.24,-1.81,0.99,-0.67
Materials Scientists,41.89,29.54,25.58,17.93,2.97,0.09,-0.35,-1.69
Special Effects Artists and Animators,41.87,34.45,41.87,57.25,-0.23,-1.41,-0.23,4.17
Appraisers of Personal and Business Property,41.67,0.00,41.67,33.56,0.75,-8.32,0.75,0.24
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",41.62,0.00,40.69,32.06,0.81,-7.23,0.74,0.19
Paralegals and Legal Assistants,41.59,29.29,22.01,42.58,0.99,-0.53,-2.14,1.17
Urban and Regional Planners,41.57,16.49,35.58,23.82,1.69,-1.90,0.64,-0.56
Actuaries,41.57,1.54,27.11,19.31,1.95,-2.46,0.31,-0.20
"Cooks, Private Household",41.42,7.49,37.61,5.41,1.36,-1.04,0.96,-1.26
Compliance Managers,41.31,24.22,27.19,33.09,2.91,-1.36,-0.66,0.24
Gambling and Sports Book Writers and Runners,41.19,3.31,41.19,44.73,0.50,-19.08,0.50,0.74
Advertising and Promotions Managers,41.12,42.68,33.14,42.67,0.29,0.72,-10.04,0.72
"Dispatchers, Except Police, Fire, and Ambulance",41.12,37.86,28.63,59.45,-0.05,-0.34,-1.50,3.64
Amusement and Recreation Attendants,40.93,7.49,37.48,38.31,0.75,-17.41,0.46,0.53
Radiologists,40.89,18.61,22.03,18.55,10.61,-0.71,-0.31,-0.72
"Cooks, Fast Food",40.84,0.00,37.29,11.27,1.29,-1.85,0.94,-0.65
"Education Administrators, Postsecondary",40.79,8.26,12.62,24.56,3.04,-1.25,-0.73,0.23
Insurance Underwriters,40.74,30.74,32.55,38.00,1.85,-1.52,-0.76,0.62
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",40.73,46.42,40.73,54.66,-0.93,0.13,-0.93,3.66
Water/Wastewater Engineers,40.72,3.31,33.14,28.70,1.18,-5.08,0.47,0.15
Butchers and Meat Cutters,40.59,0.00,40.59,8.91,1.13,-1.64,1.13,-0.77
