title_current,trajectory,first_pct,last_pct,total_gain,early_gain,late_gain,major_occ_category
Credit Counselors,steady,34.26,57.22,22.96,19.32,3.63,Business and Financial Operations Occupations
Crematory Operators,laggard,15.67,15.67,0.00,0.00,0.00,Personal Care and Service Occupations
"Criminal Justice and Law Enforcement Teachers, Postsecondary",steady,33.36,71.01,37.65,31.36,6.29,Educational Instruction and Library Occupations
Critical Care Nurses,plateaued,11.65,24.02,12.36,10.91,1.45,Healthcare Practitioners and Technical Occupations
Crossing Guards and Flaggers,laggard,25.46,25.46,0.00,0.00,0.00,Protective Service Occupations
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",plateaued,9.08,18.72,9.63,9.63,0.00,Production Occupations
Curators,steady,36.04,84.17,48.13,16.29,31.84,Educational Instruction and Library Occupations
Customer Service Representatives,steady,45.08,84.08,39.01,35.11,3.89,Office and Administrative Support Occupations
Customs Brokers,plateaued,24.39,43.21,18.82,18.82,0.00,Business and Financial Operations Occupations
Customs and Border Protection Officers,early_mover,44.11,44.11,0.00,0.00,0.00,Protective Service Occupations
"Cutters and Trimmers, Hand",laggard,10.93,10.93,0.00,0.00,0.00,Production Occupations
"Cutting and Slicing Machine Setters, Operators, and Tenders",laggard,14.36,16.59,2.23,2.23,0.00,Production Occupations
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",laggard,15.77,18.57,2.80,1.93,0.87,Production Occupations
Cytogenetic Technologists,plateaued,25.00,38.37,13.37,10.72,2.65,Healthcare Practitioners and Technical Occupations
Cytotechnologists,steady,23.31,45.93,22.61,19.60,3.02,Healthcare Practitioners and Technical Occupations
Dancers,laggard,21.71,21.71,0.00,0.00,0.00,"Arts, Design, Entertainment, Sports, and Media Occupations"
Data Entry Keyers,steady,38.17,65.89,27.71,15.36,12.35,Office and Administrative Support Occupations
Data Scientists,early_mover,46.04,46.04,0.00,0.00,0.00,Computer and Mathematical Occupations
Data Warehousing Specialists,plateaued,46.74,88.71,41.97,39.70,2.28,Computer and Mathematical Occupations
Database Administrators,plateaued,46.31,75.35,29.05,26.19,2.86,Computer and Mathematical Occupations
Database Architects,plateaued,38.92,68.69,29.77,29.20,0.57,Computer and Mathematical Occupations
Demonstrators and Product Promoters,plateaued,41.67,57.43,15.76,15.76,0.00,Sales and Related Occupations
Dental Assistants,plateaued,12.50,38.05,25.55,22.88,2.67,Healthcare Support Occupations
Dental Hygienists,mixed,4.65,9.99,5.34,4.15,1.19,Healthcare Practitioners and Technical Occupations
Dental Laboratory Technicians,laggard,10.16,14.43,4.27,0.00,4.27,Production Occupations
"Dentists, General",steady,8.74,33.43,24.70,18.54,6.15,Healthcare Practitioners and Technical Occupations
Dermatologists,late_mover,11.53,28.56,17.04,6.52,10.51,Healthcare Practitioners and Technical Occupations
"Derrick Operators, Oil and Gas",laggard,19.38,19.38,0.00,0.00,0.00,Construction and Extraction Occupations
Desktop Publishers,plateaued,43.24,69.89,26.65,24.06,2.59,Office and Administrative Support Occupations
Detectives and Criminal Investigators,laggard,31.20,31.20,0.00,0.00,0.00,Protective Service Occupations
Diagnostic Medical Sonographers,late_mover,19.30,37.23,17.92,3.03,14.89,Healthcare Practitioners and Technical Occupations
Dietetic Technicians,steady,23.79,52.44,28.65,24.87,3.78,Healthcare Practitioners and Technical Occupations
Dietitians and Nutritionists,early_mover,40.32,52.54,12.21,10.20,2.02,Healthcare Practitioners and Technical Occupations
Digital Forensics Analysts,early_mover,45.34,45.34,0.00,0.00,0.00,Computer and Mathematical Occupations
Dining Room and Cafeteria Attendants and Bartender Helpers,laggard,13.34,13.34,0.00,0.00,0.00,Food Preparation and Serving Related Occupations
"Directors, Religious Activities and Education",steady,30.60,60.18,29.58,26.50,3.08,Community and Social Service Occupations
"Disc Jockeys, Except Radio",laggard,25.07,25.07,0.00,0.00,0.00,"Arts, Design, Entertainment, Sports, and Media Occupations"
Dishwashers,laggard,5.27,5.27,0.00,0.00,0.00,Food Preparation and Serving Related Occupations
"Dispatchers, Except Police, Fire, and Ambulance",steady,28.63,71.51,42.88,18.02,24.85,Office and Administrative Support Occupations
Document Management Specialists,steady,44.31,76.79,32.48,15.52,16.96,Computer and Mathematical Occupations
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",early_mover,40.73,40.73,0.00,0.00,0.00,Sales and Related Occupations
Dredge Operators,laggard,0.00,0.00,0.00,0.00,0.00,Transportation and Material Moving Occupations
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",laggard,16.03,16.32,0.29,0.00,0.29,Production Occupations
Driver/Sales Workers,plateaued,4.96,18.31,13.35,13.28,0.07,Transportation and Material Moving Occupations
