category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,dataset_confirmed,agg_level_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,dataset_ceiling,agg_level_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,36.03,108120.42,5384137794.35,AEI Both + Micro 2026-02-12,broad,47.52,142140.03,7214024637.37,All 2026-02-18,broad,11.48,34019.61,1829886843.03
Therapists,36.20,303069.16,28865435490.90,AEI Both + Micro 2026-02-12,broad,41.82,336806.05,31912452563.09,All 2026-02-18,broad,5.62,33736.90,3047017072.19
"Engineering Technologists and Technicians, Except Drafters",36.49,137871.70,9846940050.79,AEI Both + Micro 2026-02-12,broad,43.70,171033.74,12113183329.81,All 2026-02-18,broad,7.20,33162.04,2266243279.02
Food Service Managers,32.93,80413.25,5251789546.25,AEI Both + Micro 2026-02-12,broad,46.49,113535.72,7415017596.47,All 2026-02-18,broad,13.56,33122.46,2163228050.22
"Hotel, Motel, and Resort Desk Clerks",55.30,144563.49,4954190710.38,AEI Both + Micro 2026-02-12,broad,67.80,177261.98,6074767972.51,All 2026-02-18,broad,12.51,32698.49,1120577262.13
Medical Records Specialists,38.67,44484.87,2603321835.45,AEI Both + Micro 2026-02-12,broad,66.64,76669.01,4486786867.38,All 2026-02-18,broad,27.98,32184.15,1883465031.93
First-Line Supervisors of Construction Trades and Extraction Workers,50.24,396337.54,31187801079.46,AEI Both + Micro 2026-02-12,broad,54.20,427989.34,33678480934.09,All 2026-02-18,broad,3.96,31651.80,2490679854.63
Occupational Health and Safety Specialists and Technicians,24.35,44578.31,3566322468.53,AEI Both + Micro 2026-02-12,broad,38.93,76105.03,6125313395.15,All 2026-02-18,broad,14.57,31526.73,2558990926.62
Preschool and Kindergarten Teachers,52.94,273127.01,11721340897.55,AEI Both + Micro 2026-02-12,broad,57.97,304554.12,13012377173.42,All 2026-02-18,broad,5.04,31427.11,1291036275.87
Social Workers,44.13,297253.59,18254895147.70,AEI Both + Micro 2026-02-12,broad,47.35,328416.69,20118461577.68,All 2026-02-18,broad,3.22,31163.10,1863566429.97
Public Relations and Fundraising Managers,17.71,22497.09,2965915816.73,AEI Both + Micro 2026-02-12,broad,45.12,53611.57,7067910512.23,All 2026-02-18,broad,27.42,31114.48,4101994695.49
"First-Line Supervisors of Mechanics, Installers, and Repairers",48.72,292631.64,22913057143.80,AEI Both + Micro 2026-02-12,broad,53.83,323324.26,25316289401.60,All 2026-02-18,broad,5.11,30692.62,2403232257.80
Marketing and Sales Managers,66.44,618039.81,92117572666.14,AEI Both + Micro 2026-02-12,broad,69.03,648728.47,96462085981.36,All 2026-02-18,broad,2.58,30688.66,4344513315.22
"Claims Adjusters, Appraisers, Examiners, and Investigators",36.51,106445.71,8173477545.75,AEI Both + Micro 2026-02-12,broad,43.94,136661.73,10493766077.53,All 2026-02-18,broad,7.43,30216.02,2320288531.78
Payroll and Timekeeping Clerks,54.70,85856.48,4747004893.70,AEI Both + Micro 2026-02-12,broad,73.89,115968.91,6411920880.23,All 2026-02-18,broad,19.19,30112.43,1664915986.53
"Broadcast, Sound, and Lighting Technicians",29.95,31040.94,1758264505.63,AEI Both + Micro 2026-02-12,broad,57.56,61118.81,3476945195.81,All 2026-02-18,broad,27.61,30077.87,1718680690.18
"Industrial Engineers, Including Health and Safety",44.41,172701.10,17541628227.35,AEI Both + Micro 2026-02-12,broad,51.28,202687.11,20577479345.35,All 2026-02-18,broad,6.87,29986.02,3035851118.01
Loan Interviewers and Clerks,59.14,102372.56,5011136920.53,AEI Both + Micro 2026-02-12,broad,76.27,132031.78,6462955746.31,All 2026-02-18,broad,17.13,29659.22,1451818825.78
Animal Caretakers,39.56,109704.22,3671800334.56,AEI Both + Micro 2026-02-12,broad,50.19,139184.18,4658494398.16,All 2026-02-18,broad,10.63,29479.95,986694063.60
Nurse Practitioners,40.41,124217.47,16050138956.60,AEI Both + Micro 2026-02-12,broad,49.95,153535.03,19838261154.37,All 2026-02-18,broad,9.54,29317.56,3788122197.77
Printing Workers,22.65,43659.34,1974149238.08,AEI Both + Micro 2026-02-12,broad,38.14,72777.48,3275571101.03,All 2026-02-18,broad,15.49,29118.13,1301421862.96
Drafters,47.15,79133.54,5259278069.49,AEI Both + Micro 2026-02-12,broad,62.37,108100.17,7175056753.46,All 2026-02-18,broad,15.22,28966.64,1915778683.97
Health Information Technologists and Medical Registrars,38.11,43846.82,2565982336.47,AEI Both + Micro 2026-02-12,broad,61.96,71274.35,4171083126.04,All 2026-02-18,broad,23.84,27427.53,1605100789.57
Human Resources Managers,52.33,112779.67,15792536636.02,AEI Both + Micro 2026-02-12,broad,64.92,139914.87,19592279345.16,All 2026-02-18,broad,12.59,27135.20,3799742709.13
"Food Servers, Nonrestaurant",22.31,60632.72,2089403413.16,AEI Both + Micro 2026-02-12,broad,32.27,87692.93,3021898421.01,All 2026-02-18,broad,9.96,27060.21,932495007.86
