title_current,emp_nat,wage_nat,major,minor,broad,pct_first_all_ceiling,pct_last_all_ceiling,pct_delta_all_ceiling,workers_first_all_ceiling,workers_last_all_ceiling,workers_delta_all_ceiling,pct_first_human_conversation,pct_last_human_conversation,pct_delta_human_conversation,workers_first_human_conversation,workers_last_human_conversation,workers_delta_human_conversation,pct_first_agentic_confirmed,pct_last_agentic_confirmed,pct_delta_agentic_confirmed,workers_first_agentic_confirmed,workers_last_agentic_confirmed,workers_delta_agentic_confirmed,pct_first_all_confirmed,pct_last_all_confirmed,pct_delta_all_confirmed,workers_first_all_confirmed,workers_last_all_confirmed,workers_delta_all_confirmed,pct_first_agentic_ceiling,pct_last_agentic_ceiling,pct_delta_agentic_ceiling,workers_first_agentic_ceiling,workers_last_agentic_ceiling,workers_delta_agentic_ceiling
"Architecture Teachers, Postsecondary",9120.00,101480.00,Educational Instruction and Library Occupations,Postsecondary Teachers,"Engineering and Architecture Teachers, Postsecondary",30.41,84.28,53.87,2773.33,7685.95,4912.63,30.41,67.16,36.75,2773.33,6124.78,3351.45,46.09,58.13,12.04,4203.55,5301.27,1097.71,30.41,77.55,47.14,2773.33,7072.33,4299.00,18.07,67.45,49.38,1648.22,6151.37,4503.15
Archivists,7050.00,61570.00,Educational Instruction and Library Occupations,"Librarians, Curators, and Archivists","Archivists, Curators, and Museum Technicians",40.59,86.87,46.28,2861.53,6124.54,3263.01,40.59,69.98,29.39,2861.53,4933.69,2072.16,9.85,37.22,27.37,694.59,2623.98,1929.39,40.59,86.73,46.14,2861.53,6114.12,3252.58,38.21,66.13,27.92,2694.12,4662.14,1968.02
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",11430.00,84290.00,Educational Instruction and Library Occupations,Postsecondary Teachers,"Social Sciences Teachers, Postsecondary",33.29,81.95,48.66,3805.62,9366.95,5561.33,33.29,65.15,31.85,3805.62,7446.45,3640.83,41.11,58.90,17.79,4699.32,6732.64,2033.32,33.29,76.37,43.07,3805.62,8728.72,4923.10,19.82,65.79,45.97,2265.27,7519.72,5254.45
Art Directors,50370.00,111040.00,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Artists and Related Workers,38.48,62.92,24.44,19381.61,31690.36,12308.75,38.48,57.44,18.96,19381.61,28931.03,9549.42,12.81,31.33,18.52,6454.12,15781.84,9327.72,38.48,62.54,24.06,19381.61,31499.89,12118.27,26.55,47.48,20.93,13373.92,23914.31,10540.38
Art Therapists,9131.00,65010.00,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Therapists,21.03,56.74,35.72,1919.90,5181.08,3261.18,21.03,49.14,28.11,1919.90,4486.73,2566.84,4.15,4.15,0.00,379.19,379.19,0.00,21.03,52.25,31.22,1919.90,4770.77,2850.88,4.36,23.36,19.00,398.34,2132.99,1734.64
"Art, Drama, and Music Teachers, Postsecondary",97890.00,80190.00,Educational Instruction and Library Occupations,Postsecondary Teachers,"Arts, Communications, History, and Humanities Teachers, Postsecondary",30.88,79.59,48.71,30223.86,77906.63,47682.77,30.88,60.40,29.52,30223.86,59120.76,28896.89,41.73,49.45,7.72,40847.84,48401.85,7554.01,30.88,72.25,41.37,30223.86,70720.81,40496.95,13.68,61.48,47.80,13390.71,60183.47,46792.75
Astronomers,1560.00,132170.00,"Life, Physical, and Social Science Occupations",Physical Scientists,Astronomers and Physicists,23.17,72.67,49.50,361.53,1133.71,772.19,23.17,50.07,26.90,361.53,781.14,419.61,15.90,16.52,0.62,248.08,257.72,9.64,23.17,72.49,49.31,361.53,1130.78,769.25,25.65,60.83,35.18,400.18,948.99,548.81
Athletes and Sports Competitors,14370.00,62360.00,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Athletes, Coaches, Umpires, and Related Workers",37.03,46.65,9.61,5321.36,6702.98,1381.62,37.03,43.35,6.31,5321.36,6228.82,907.46,0.00,9.61,9.61,0.00,1381.62,1381.62,37.03,46.65,9.61,5321.36,6702.98,1381.62,6.33,10.60,4.27,910.30,1523.74,613.44
Athletic Trainers,28950.00,60250.00,Healthcare Practitioners and Technical Occupations,Other Healthcare Practitioners and Technical Occupations,Miscellaneous Health Practitioners and Technical Workers,21.25,35.78,14.53,6151.84,10358.92,4207.08,21.25,29.12,7.87,6151.84,8429.49,2277.65,15.14,15.76,0.63,4382.48,4563.79,181.31,21.25,31.80,10.55,6151.84,9205.75,3053.91,16.21,26.52,10.31,4693.82,7678.13,2984.31
Atmospheric and Space Scientists,8780.00,97450.00,"Life, Physical, and Social Science Occupations",Physical Scientists,Atmospheric and Space Scientists,32.43,68.49,36.07,2846.94,6013.74,3166.80,32.43,54.80,22.38,2846.94,4811.59,1964.65,11.57,16.99,5.41,1016.07,1491.48,475.41,32.43,58.78,26.36,2846.94,5161.19,2314.24,38.71,60.86,22.15,3398.50,5343.15,1944.64
