title_current,employment,median_wage,major,minor,broad,job_zone,outlook,pct_all_ceiling,tier_all_ceiling,workers_all_ceiling,pct_human_conversation,tier_human_conversation,workers_human_conversation,pct_agentic_confirmed,tier_agentic_confirmed,workers_agentic_confirmed,pct_all_confirmed,tier_all_confirmed,workers_all_confirmed,pct_agentic_ceiling,tier_agentic_ceiling,workers_agentic_ceiling
Health Information Technologists and Medical Registrars,115042.12,58521.52,Healthcare Practitioners and Technical Occupations,Other Healthcare Practitioners and Technical Occupations,Health Information Technologists and Medical Registrars,3.00,4.00,61.96,high,71274.35,38.11,restructuring,43846.82,30.02,restructuring,34532.31,38.11,restructuring,43846.82,52.44,moderate,60330.19
"Health Specialties Teachers, Postsecondary",229720.00,105620.00,Educational Instruction and Library Occupations,Postsecondary Teachers,"Health Teachers, Postsecondary",5.00,5.00,83.05,high,190771.62,68.60,high,157585.17,54.47,moderate,125128.99,76.86,high,176561.47,64.98,high,149282.24
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",10106.00,109660.00,Architecture and Engineering Occupations,Engineers,"Industrial Engineers, Including Health and Safety",4.00,4.00,45.59,moderate,4606.96,42.84,moderate,4329.38,4.19,low,423.54,42.84,moderate,4329.38,17.31,low,1749.22
Healthcare Social Workers,185940.00,68090.00,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Social Workers,5.00,4.00,44.39,moderate,82529.62,37.42,restructuring,69583.85,19.88,low,36962.65,42.22,moderate,78501.95,25.74,restructuring,47857.84
Hearing Aid Specialists,10580.00,61560.00,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Miscellaneous Health Technologists and Technicians,3.00,2.00,14.11,low,1492.89,14.11,low,1492.89,0.00,low,0.00,14.11,low,1492.89,4.90,low,518.57
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",14590.00,47450.00,Production Occupations,Metal Workers and Plastic Workers,Miscellaneous Metal Workers and Plastic Workers,2.00,1.00,33.29,restructuring,4856.35,20.58,restructuring,3002.88,0.00,low,0.00,20.58,restructuring,3002.88,15.27,low,2227.72
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",396870.00,59810.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",3.00,4.00,40.24,moderate,159714.53,27.05,restructuring,107349.42,5.70,low,22603.55,27.05,restructuring,107349.42,20.62,restructuring,81821.27
Heavy and Tractor-Trailer Truck Drivers,2070480.00,57440.00,Transportation and Material Moving Occupations,Motor Vehicle Operators,Driver/Sales Workers and Truck Drivers,2.00,3.00,29.40,restructuring,608734.10,19.54,low,404594.60,10.98,low,227292.29,21.53,restructuring,445791.35,23.08,restructuring,477920.14
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",15660.00,46480.00,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades",2.00,2.00,15.36,low,2404.68,14.28,low,2235.55,0.00,low,0.00,14.28,low,2235.55,1.08,low,169.13
Helpers--Carpenters,24610.00,41600.00,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades",2.00,2.00,6.10,low,1501.46,6.10,low,1501.46,0.00,low,0.00,6.10,low,1501.46,1.33,low,327.91
Helpers--Electricians,64440.00,39890.00,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades",2.00,2.00,15.52,low,10003.76,15.52,low,10003.76,0.00,low,0.00,15.52,low,10003.76,2.43,low,1565.87
Helpers--Extraction Workers,6720.00,48400.00,Construction and Extraction Occupations,Extraction Workers,Helpers--Extraction Workers,2.00,2.00,3.66,low,246.24,3.66,low,246.24,0.00,low,0.00,3.66,low,246.24,0.00,low,0.00
"Helpers--Installation, Maintenance, and Repair Workers",97540.00,38860.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers",2.00,2.00,18.07,low,17625.14,18.07,low,17625.14,0.00,low,0.00,18.07,low,17625.14,1.37,low,1338.25
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",7220.00,38140.00,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades",1.00,2.00,9.56,low,689.95,7.60,low,548.64,0.00,low,0.00,7.60,low,548.64,1.96,low,141.31
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",43640.00,39270.00,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades",2.00,2.00,22.66,restructuring,9888.85,22.66,restructuring,9888.85,0.00,low,0.00,22.66,restructuring,9888.85,2.32,low,1014.51
Helpers--Production Workers,167490.00,38220.00,Production Occupations,Other Production Occupations,Miscellaneous Production Workers,2.00,1.00,32.12,restructuring,53789.43,12.12,low,20295.70,5.79,low,9692.87,12.12,low,20295.70,26.56,restructuring,44478.98
Helpers--Roofers,5170.00,40590.00,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades",2.00,2.00,2.34,low,121.07,2.34,low,121.07,0.00,low,0.00,2.34,low,121.07,0.00,low,0.00
Highway Maintenance Workers,151750.00,49070.00,Construction and Extraction Occupations,Other Construction and Related Workers,Highway Maintenance Workers,2.00,3.00,3.21,low,4876.48,3.21,low,4876.48,0.00,low,0.00,3.21,low,4876.48,0.00,low,0.00
Histology Technicians,57173.33,61890.00,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Clinical Laboratory Technologists and Technicians,3.00,4.00,4.99,low,2855.58,4.99,low,2855.58,7.20,low,4116.68,4.99,low,2855.58,2.02,low,1155.17
Historians,3140.00,74050.00,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Miscellaneous Social Scientists and Related Workers,5.00,2.00,78.79,high,2474.16,63.59,high,1996.75,41.33,moderate,1297.75,76.04,high,2387.71,63.22,high,1985.11
"History Teachers, Postsecondary",19860.00,81500.00,Educational Instruction and Library Occupations,Postsecondary Teachers,"Arts, Communications, History, and Humanities Teachers, Postsecondary",5.00,4.00,86.42,high,17162.12,68.80,high,13663.31,60.52,high,12018.41,79.93,high,15873.42,69.29,high,13760.40
Histotechnologists,57173.33,61890.00,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Clinical Laboratory Technologists and Technicians,4.00,4.00,13.99,low,7996.35,12.02,low,6872.18,10.54,low,6027.91,12.02,low,6872.18,2.79,low,1595.40
Hoist and Winch Operators,2480.00,52310.00,Transportation and Material Moving Occupations,Material Moving Workers,Hoist and Winch Operators,2.00,2.00,28.06,restructuring,696.00,8.77,low,217.53,0.00,low,0.00,8.77,low,217.53,19.29,low,478.47
Home Appliance Repairers,31940.00,49410.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Home Appliance Repairers,2.00,2.00,38.87,restructuring,12416.47,27.39,restructuring,8746.85,0.00,low,0.00,27.39,restructuring,8746.85,17.86,low,5703.47
Home Health Aides,1994070.00,34900.00,Healthcare Support Occupations,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Home Health and Personal Care Aides,2.00,2.00,31.23,restructuring,622814.67,29.25,restructuring,583323.16,0.00,low,0.00,29.25,restructuring,583323.16,3.59,low,71550.27
Hospitalists,34801.00,249103.60,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Physicians,5.00,2.00,30.16,restructuring,10497.52,18.60,low,6471.41,0.00,low,0.00,18.60,low,6471.41,15.41,low,5363.43
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",427150.00,30380.00,Food Preparation and Serving Related Occupations,Other Food Preparation and Serving Related Workers,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1.00,2.00,58.31,moderate,249060.60,45.62,moderate,194860.19,21.87,restructuring,93412.30,54.22,moderate,231608.06,37.68,restructuring,160960.63
"Hotel, Motel, and Resort Desk Clerks",261430.00,34270.00,Office and Administrative Support Occupations,Information and Record Clerks,"Hotel, Motel, and Resort Desk Clerks",2.00,2.00,67.80,high,177261.98,42.83,moderate,111968.76,34.94,restructuring,91350.92,55.30,moderate,144563.49,60.00,moderate,156853.66
Human Factors Engineers and Ergonomists,87557.50,101140.00,Architecture and Engineering Occupations,Engineers,"Industrial Engineers, Including Health and Safety",5.00,4.00,50.87,moderate,44543.28,44.10,moderate,38616.78,14.62,low,12797.00,48.44,moderate,42409.94,21.38,restructuring,18720.56
"Human Resources Assistants, Except Payroll and Timekeeping",92580.00,49440.00,Office and Administrative Support Occupations,Information and Record Clerks,"Human Resources Assistants, Except Payroll and Timekeeping",3.00,2.00,89.79,high,83132.02,56.21,moderate,52038.06,67.30,high,62305.49,82.15,high,76056.39,89.35,high,82717.45
Human Resources Managers,215520.00,140030.00,Management Occupations,Operations Specialties Managers,Human Resources Managers,4.00,5.00,64.92,high,139914.87,46.62,moderate,100470.03,18.65,low,40192.98,52.33,moderate,112779.67,48.66,moderate,104867.90
Human Resources Specialists,917460.00,72910.00,Business and Financial Operations Occupations,Business Operations Specialists,Human Resources Workers,4.00,5.00,86.37,high,792364.65,60.20,high,552275.36,63.88,high,586058.07,75.84,high,695759.72,80.29,high,736662.33
Hydroelectric Plant Technicians,2387.00,99670.00,Production Occupations,Plant and System Operators,"Power Plant Operators, Distributors, and Dispatchers",3.00,4.00,22.03,restructuring,525.91,10.99,low,262.39,0.00,low,0.00,10.99,low,262.39,16.28,low,388.54
Hydroelectric Production Managers,31675.00,121440.00,Management Occupations,Operations Specialties Managers,Industrial Production Managers,3.00,5.00,21.25,restructuring,6732.14,10.08,low,3193.57,0.00,low,0.00,10.08,low,3193.57,11.17,low,3538.56
Hydrologic Technicians,7302.89,52009.56,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Environmental Science and Geoscience Technicians,3.00,3.00,43.88,moderate,3204.26,34.52,restructuring,2520.66,0.00,low,0.00,34.52,restructuring,2520.66,34.67,restructuring,2531.66
Hydrologists,5720.00,92060.00,"Life, Physical, and Social Science Occupations",Physical Scientists,Environmental Scientists and Geoscientists,5.00,3.00,41.48,moderate,2372.68,33.27,restructuring,1903.29,8.85,low,506.33,35.11,restructuring,2008.07,29.81,restructuring,1704.89
Industrial Ecologists,26139.00,80060.00,"Life, Physical, and Social Science Occupations",Physical Scientists,Environmental Scientists and Geoscientists,5.00,4.00,37.34,restructuring,9759.92,22.85,restructuring,5972.79,2.00,low,523.94,23.49,restructuring,6139.64,21.76,restructuring,5688.67
Industrial Engineering Technologists and Technicians,32570.00,64790.00,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters",3.00,4.00,39.93,restructuring,13006.12,30.38,restructuring,9894.43,3.12,low,1015.10,30.38,restructuring,9894.43,25.77,restructuring,8393.89
Industrial Engineers,87557.50,101140.00,Architecture and Engineering Occupations,Engineers,"Industrial Engineers, Including Health and Safety",4.00,5.00,59.59,moderate,52176.10,48.83,moderate,42750.33,7.60,low,6651.78,49.94,moderate,43727.46,36.09,restructuring,31597.25
Industrial Machinery Mechanics,421940.00,63760.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Industrial Machinery Installation, Repair, and Maintenance Workers",3.00,4.00,39.18,restructuring,165309.03,30.03,restructuring,126706.88,4.83,low,20367.79,30.86,restructuring,130215.67,20.60,restructuring,86902.11
Industrial Production Managers,51505.00,121440.00,Management Occupations,Operations Specialties Managers,Industrial Production Managers,4.00,5.00,45.17,moderate,23265.71,19.54,low,10063.75,0.00,low,0.00,19.54,low,10063.75,37.26,restructuring,19191.34
Industrial Truck and Tractor Operators,805770.00,46390.00,Transportation and Material Moving Occupations,Material Moving Workers,Industrial Truck and Tractor Operators,2.00,3.00,39.37,restructuring,317212.20,5.43,low,43777.08,0.00,low,0.00,5.43,low,43777.08,36.13,restructuring,291144.29
Industrial-Organizational Psychologists,1050.00,109840.00,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Psychologists,5.00,4.00,69.78,high,732.65,48.73,moderate,511.70,57.57,moderate,604.49,66.61,high,699.45,54.05,moderate,567.57
Information Security Analysts,179430.00,124910.00,Computer and Mathematical Occupations,Computer Occupations,Computer and Information Analysts,4.00,5.00,85.91,high,154140.55,55.47,moderate,99536.08,69.90,high,125415.56,83.84,high,150441.52,85.42,high,153260.67
Information Security Engineers,17531.00,108970.00,Computer and Mathematical Occupations,Computer Occupations,Miscellaneous Computer Occupations,4.00,5.00,59.76,moderate,10475.73,35.06,restructuring,6146.22,0.00,low,0.00,35.06,restructuring,6146.22,55.63,moderate,9751.75
Information Technology Project Managers,46177.00,108970.00,Computer and Mathematical Occupations,Computer Occupations,Miscellaneous Computer Occupations,4.00,5.00,81.20,high,37497.07,46.10,moderate,21286.48,48.35,moderate,22325.42,67.85,high,31333.09,79.26,high,36598.23
"Inspectors, Testers, Sorters, Samplers, and Weighers",591180.00,47460.00,Production Occupations,Other Production Occupations,"Inspectors, Testers, Sorters, Samplers, and Weighers",2.00,3.00,33.70,restructuring,199229.58,20.41,restructuring,120685.64,10.96,low,64763.97,24.87,restructuring,146999.73,22.48,restructuring,132869.56
Instructional Coordinators,210850.00,74720.00,Educational Instruction and Library Occupations,Other Educational Instruction and Library Occupations,Instructional Coordinators,5.00,4.00,53.52,moderate,112856.95,47.73,moderate,100630.17,61.87,high,130461.69,49.99,moderate,105405.62,45.96,moderate,96911.12
"Insulation Workers, Floor, Ceiling, and Wall",38610.00,48680.00,Construction and Extraction Occupations,Construction Trades Workers,Insulation Workers,2.00,3.00,13.62,low,5260.01,13.62,low,5260.01,0.00,low,0.00,13.62,low,5260.01,9.57,low,3695.49
"Insulation Workers, Mechanical",25640.00,57250.00,Construction and Extraction Occupations,Construction Trades Workers,Insulation Workers,2.00,2.00,29.44,restructuring,7549.29,28.47,restructuring,7299.18,3.56,low,911.97,29.44,restructuring,7549.29,16.10,low,4128.81
"Insurance Appraisers, Auto Damage",7790.00,76650.00,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Appraisers, Examiners, and Investigators",3.00,4.00,44.79,moderate,3488.82,44.79,moderate,3488.82,0.00,low,0.00,44.79,moderate,3488.82,17.47,low,1360.84
Insurance Claims and Policy Processing Clerks,229070.00,48450.00,Office and Administrative Support Occupations,Other Office and Administrative Support Workers,Insurance Claims and Policy Processing Clerks,2.00,3.00,69.60,high,159441.79,36.27,restructuring,83089.99,47.89,moderate,109705.03,36.27,restructuring,83089.99,66.28,high,151831.22
Insurance Sales Agents,469480.00,60370.00,Sales and Related Occupations,"Sales Representatives, Services",Insurance Sales Agents,4.00,4.00,72.66,high,341112.89,49.96,moderate,234570.68,46.68,moderate,219143.51,64.14,high,301128.79,66.67,high,312988.20
Insurance Underwriters,107820.00,79880.00,Business and Financial Operations Occupations,Financial Specialists,Financial Analysts and Advisors,4.00,4.00,61.44,high,66248.95,40.74,moderate,43925.19,30.74,restructuring,33146.16,52.72,moderate,56844.85,48.12,moderate,51886.13
Intelligence Analysts,74090.00,93580.00,Protective Service Occupations,Law Enforcement Workers,Detectives and Criminal Investigators,4.00,4.00,77.46,high,57392.25,62.38,high,46214.62,53.44,moderate,39597.30,76.15,high,56422.10,67.32,high,49879.41
Interior Designers,69580.00,63490.00,"Arts, Design, Entertainment, Sports, and Media Occupations",Art and Design Workers,Designers,4.00,3.00,52.70,moderate,36671.25,44.80,moderate,31171.86,6.86,low,4771.94,49.33,moderate,34326.29,44.98,moderate,31297.28
Interpreters and Translators,53360.00,59440.00,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Miscellaneous Media and Communication Workers,4.00,3.00,87.70,high,46794.32,84.04,high,44845.28,41.43,moderate,22106.65,87.05,high,46448.45,78.58,high,41929.97
"Interviewers, Except Eligibility and Loan",157310.00,43830.00,Office and Administrative Support Occupations,Information and Record Clerks,"Interviewers, Except Eligibility and Loan",3.00,2.00,76.14,high,119769.99,59.68,moderate,93886.06,43.61,moderate,68595.17,68.81,high,108241.73,71.36,high,112257.97
Investment Fund Managers,513192.00,161700.00,Management Occupations,Operations Specialties Managers,Financial Managers,5.00,5.00,92.45,high,474453.44,61.65,high,316393.21,66.18,high,339606.37,89.34,high,458481.38,86.35,high,443127.90
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2199900.00,35930.00,Building and Grounds Cleaning and Maintenance Occupations,Building Cleaning and Pest Control Workers,Building Cleaning Workers,3.00,2.00,16.79,low,369458.76,11.34,low,249546.90,0.00,low,0.00,11.34,low,249546.90,5.45,low,119911.86
Jewelers and Precious Stone and Metal Workers,17230.00,49140.00,Production Occupations,Other Production Occupations,Jewelers and Precious Stone and Metal Workers,3.00,2.00,21.97,restructuring,3785.76,19.34,low,3332.47,3.55,low,611.99,19.34,low,3332.47,9.40,low,1619.50
"Judges, Magistrate Judges, and Magistrates",25580.00,156210.00,Legal Occupations,"Lawyers, Judges, and Related Workers","Judges, Magistrates, and Other Judicial Workers",5.00,4.00,24.47,restructuring,6260.14,23.86,restructuring,6103.49,15.69,low,4014.54,24.47,restructuring,6260.14,15.76,low,4030.31
Judicial Law Clerks,13220.00,60400.00,Legal Occupations,"Lawyers, Judges, and Related Workers",Lawyers and Judicial Law Clerks,5.00,0.00,70.16,high,9275.51,62.97,high,8324.52,28.28,restructuring,3738.97,62.97,high,8324.52,52.51,moderate,6942.38
"Kindergarten Teachers, Except Special Education",114410.00,61430.00,Educational Instruction and Library Occupations,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Preschool and Kindergarten Teachers,4.00,3.00,61.39,high,70231.52,52.68,moderate,60265.49,14.92,low,17074.35,56.91,moderate,65111.74,27.68,restructuring,31669.70
Labor Relations Specialists,64590.00,93500.00,Business and Financial Operations Occupations,Business Operations Specialists,Human Resources Workers,4.00,4.00,39.28,restructuring,25369.08,17.63,low,11387.42,28.85,restructuring,18632.06,37.62,restructuring,24297.41,33.72,restructuring,21777.36
"Laborers and Freight, Stock, and Material Movers, Hand",2982530.00,38940.00,Transportation and Material Moving Occupations,Material Moving Workers,Laborers and Material Movers,2.00,2.00,20.71,restructuring,617811.81,5.97,low,178081.92,0.00,low,0.00,5.97,low,178081.92,16.64,low,496319.30
Landscape Architects,19580.00,79660.00,Architecture and Engineering Occupations,"Architects, Surveyors, and Cartographers","Architects, Except Naval",4.00,4.00,46.66,moderate,9135.51,44.00,moderate,8615.71,5.97,low,1168.54,44.00,moderate,8615.71,18.00,low,3524.59
Landscaping and Groundskeeping Workers,943430.00,38090.00,Building and Grounds Cleaning and Maintenance Occupations,Grounds Maintenance Workers,Grounds Maintenance Workers,1.00,2.00,16.08,low,151671.24,5.83,low,54974.68,0.00,low,0.00,5.83,low,54974.68,11.10,low,104735.72
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",18970.00,48620.00,Production Occupations,Metal Workers and Plastic Workers,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",2.00,2.00,30.36,restructuring,5759.99,28.63,restructuring,5431.54,0.00,low,0.00,28.63,restructuring,5431.54,7.62,low,1446.36
Laundry and Dry-Cleaning Workers,195360.00,33800.00,Production Occupations,"Textile, Apparel, and Furnishings Workers",Laundry and Dry-Cleaning Workers,1.00,1.00,21.62,restructuring,42235.55,13.23,low,25837.60,0.00,low,0.00,13.23,low,25837.60,8.39,low,16397.95
"Law Teachers, Postsecondary",22800.00,126650.00,Educational Instruction and Library Occupations,Postsecondary Teachers,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",5.00,3.00,81.71,high,18630.93,61.74,high,14076.27,63.46,high,14469.43,75.25,high,17157.54,71.25,high,16246.06
Lawyers,747750.00,151160.00,Legal Occupations,"Lawyers, Judges, and Related Workers",Lawyers and Judicial Law Clerks,5.00,5.00,47.39,moderate,354359.80,38.63,restructuring,288857.40,28.18,restructuring,210684.58,41.80,moderate,312592.71,35.17,restructuring,262981.52
"Layout Workers, Metal and Plastic",5610.00,61870.00,Production Occupations,Metal Workers and Plastic Workers,Miscellaneous Metal Workers and Plastic Workers,2.00,2.00,19.32,low,1083.67,18.20,low,1020.79,0.00,low,0.00,18.20,low,1020.79,10.62,low,595.68
Legal Secretaries and Administrative Assistants,154540.00,54140.00,Office and Administrative Support Occupations,Secretaries and Administrative Assistants,Secretaries and Administrative Assistants,3.00,2.00,74.10,high,114513.33,33.57,restructuring,51875.98,38.91,restructuring,60124.42,33.57,restructuring,51875.98,71.74,high,110872.51
Legislators,26510.00,44810.00,Management Occupations,Top Executives,Legislators,4.00,3.00,50.04,moderate,13264.84,45.88,moderate,12163.39,5.73,low,1518.75,47.74,moderate,12655.12,19.02,low,5042.21
Librarians and Media Collections Specialists,131830.00,64320.00,Educational Instruction and Library Occupations,"Librarians, Curators, and Archivists",Librarians and Media Collections Specialists,5.00,3.00,55.13,moderate,72679.71,40.40,moderate,53255.85,22.66,restructuring,29872.99,40.40,moderate,53255.85,43.33,moderate,57116.95
"Library Assistants, Clerical",80070.00,36010.00,Office and Administrative Support Occupations,Information and Record Clerks,"Library Assistants, Clerical",2.00,1.00,58.46,moderate,46805.55,39.06,restructuring,31274.45,9.84,low,7879.74,41.44,moderate,33179.85,46.52,moderate,37250.27
"Library Science Teachers, Postsecondary",4100.00,78630.00,Educational Instruction and Library Occupations,Postsecondary Teachers,"Education and Library Science Teachers, Postsecondary",5.00,3.00,83.47,high,3422.17,68.87,high,2823.76,52.35,moderate,2146.36,77.66,high,3184.25,65.78,high,2696.80
Library Technicians,73770.00,39970.00,Educational Instruction and Library Occupations,"Librarians, Curators, and Archivists",Library Technicians,3.00,1.00,68.01,high,50168.20,51.99,moderate,38350.42,26.06,restructuring,19226.87,58.86,moderate,43422.30,54.19,moderate,39977.45
Licensed Practical and Licensed Vocational Nurses,632430.00,62340.00,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Licensed Practical and Licensed Vocational Nurses,3.00,4.00,36.97,restructuring,233791.65,20.16,restructuring,127474.98,13.50,low,85349.22,28.83,restructuring,182337.51,32.73,restructuring,207017.70
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",143590.00,33720.00,Protective Service Occupations,Other Protective Service Workers,Miscellaneous Protective Service Workers,2.00,2.00,31.20,restructuring,44796.97,20.62,restructuring,29614.64,0.00,low,0.00,20.62,restructuring,29614.64,13.71,low,19691.45
Light Truck Drivers,994410.00,44140.00,Transportation and Material Moving Occupations,Motor Vehicle Operators,Driver/Sales Workers and Truck Drivers,2.00,3.00,27.47,restructuring,273137.16,15.34,low,152538.27,0.00,low,0.00,15.34,low,152538.27,20.51,restructuring,203946.84
Lighting Technicians,10130.00,60560.00,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,"Broadcast, Sound, and Lighting Technicians",3.00,3.00,51.44,moderate,5211.23,33.91,restructuring,3435.24,0.00,low,0.00,33.91,restructuring,3435.24,27.89,restructuring,2824.80
"Loading and Moving Machine Operators, Underground Mining",6130.00,68860.00,Construction and Extraction Occupations,Extraction Workers,Underground Mining Machine Operators,2.00,4.00,14.11,low,864.89,7.19,low,441.02,0.00,low,0.00,7.19,low,441.02,6.91,low,423.87
Loan Interviewers and Clerks,173100.00,48950.00,Office and Administrative Support Occupations,Information and Record Clerks,Loan Interviewers and Clerks,3.00,3.00,76.27,high,132031.78,46.37,moderate,80265.72,36.86,restructuring,63801.36,59.14,moderate,102372.56,68.30,high,118232.29
Loan Officers,290530.00,74180.00,Business and Financial Operations Occupations,Financial Specialists,Credit Counselors and Loan Officers,4.00,5.00,59.11,moderate,171722.71,40.23,moderate,116886.08,32.14,restructuring,93382.50,43.68,moderate,126889.10,51.06,moderate,148337.09
"Locker Room, Coatroom, and Dressing Room Attendants",14960.00,34800.00,Personal Care and Service Occupations,Entertainment Attendants and Related Workers,Miscellaneous Entertainment Attendants and Related Workers,2.00,1.00,35.20,restructuring,5265.91,31.45,restructuring,4704.45,5.30,low,793.15,31.45,restructuring,4704.45,16.10,low,2407.90
Locksmiths and Safe Repairers,15550.00,50490.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers",2.00,3.00,10.50,low,1632.21,3.11,low,483.13,0.00,low,0.00,3.11,low,483.13,7.39,low,1149.09
Locomotive Engineers,31990.00,77400.00,Transportation and Material Moving Occupations,Rail Transportation Workers,Locomotive Engineers and Operators,2.00,2.00,23.14,restructuring,7401.41,18.80,low,6015.40,0.00,low,0.00,18.80,low,6015.40,8.99,low,2874.49
Lodging Managers,41350.00,68130.00,Management Occupations,Other Management Occupations,Lodging Managers,4.00,3.00,67.79,high,28033.03,46.64,moderate,19286.29,22.19,restructuring,9174.77,56.23,moderate,23250.77,62.40,high,25803.72
Log Graders and Scalers,3310.00,46710.00,"Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers",Logging Workers,2.00,1.00,26.20,restructuring,867.23,12.19,low,403.54,0.00,low,0.00,12.19,low,403.54,17.41,low,576.13
Logging Equipment Operators,22520.00,49210.00,"Farming, Fishing, and Forestry Occupations","Forest, Conservation, and Logging Workers",Logging Workers,1.00,1.00,8.35,low,1880.30,3.97,low,893.10,0.00,low,0.00,3.97,low,893.10,4.38,low,987.19
Logisticians,69452.00,80880.00,Business and Financial Operations Occupations,Business Operations Specialists,Logisticians and Project Management Specialists,4.00,5.00,65.04,high,45171.05,58.40,moderate,40563.10,17.63,low,12243.95,58.84,moderate,40867.68,53.04,moderate,36838.20
Logistics Analysts,77318.00,80880.00,Business and Financial Operations Occupations,Business Operations Specialists,Logisticians and Project Management Specialists,4.00,5.00,80.47,high,62214.26,37.22,restructuring,28780.19,50.51,moderate,39055.57,70.71,high,54670.55,74.51,high,57608.50
Logistics Engineers,88870.00,80880.00,Business and Financial Operations Occupations,Business Operations Specialists,Logisticians and Project Management Specialists,4.00,5.00,65.76,high,58442.55,44.08,moderate,39169.79,33.42,restructuring,29701.55,50.68,moderate,45037.80,60.26,high,53551.70
Loss Prevention Managers,164169.00,136550.00,Management Occupations,Other Management Occupations,Miscellaneous Managers,4.00,4.00,35.18,restructuring,57758.35,14.87,low,24404.44,4.15,low,6806.51,16.16,low,26530.43,28.43,restructuring,46670.13
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",96385.00,98340.00,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Therapists,5.00,4.00,45.80,moderate,44147.90,42.04,moderate,40520.28,11.51,low,11096.15,44.60,moderate,42985.19,16.32,low,15731.82
Machine Feeders and Offbearers,46690.00,39700.00,Transportation and Material Moving Occupations,Material Moving Workers,Laborers and Material Movers,2.00,2.00,14.15,low,6608.83,4.35,low,2030.17,0.00,low,0.00,4.35,low,2030.17,9.81,low,4578.66
Machinists,298790.00,56150.00,Production Occupations,Metal Workers and Plastic Workers,Machinists,3.00,3.00,36.25,restructuring,108308.48,30.94,restructuring,92447.41,7.16,low,21379.14,31.89,restructuring,95294.30,20.47,restructuring,61155.43
Magnetic Resonance Imaging Technologists,41530.00,88180.00,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Diagnostic Related Technologists and Technicians,3.00,4.00,34.26,restructuring,14229.17,22.02,restructuring,9145.03,4.81,low,1998.08,22.02,restructuring,9145.03,23.82,restructuring,9893.80
Maids and Housekeeping Cleaners,854910.00,34660.00,Building and Grounds Cleaning and Maintenance Occupations,Building Cleaning and Pest Control Workers,Building Cleaning Workers,1.00,2.00,8.94,low,76457.91,2.80,low,23897.32,0.00,low,0.00,2.80,low,23897.32,6.15,low,52560.59
