broad,broad_avg_pct,broad_rank,major,major_avg_pct,major_rank,rank_deviation,pct_deviation
Dispatchers,53.01,102.00,Office and Administrative Support Occupations,52.87,4.00,-98.00,0.14
Drafters,47.38,124.00,Architecture and Engineering Occupations,40.05,10.00,-114.00,7.33
Dredge Operators,0.00,437.50,Transportation and Material Moving Occupations,16.67,20.00,-417.50,-16.67
Driver/Sales Workers and Truck Drivers,18.39,342.00,Transportation and Material Moving Occupations,16.67,20.00,-322.00,1.72
"Drywall Installers, Ceiling Tile Installers, and Tapers",12.51,384.00,Construction and Extraction Occupations,14.38,22.00,-362.00,-1.87
Economists,64.34,57.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-48.00,21.16
Education and Childcare Administrators,30.60,241.00,Management Occupations,36.26,11.00,-230.00,-5.66
"Education and Library Science Teachers, Postsecondary",80.41,12.00,Educational Instruction and Library Occupations,61.44,3.00,-9.00,18.97
Electrical and Electronics Engineers,52.24,108.00,Architecture and Engineering Occupations,40.05,10.00,-98.00,12.19
"Electrical, Electronics, and Electromechanical Assemblers",19.40,329.00,Production Occupations,18.95,18.00,-311.00,0.44
Electricians,43.47,151.00,Construction and Extraction Occupations,14.38,22.00,-129.00,29.09
Elementary and Middle School Teachers,61.80,60.00,Educational Instruction and Library Occupations,61.44,3.00,-57.00,0.36
Elevator and Escalator Installers and Repairers,8.02,417.00,Construction and Extraction Occupations,14.38,22.00,-395.00,-6.36
"Eligibility Interviewers, Government Programs",55.87,84.00,Office and Administrative Support Occupations,52.87,4.00,-80.00,3.00
Embalmers and Crematory Operators,12.68,382.00,Personal Care and Service Occupations,32.09,13.00,-369.00,-19.41
Emergency Management Directors,26.92,273.00,Management Occupations,36.26,11.00,-262.00,-9.34
Emergency Medical Technicians and Paramedics,10.77,396.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-381.00,-18.92
Engine and Other Machine Assemblers,18.72,335.00,Production Occupations,18.95,18.00,-317.00,-0.23
"Engineering Technologists and Technicians, Except Drafters",35.51,208.00,Architecture and Engineering Occupations,40.05,10.00,-198.00,-4.54
"Engineering and Architecture Teachers, Postsecondary",80.20,14.00,Educational Instruction and Library Occupations,61.44,3.00,-11.00,18.77
Entertainment and Recreation Managers,30.82,239.00,Management Occupations,36.26,11.00,-228.00,-5.44
Environmental Engineers,37.92,189.00,Architecture and Engineering Occupations,40.05,10.00,-179.00,-2.13
Environmental Science and Geoscience Technicians,26.35,275.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-266.00,-16.82
Environmental Scientists and Geoscientists,35.49,209.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-200.00,-7.68
"Explosives Workers, Ordnance Handling Experts, and Blasters",5.05,429.00,Construction and Extraction Occupations,14.38,22.00,-407.00,-9.33
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",18.58,337.00,Production Occupations,18.95,18.00,-319.00,-0.37
Farm and Home Management Educators,36.57,202.00,Educational Instruction and Library Occupations,61.44,3.00,-199.00,-24.87
"Farmers, Ranchers, and Other Agricultural Managers",12.11,385.00,Management Occupations,36.26,11.00,-374.00,-24.14
Fast Food and Counter Workers,38.50,182.00,Food Preparation and Serving Related Occupations,34.48,12.00,-170.00,4.02
Fence Erectors,8.90,410.00,Construction and Extraction Occupations,14.38,22.00,-388.00,-5.48
Fiberglass Laminators and Fabricators,10.34,402.00,Production Occupations,18.95,18.00,-384.00,-8.61
File Clerks,56.14,83.00,Office and Administrative Support Occupations,52.87,4.00,-79.00,3.27
