title_current,pct_first,pct_last,tier_first,tier_last,tier_changed,major_occ_category
Conservation Scientists,14.57,14.57,low,low,False,"Life, Physical, and Social Science Occupations"
Construction Laborers,3.87,11.96,low,low,False,Construction and Extraction Occupations
Construction Managers,17.16,42.49,low,moderate,True,Management Occupations
Construction and Building Inspectors,16.25,24.32,low,restructuring,True,Construction and Extraction Occupations
Continuous Mining Machine Operators,7.01,7.01,low,low,False,Construction and Extraction Occupations
"Control and Valve Installers and Repairers, Except Mechanical Door",23.67,24.17,restructuring,restructuring,False,"Installation, Maintenance, and Repair Occupations"
Conveyor Operators and Tenders,11.44,20.08,low,restructuring,True,Transportation and Material Moving Occupations
"Cooks, Fast Food",37.29,40.84,restructuring,moderate,True,Food Preparation and Serving Related Occupations
"Cooks, Institution and Cafeteria",14.96,16.33,low,low,False,Food Preparation and Serving Related Occupations
"Cooks, Private Household",37.61,41.42,restructuring,moderate,True,Food Preparation and Serving Related Occupations
"Cooks, Restaurant",33.88,46.27,restructuring,moderate,True,Food Preparation and Serving Related Occupations
"Cooks, Short Order",32.42,49.64,restructuring,moderate,True,Food Preparation and Serving Related Occupations
Cooling and Freezing Equipment Operators and Tenders,24.18,24.18,restructuring,restructuring,False,Production Occupations
Coroners,26.43,32.08,restructuring,restructuring,False,Business and Financial Operations Occupations
Correctional Officers and Jailers,15.05,18.03,low,low,False,Protective Service Occupations
Correspondence Clerks,33.63,50.43,restructuring,moderate,True,Office and Administrative Support Occupations
Cost Estimators,40.65,56.37,moderate,moderate,False,Business and Financial Operations Occupations
Costume Attendants,24.61,30.36,restructuring,restructuring,False,Personal Care and Service Occupations
Counter and Rental Clerks,51.20,70.76,moderate,high,True,Sales and Related Occupations
Couriers and Messengers,15.51,33.87,low,restructuring,True,Office and Administrative Support Occupations
Court Reporters and Simultaneous Captioners,19.41,19.41,low,low,False,"Arts, Design, Entertainment, Sports, and Media Occupations"
"Court, Municipal, and License Clerks",40.28,40.28,moderate,moderate,False,Office and Administrative Support Occupations
Craft Artists,43.69,65.47,moderate,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
Crane and Tower Operators,15.25,15.25,low,low,False,Transportation and Material Moving Occupations
Credit Analysts,33.24,54.05,restructuring,moderate,True,Business and Financial Operations Occupations
"Credit Authorizers, Checkers, and Clerks",35.11,35.11,restructuring,restructuring,False,Office and Administrative Support Occupations
Credit Counselors,34.26,57.22,restructuring,moderate,True,Business and Financial Operations Occupations
Crematory Operators,15.67,15.67,low,low,False,Personal Care and Service Occupations
"Criminal Justice and Law Enforcement Teachers, Postsecondary",33.36,71.01,restructuring,high,True,Educational Instruction and Library Occupations
Critical Care Nurses,11.65,24.02,low,restructuring,True,Healthcare Practitioners and Technical Occupations
Crossing Guards and Flaggers,25.46,25.46,restructuring,restructuring,False,Protective Service Occupations
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",9.08,18.72,low,low,False,Production Occupations
Curators,36.04,84.17,restructuring,high,True,Educational Instruction and Library Occupations
Customer Service Representatives,45.08,84.08,moderate,high,True,Office and Administrative Support Occupations
Customs Brokers,24.39,43.21,restructuring,moderate,True,Business and Financial Operations Occupations
Customs and Border Protection Officers,44.11,44.11,moderate,moderate,False,Protective Service Occupations
"Cutters and Trimmers, Hand",10.93,10.93,low,low,False,Production Occupations
"Cutting and Slicing Machine Setters, Operators, and Tenders",14.36,16.59,low,low,False,Production Occupations
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",15.77,18.57,low,low,False,Production Occupations
Cytogenetic Technologists,25.00,38.37,restructuring,restructuring,False,Healthcare Practitioners and Technical Occupations
Cytotechnologists,23.31,45.93,restructuring,moderate,True,Healthcare Practitioners and Technical Occupations
Dancers,21.71,21.71,restructuring,restructuring,False,"Arts, Design, Entertainment, Sports, and Media Occupations"
Data Entry Keyers,38.17,65.89,restructuring,high,True,Office and Administrative Support Occupations
Data Scientists,46.04,46.04,moderate,moderate,False,Computer and Mathematical Occupations
Data Warehousing Specialists,46.74,88.71,moderate,high,True,Computer and Mathematical Occupations
Database Administrators,46.31,75.35,moderate,high,True,Computer and Mathematical Occupations
Database Architects,38.92,68.69,restructuring,high,True,Computer and Mathematical Occupations
Demonstrators and Product Promoters,41.67,57.43,moderate,moderate,False,Sales and Related Occupations
Dental Assistants,12.50,38.05,low,restructuring,True,Healthcare Support Occupations
Dental Hygienists,4.65,9.99,low,low,False,Healthcare Practitioners and Technical Occupations
Dental Laboratory Technicians,10.16,14.43,low,low,False,Production Occupations
"Dentists, General",8.74,33.43,low,restructuring,True,Healthcare Practitioners and Technical Occupations
Dermatologists,11.53,28.56,low,restructuring,True,Healthcare Practitioners and Technical Occupations
"Derrick Operators, Oil and Gas",19.38,19.38,low,low,False,Construction and Extraction Occupations
Desktop Publishers,43.24,69.89,moderate,high,True,Office and Administrative Support Occupations
Detectives and Criminal Investigators,31.20,31.20,restructuring,restructuring,False,Protective Service Occupations
Diagnostic Medical Sonographers,19.30,37.23,low,restructuring,True,Healthcare Practitioners and Technical Occupations
Dietetic Technicians,23.79,52.44,restructuring,moderate,True,Healthcare Practitioners and Technical Occupations
Dietitians and Nutritionists,40.32,52.54,moderate,moderate,False,Healthcare Practitioners and Technical Occupations
Digital Forensics Analysts,45.34,45.34,moderate,moderate,False,Computer and Mathematical Occupations
Dining Room and Cafeteria Attendants and Bartender Helpers,13.34,13.34,low,low,False,Food Preparation and Serving Related Occupations
"Directors, Religious Activities and Education",30.60,60.18,restructuring,high,True,Community and Social Service Occupations
"Disc Jockeys, Except Radio",25.07,25.07,restructuring,restructuring,False,"Arts, Design, Entertainment, Sports, and Media Occupations"
Dishwashers,5.27,5.27,low,low,False,Food Preparation and Serving Related Occupations
"Dispatchers, Except Police, Fire, and Ambulance",28.63,71.51,restructuring,high,True,Office and Administrative Support Occupations
Document Management Specialists,44.31,76.79,moderate,high,True,Computer and Mathematical Occupations
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",40.73,40.73,moderate,moderate,False,Sales and Related Occupations
Dredge Operators,0.00,0.00,low,low,False,Transportation and Material Moving Occupations
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",16.03,16.32,low,low,False,Production Occupations
Driver/Sales Workers,4.96,18.31,low,low,False,Transportation and Material Moving Occupations
Drywall and Ceiling Tile Installers,10.18,15.59,low,low,False,Construction and Extraction Occupations
"Earth Drillers, Except Oil and Gas",5.49,5.49,low,low,False,Construction and Extraction Occupations
"Economics Teachers, Postsecondary",33.90,81.89,restructuring,high,True,Educational Instruction and Library Occupations
Economists,49.72,82.53,moderate,high,True,"Life, Physical, and Social Science Occupations"
Editors,42.04,63.22,moderate,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
"Education Administrators, Kindergarten through Secondary",22.43,22.43,restructuring,restructuring,False,Management Occupations
"Education Administrators, Postsecondary",12.62,42.28,low,moderate,True,Management Occupations
"Education Teachers, Postsecondary",29.57,83.15,restructuring,high,True,Educational Instruction and Library Occupations
"Education and Childcare Administrators, Preschool and Daycare",27.09,27.09,restructuring,restructuring,False,Management Occupations
"Educational, Guidance, and Career Counselors and Advisors",40.04,40.04,moderate,moderate,False,Community and Social Service Occupations
"Electric Motor, Power Tool, and Related Repairers",19.63,21.61,low,restructuring,True,"Installation, Maintenance, and Repair Occupations"
Electrical Engineers,32.95,46.76,restructuring,moderate,True,Architecture and Engineering Occupations
Electrical Power-Line Installers and Repairers,19.30,20.80,low,restructuring,True,"Installation, Maintenance, and Repair Occupations"
Electrical and Electronic Engineering Technologists and Technicians,42.53,42.53,moderate,moderate,False,Architecture and Engineering Occupations
Electrical and Electronic Equipment Assemblers,19.86,26.38,low,restructuring,True,Production Occupations
Electrical and Electronics Drafters,46.56,46.56,moderate,moderate,False,Architecture and Engineering Occupations
"Electrical and Electronics Installers and Repairers, Transportation Equipment",23.50,32.01,restructuring,restructuring,False,"Installation, Maintenance, and Repair Occupations"
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",32.29,43.74,restructuring,moderate,True,"Installation, Maintenance, and Repair Occupations"
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",40.69,41.62,moderate,moderate,False,"Installation, Maintenance, and Repair Occupations"
Electricians,32.95,43.47,restructuring,moderate,True,Construction and Extraction Occupations
Electro-Mechanical and Mechatronics Technologists and Technicians,34.65,34.65,restructuring,restructuring,False,Architecture and Engineering Occupations
Electromechanical Equipment Assemblers,12.58,15.62,low,low,False,Production Occupations
"Electronic Equipment Installers and Repairers, Motor Vehicles",23.09,34.64,restructuring,restructuring,False,"Installation, Maintenance, and Repair Occupations"
"Electronics Engineers, Except Computer",35.57,59.87,restructuring,moderate,True,Architecture and Engineering Occupations
"Elementary School Teachers, Except Special Education",26.07,63.21,restructuring,high,True,Educational Instruction and Library Occupations
Elevator and Escalator Installers and Repairers,8.02,8.02,low,low,False,Construction and Extraction Occupations
"Eligibility Interviewers, Government Programs",37.08,55.87,restructuring,moderate,True,Office and Administrative Support Occupations
Embalmers,7.28,9.68,low,low,False,Personal Care and Service Occupations
Emergency Management Directors,25.40,26.92,restructuring,restructuring,False,Management Occupations
Emergency Medical Technicians,10.44,10.44,low,low,False,Healthcare Practitioners and Technical Occupations
Emergency Medicine Physicians,16.51,16.51,low,low,False,Healthcare Practitioners and Technical Occupations
