title_current,pct_first,pct_last,tier_first,tier_last,tier_changed,major_occ_category
"English Language and Literature Teachers, Postsecondary",34.57,71.86,restructuring,high,True,Educational Instruction and Library Occupations
Bill and Account Collectors,26.84,71.85,restructuring,high,True,Office and Administrative Support Occupations
Statisticians,45.46,71.76,moderate,high,True,Computer and Mathematical Occupations
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",42.35,71.60,moderate,high,True,Business and Financial Operations Occupations
Computer Network Architects,43.94,71.56,moderate,high,True,Computer and Mathematical Occupations
"Dispatchers, Except Police, Fire, and Ambulance",28.63,71.51,restructuring,high,True,Office and Administrative Support Occupations
Tutors,32.33,71.38,restructuring,high,True,Educational Instruction and Library Occupations
"Office Clerks, General",40.39,71.37,moderate,high,True,Office and Administrative Support Occupations
Brokerage Clerks,46.55,71.34,moderate,high,True,Office and Administrative Support Occupations
Travel Agents,31.79,71.20,restructuring,high,True,Sales and Related Occupations
Mathematicians,51.99,71.19,moderate,high,True,Computer and Mathematical Occupations
"Criminal Justice and Law Enforcement Teachers, Postsecondary",33.36,71.01,restructuring,high,True,Educational Instruction and Library Occupations
"Anthropology and Archeology Teachers, Postsecondary",32.93,70.86,restructuring,high,True,Educational Instruction and Library Occupations
Counter and Rental Clerks,51.20,70.76,moderate,high,True,Sales and Related Occupations
Logistics Analysts,15.66,70.71,low,high,True,Business and Financial Operations Occupations
Computer Systems Analysts,43.79,70.69,moderate,high,True,Computer and Mathematical Occupations
Operations Research Analysts,48.09,70.69,moderate,high,True,Computer and Mathematical Occupations
Sociologists,32.33,70.51,restructuring,high,True,"Life, Physical, and Social Science Occupations"
"Foreign Language and Literature Teachers, Postsecondary",33.13,70.20,restructuring,high,True,Educational Instruction and Library Occupations
Desktop Publishers,43.24,69.89,moderate,high,True,Office and Administrative Support Occupations
Web Administrators,45.23,69.77,moderate,high,True,Computer and Mathematical Occupations
"Recreation and Fitness Studies Teachers, Postsecondary",32.73,69.59,restructuring,high,True,Educational Instruction and Library Occupations
"Bookkeeping, Accounting, and Auditing Clerks",40.95,69.59,moderate,high,True,Office and Administrative Support Occupations
Procurement Clerks,42.02,69.39,moderate,high,True,Office and Administrative Support Occupations
Management Analysts,50.37,69.24,moderate,high,True,Business and Financial Operations Occupations
"Interviewers, Except Eligibility and Loan",36.34,68.81,restructuring,high,True,Office and Administrative Support Occupations
Database Architects,38.92,68.69,restructuring,high,True,Computer and Mathematical Occupations
"Fraud Examiners, Investigators and Analysts",33.57,68.45,restructuring,high,True,Business and Financial Operations Occupations
First-Line Supervisors of Office and Administrative Support Workers,23.83,68.43,restructuring,high,True,Office and Administrative Support Occupations
"Mathematical Science Teachers, Postsecondary",33.52,68.09,restructuring,high,True,Educational Instruction and Library Occupations
Geographers,49.50,67.97,moderate,high,True,"Life, Physical, and Social Science Occupations"
Telecommunications Engineering Specialists,30.06,67.97,restructuring,high,True,Computer and Mathematical Occupations
"Fine Artists, Including Painters, Sculptors, and Illustrators",38.31,67.94,restructuring,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
First-Line Supervisors of Non-Retail Sales Workers,23.61,67.92,restructuring,high,True,Sales and Related Occupations
Information Technology Project Managers,21.80,67.85,restructuring,high,True,Computer and Mathematical Occupations
First-Line Supervisors of Retail Sales Workers,23.00,67.18,restructuring,high,True,Sales and Related Occupations
Industrial-Organizational Psychologists,36.99,66.61,restructuring,high,True,"Life, Physical, and Social Science Occupations"
"Title Examiners, Abstractors, and Searchers",28.02,66.18,restructuring,high,True,Legal Occupations
"Wholesale and Retail Buyers, Except Farm Products",44.49,66.18,moderate,high,True,Business and Financial Operations Occupations
"Chemistry Teachers, Postsecondary",28.34,65.95,restructuring,high,True,Educational Instruction and Library Occupations
Data Entry Keyers,38.17,65.89,restructuring,high,True,Office and Administrative Support Occupations
Concierges,44.52,65.83,moderate,high,True,Personal Care and Service Occupations
Craft Artists,43.69,65.47,moderate,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
Pharmacists,38.24,64.86,restructuring,high,True,Healthcare Practitioners and Technical Occupations
Executive Secretaries and Executive Administrative Assistants,40.85,64.84,moderate,high,True,Office and Administrative Support Occupations
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",31.14,64.56,restructuring,high,True,Educational Instruction and Library Occupations
Insurance Sales Agents,31.37,64.14,restructuring,high,True,Sales and Related Occupations
Physicists,40.77,64.12,moderate,high,True,"Life, Physical, and Social Science Occupations"
