title_current,pct_first,pct_last,tier_first,tier_last,tier_changed,major_occ_category
Diagnostic Medical Sonographers,19.30,37.23,low,restructuring,True,Healthcare Practitioners and Technical Occupations
Social and Community Service Managers,24.89,37.07,restructuring,restructuring,False,Management Occupations
"Radio, Cellular, and Tower Equipment Installers and Repairers",27.43,36.76,restructuring,restructuring,False,"Installation, Maintenance, and Repair Occupations"
Prepress Technicians and Workers,23.41,36.67,restructuring,restructuring,False,Production Occupations
First-Line Supervisors of Food Preparation and Serving Workers,26.19,36.45,restructuring,restructuring,False,Food Preparation and Serving Related Occupations
Chiropractors,14.75,36.39,low,restructuring,True,Healthcare Practitioners and Technical Occupations
Power Distributors and Dispatchers,17.55,36.17,low,restructuring,True,Production Occupations
Food Preparation Workers,29.88,35.77,restructuring,restructuring,False,Food Preparation and Serving Related Occupations
Food Science Technicians,18.45,35.68,low,restructuring,True,"Life, Physical, and Social Science Occupations"
Validation Engineers,31.64,35.48,restructuring,restructuring,False,Architecture and Engineering Occupations
Hydrologists,26.50,35.11,restructuring,restructuring,False,"Life, Physical, and Social Science Occupations"
"Patternmakers, Metal and Plastic",26.99,34.89,restructuring,restructuring,False,Production Occupations
Neurologists,21.57,34.88,restructuring,restructuring,False,Healthcare Practitioners and Technical Occupations
School Psychologists,21.51,34.71,restructuring,restructuring,False,"Life, Physical, and Social Science Occupations"
"Electronic Equipment Installers and Repairers, Motor Vehicles",23.09,34.64,restructuring,restructuring,False,"Installation, Maintenance, and Repair Occupations"
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",25.84,34.58,restructuring,restructuring,False,Transportation and Material Moving Occupations
Camera and Photographic Equipment Repairers,25.96,34.18,restructuring,restructuring,False,"Installation, Maintenance, and Repair Occupations"
Veterinarians,22.49,34.16,restructuring,restructuring,False,Healthcare Practitioners and Technical Occupations
Couriers and Messengers,15.51,33.87,low,restructuring,True,Office and Administrative Support Occupations
Adapted Physical Education Specialists,26.97,33.82,restructuring,restructuring,False,Educational Instruction and Library Occupations
Photonics Technicians,28.92,33.69,restructuring,restructuring,False,Architecture and Engineering Occupations
Pest Control Workers,7.97,33.67,low,restructuring,True,Building and Grounds Cleaning and Maintenance Occupations
"Compensation, Benefits, and Job Analysis Specialists",15.63,33.65,low,restructuring,True,Business and Financial Operations Occupations
Civil Engineers,26.04,33.59,restructuring,restructuring,False,Architecture and Engineering Occupations
"Dentists, General",8.74,33.43,low,restructuring,True,Healthcare Practitioners and Technical Occupations
Surveyors,23.85,33.39,restructuring,restructuring,False,Architecture and Engineering Occupations
Registered Nurses,9.30,33.36,low,restructuring,True,Healthcare Practitioners and Technical Occupations
Geothermal Technicians,24.12,33.35,restructuring,restructuring,False,"Installation, Maintenance, and Repair Occupations"
Environmental Compliance Inspectors,32.31,33.29,restructuring,restructuring,False,Business and Financial Operations Occupations
Water Resource Specialists,22.05,33.28,restructuring,restructuring,False,Management Occupations
