category,config_key,config_label,pct_tasks_affected,workers_affected,wages_affected
"Court, Municipal, and License Clerks",agentic_confirmed,Agentic Confirmed,20.07,34115.96,1627331057.08
Insurance Underwriters,agentic_confirmed,Agentic Confirmed,30.74,33146.16,2647715354.55
"Nursing Instructors and Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,44.47,33017.69,2639434277.40
Exercise Trainers and Group Fitness Instructors,agentic_confirmed,Agentic Confirmed,10.83,32886.85,1518714726.57
Allergists and Immunologists,agentic_confirmed,Agentic Confirmed,23.74,32602.15,8121313104.82
Payroll and Timekeeping Clerks,agentic_confirmed,Agentic Confirmed,20.64,32393.44,1791033399.55
"Career/Technical Education Teachers, Secondary School",agentic_confirmed,Agentic Confirmed,30.48,31834.87,2034566521.80
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",agentic_confirmed,Agentic Confirmed,8.25,31550.69,1121627125.52
"English Language and Literature Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,52.83,31479.89,2463930668.54
Cost Estimators,agentic_confirmed,Agentic Confirmed,14.31,31411.25,2420865055.68
"Special Education Teachers, Middle School",agentic_confirmed,Agentic Confirmed,32.60,31073.24,2016031507.54
Real Estate Brokers,agentic_confirmed,Agentic Confirmed,60.66,30082.83,2174387275.99
Librarians and Media Collections Specialists,agentic_confirmed,Agentic Confirmed,22.66,29872.99,1921430860.59
Logistics Engineers,agentic_confirmed,Agentic Confirmed,33.42,29701.55,2402261057.48
Computer Hardware Engineers,agentic_confirmed,Agentic Confirmed,38.81,29381.94,4554787611.47
Retail Loss Prevention Specialists,agentic_confirmed,Agentic Confirmed,35.26,29303.16,1219011630.54
Sales Engineers,agentic_confirmed,Agentic Confirmed,51.57,29233.69,3552477427.21
"Plumbers, Pipefitters, and Steamfitters",agentic_confirmed,Agentic Confirmed,12.15,28926.04,1821472654.40
"Poets, Lyricists and Creative Writers",agentic_confirmed,Agentic Confirmed,63.89,28761.89,2078622028.51
Solar Sales Representatives and Assessors,agentic_confirmed,Agentic Confirmed,49.76,28707.67,2872776559.35
Clinical and Counseling Psychologists,agentic_confirmed,Agentic Confirmed,39.26,28339.57,2715780959.99
Compliance Managers,agentic_confirmed,Agentic Confirmed,24.22,28280.53,3861706978.90
Carpenters,agentic_confirmed,Agentic Confirmed,4.02,28073.99,1665068501.71
Amusement and Recreation Attendants,agentic_confirmed,Agentic Confirmed,7.49,27847.45,849068841.62
Database Architects,agentic_confirmed,Agentic Confirmed,54.80,27105.07,3329926840.84
Training and Development Managers,agentic_confirmed,Agentic Confirmed,59.78,26877.06,3415805511.23
Chefs and Head Cooks,agentic_confirmed,Agentic Confirmed,14.64,26695.68,1628169544.26
Purchasing Managers,agentic_confirmed,Agentic Confirmed,32.83,26673.55,3721227456.49
"Dentists, General",agentic_confirmed,Agentic Confirmed,23.48,26649.48,4604764417.54
"Mathematical Science Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,53.52,26130.47,2073452723.50
Chemists,agentic_confirmed,Agentic Confirmed,30.88,25705.08,2163082580.04
