occ,date,config,pct_tasks_affected,group
Web Developers,2025-04-24,all_ceiling,76.32,AI-Controversial / Interesting
Paralegals and Legal Assistants,2025-04-24,all_ceiling,45.55,AI-Controversial / Interesting
Data Scientists,2025-04-24,all_ceiling,71.55,AI-Controversial / Interesting
Human Resources Specialists,2025-04-24,all_ceiling,60.79,AI-Controversial / Interesting
Market Research Analysts and Marketing Specialists,2025-04-24,all_ceiling,73.71,AI-Controversial / Interesting
Editors,2025-04-24,all_ceiling,49.85,AI-Controversial / Interesting
Interpreters and Translators,2025-04-24,all_ceiling,68.71,AI-Controversial / Interesting
Computer Systems Analysts,2025-04-24,all_ceiling,64.81,Utah-Relevant
Medical and Health Services Managers,2025-04-24,all_ceiling,53.57,Utah-Relevant
Construction Laborers,2025-04-24,all_ceiling,4.51,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2025-04-24,all_ceiling,61.98,Utah-Relevant
Network and Computer Systems Administrators,2025-04-24,all_ceiling,73.77,Utah-Relevant
Registered Nurses,2025-05-24,all_ceiling,16.08,High-Profile / High-Employment
Software Developers,2025-05-24,all_ceiling,63.11,High-Profile / High-Employment
General and Operations Managers,2025-05-24,all_ceiling,47.43,High-Profile / High-Employment
Cashiers,2025-05-24,all_ceiling,60.59,High-Profile / High-Employment
Customer Service Representatives,2025-05-24,all_ceiling,65.33,High-Profile / High-Employment
Retail Salespersons,2025-05-24,all_ceiling,53.59,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2025-05-24,all_ceiling,27.41,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2025-05-24,all_ceiling,52.96,High-Profile / High-Employment
Waiters and Waitresses,2025-05-24,all_ceiling,42.36,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2025-05-24,all_ceiling,16.79,High-Profile / High-Employment
Accountants and Auditors,2025-05-24,all_ceiling,41.71,High-Profile / High-Employment
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2025-05-24,all_ceiling,81.33,High-Profile / High-Employment
Lawyers,2025-05-24,all_ceiling,34.22,AI-Controversial / Interesting
"Physicians, All Other",2025-05-24,all_ceiling,,AI-Controversial / Interesting
Financial Analysts,2025-05-24,all_ceiling,,AI-Controversial / Interesting
Graphic Designers,2025-05-24,all_ceiling,75.82,AI-Controversial / Interesting
Technical Writers,2025-05-24,all_ceiling,63.48,AI-Controversial / Interesting
Web Developers,2025-05-24,all_ceiling,82.50,AI-Controversial / Interesting
Paralegals and Legal Assistants,2025-05-24,all_ceiling,51.71,AI-Controversial / Interesting
Data Scientists,2025-05-24,all_ceiling,76.12,AI-Controversial / Interesting
Human Resources Specialists,2025-05-24,all_ceiling,65.62,AI-Controversial / Interesting
Market Research Analysts and Marketing Specialists,2025-05-24,all_ceiling,77.63,AI-Controversial / Interesting
Editors,2025-05-24,all_ceiling,53.84,AI-Controversial / Interesting
Interpreters and Translators,2025-05-24,all_ceiling,71.55,AI-Controversial / Interesting
Computer Systems Analysts,2025-05-24,all_ceiling,69.54,Utah-Relevant
Medical and Health Services Managers,2025-05-24,all_ceiling,56.33,Utah-Relevant
Construction Laborers,2025-05-24,all_ceiling,4.51,Utah-Relevant
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2025-05-24,all_ceiling,64.41,Utah-Relevant
Network and Computer Systems Administrators,2025-05-24,all_ceiling,77.01,Utah-Relevant
Registered Nurses,2025-07-23,all_ceiling,21.11,High-Profile / High-Employment
Software Developers,2025-07-23,all_ceiling,64.68,High-Profile / High-Employment
General and Operations Managers,2025-07-23,all_ceiling,48.03,High-Profile / High-Employment
Cashiers,2025-07-23,all_ceiling,63.89,High-Profile / High-Employment
Customer Service Representatives,2025-07-23,all_ceiling,68.42,High-Profile / High-Employment
Retail Salespersons,2025-07-23,all_ceiling,55.76,High-Profile / High-Employment
Heavy and Tractor-Trailer Truck Drivers,2025-07-23,all_ceiling,27.41,High-Profile / High-Employment
"Elementary School Teachers, Except Special Education",2025-07-23,all_ceiling,54.06,High-Profile / High-Employment
Waiters and Waitresses,2025-07-23,all_ceiling,43.15,High-Profile / High-Employment
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2025-07-23,all_ceiling,16.79,High-Profile / High-Employment
Accountants and Auditors,2025-07-23,all_ceiling,43.59,High-Profile / High-Employment
