category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,mean_pct,std_pct
Advanced Practice Psychiatric Nurses,39.46,27.19,14.67,16.00,24.33,11.54
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",32.63,8.25,32.63,23.12,24.16,11.52
First-Line Supervisors of Non-Retail Sales Workers,46.04,49.01,23.61,35.50,38.54,11.52
Retail Loss Prevention Specialists,30.59,35.26,9.32,20.63,23.95,11.50
Broadcast Announcers and Radio Disc Jockeys,42.82,23.96,42.82,51.10,40.18,11.49
"Telecommunications Equipment Installers and Repairers, Except Line Installers",32.81,11.10,32.45,14.71,22.77,11.48
Cargo and Freight Agents,27.53,29.13,21.55,48.08,31.57,11.48
Cooling and Freezing Equipment Operators and Tenders,24.18,0.00,24.18,14.21,15.64,11.44
Bridge and Lock Tenders,0.00,0.00,0.00,22.87,5.72,11.44
Veterinarians,30.62,7.14,22.49,8.14,17.10,11.42
Bakers,25.05,0.00,19.84,22.22,16.78,11.39
Civil Engineers,30.64,7.11,26.04,31.35,23.78,11.36
Parking Enforcement Workers,18.67,0.00,17.96,26.89,15.88,11.33
Urban and Regional Planners,41.57,16.49,35.58,23.82,29.37,11.32
Security Management Specialists,43.14,15.79,29.09,25.84,28.47,11.30
Customer Service Representatives,71.00,54.54,45.08,63.99,58.65,11.29
Industrial Machinery Mechanics,30.03,4.83,26.99,19.31,20.29,11.25
Concierges,57.50,42.90,44.52,66.62,52.89,11.25
Printing Press Operators,22.24,0.00,21.59,23.34,16.79,11.22
Naturopathic Physicians,30.23,35.59,18.14,10.96,23.73,11.22
Transportation Inspectors,23.78,0.00,23.78,15.01,15.64,11.22
Quality Control Systems Managers,17.52,0.71,16.85,27.86,15.74,11.21
Computer User Support Specialists,53.79,69.54,44.63,64.81,58.19,11.19
Aerospace Engineers,26.61,2.54,24.41,23.15,19.18,11.18
Lodging Managers,46.64,22.19,33.51,44.13,36.62,11.18
Recreational Therapists,36.00,13.53,15.02,12.88,19.36,11.13
Logistics Engineers,44.08,33.42,19.51,41.86,34.72,11.13
"Fine Artists, Including Painters, Sculptors, and Illustrators",56.57,43.74,38.31,30.16,42.19,11.09
"Compensation, Benefits, and Job Analysis Specialists",31.86,11.65,15.63,33.34,23.12,11.08
"Wholesale and Retail Buyers, Except Farm Products",60.23,36.56,44.49,36.91,44.55,11.08
Mental Health Counselors,49.43,40.82,28.78,25.60,36.16,11.01
Purchasing Managers,45.74,32.83,18.88,34.26,32.93,11.01
"Special Education Teachers, Middle School",39.22,32.60,21.99,14.52,27.08,10.98
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",45.62,21.87,42.31,30.32,35.03,10.96
Paperhangers,21.12,2.72,21.12,1.60,11.64,10.96
Nurse Midwives,37.08,23.19,13.80,14.03,22.03,10.95
Geographic Information Systems Technologists and Technicians,47.21,47.33,47.21,69.13,52.72,10.94
Baristas,43.44,23.07,35.90,20.14,30.64,10.94
"Architects, Except Landscape and Naval",53.15,53.07,29.93,45.89,45.51,10.93
Computer and Information Systems Managers,54.73,53.35,30.89,45.80,46.19,10.93
Biochemists and Biophysicists,43.30,22.86,39.07,22.14,31.84,10.93
Biological Technicians,44.99,21.33,27.12,39.53,33.25,10.91
Self-Enrichment Teachers,27.88,46.27,27.88,20.80,30.71,10.90
Fast Food and Counter Workers,29.37,7.52,29.37,15.08,20.33,10.88
Childcare Workers,34.10,15.05,26.24,10.08,21.37,10.85
Mathematicians,59.52,33.71,51.99,48.39,48.40,10.84
"Dentists, General",27.23,23.48,8.74,5.22,16.17,10.81
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",22.17,0.00,22.17,9.47,13.45,10.78
Library Technicians,51.99,26.06,40.08,43.32,40.36,10.78
Neuropsychologists,25.94,3.89,25.94,13.42,17.30,10.71
Radiologists,40.89,18.61,22.03,18.55,25.02,10.71
"Morticians, Undertakers, and Funeral Arrangers",22.38,0.00,22.38,18.52,15.82,10.70
Document Management Specialists,58.59,54.20,44.31,70.09,56.80,10.69
Computer Programmers,63.25,65.53,47.94,73.46,62.54,10.68
"Poets, Lyricists and Creative Writers",78.65,63.89,56.01,56.08,63.66,10.66
"Control and Valve Installers and Repairers, Except Mechanical Door",23.67,1.24,23.67,13.59,15.54,10.66
Machinists,30.94,7.16,26.61,16.50,20.30,10.65
First-Line Supervisors of Police and Detectives,18.41,0.00,12.51,25.06,13.99,10.64
Bailiffs,33.16,18.05,33.16,12.36,24.18,10.62
Sales Managers,34.96,47.26,26.17,23.83,33.06,10.61
Petroleum Engineers,20.42,0.00,19.94,22.78,15.79,10.60
Food Batchmakers,25.16,0.00,10.01,16.08,12.81,10.57
"Sawing Machine Setters, Operators, and Tenders, Wood",25.45,4.20,25.45,11.70,16.70,10.56
Coaches and Scouts,45.83,28.43,24.05,23.26,30.39,10.54
Customs Brokers,39.60,21.48,24.39,42.34,31.95,10.54
Clinical Data Managers,51.77,47.91,31.95,56.12,46.94,10.54
Solar Energy Installation Managers,35.74,13.82,25.46,13.91,22.23,10.54
Computer Systems Analysts,57.53,60.67,43.79,69.13,57.78,10.53
"Maintenance and Repair Workers, General",20.80,0.00,20.44,5.63,11.72,10.53
"Captains, Mates, and Pilots of Water Vessels",20.14,0.00,20.14,22.53,15.70,10.53
"Derrick Operators, Oil and Gas",19.38,0.00,19.38,2.51,10.32,10.51
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",64.04,58.36,39.83,57.82,55.01,10.51
Hydrologists,33.27,8.85,26.50,26.67,23.83,10.47
Financial Quantitative Analysts,65.29,71.15,46.70,60.74,60.97,10.43
Audiologists,21.24,0.00,20.68,7.48,12.35,10.40
Computer Numerically Controlled Tool Operators,33.16,13.38,33.16,35.75,28.86,10.40
Semiconductor Processing Technicians,20.76,0.00,20.76,20.78,15.58,10.38
Skincare Specialists,30.88,14.12,8.09,10.06,15.79,10.37
Substance Abuse and Behavioral Disorder Counselors,37.34,24.68,25.61,12.01,24.91,10.35
"Patternmakers, Wood",31.05,8.99,27.09,14.82,20.49,10.32
"Title Examiners, Abstractors, and Searchers",52.69,38.04,28.02,35.79,38.63,10.31
"Administrative Law Judges, Adjudicators, and Hearing Officers",36.96,18.40,24.41,13.04,23.20,10.28
Stationary Engineers and Boiler Operators,20.10,0.00,19.66,21.66,15.35,10.27
Transit and Railroad Police,24.91,0.00,13.96,10.49,12.34,10.27
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",25.44,6.38,25.44,28.97,21.56,10.26
Sports Medicine Physicians,25.15,1.17,19.06,12.62,14.50,10.26
"Sewers, Hand",17.94,0.00,17.94,0.36,9.06,10.25
First-Line Supervisors of Food Preparation and Serving Workers,34.28,10.45,26.19,28.99,24.98,10.25
Terrazzo Workers and Finishers,20.00,1.85,18.47,1.24,10.39,10.24
Manufacturing Engineers,45.54,21.77,39.97,33.26,35.13,10.23
Freight Forwarders,40.53,26.68,28.61,48.29,36.03,10.21
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",20.75,0.00,20.75,8.04,12.38,10.20
Farm Labor Contractors,19.80,0.00,19.80,21.42,15.26,10.20
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",20.06,0.00,20.06,5.73,11.46,10.20
Financial Risk Specialists,33.64,36.42,33.64,54.79,39.62,10.20
Biofuels Processing Technicians,13.88,7.13,6.74,28.54,14.07,10.18
Sales Engineers,60.56,51.57,38.02,41.70,47.96,10.16
Septic Tank Servicers and Sewer Pipe Cleaners,21.23,0.00,20.54,8.96,12.68,10.16
Fire Inspectors and Investigators,21.51,0.00,21.51,13.57,14.15,10.15
"Interviewers, Except Eligibility and Loan",59.68,43.61,36.34,52.12,47.94,10.15
"Credit Authorizers, Checkers, and Clerks",35.11,54.10,35.11,50.90,43.80,10.12
Labor Relations Specialists,17.63,28.85,9.64,6.00,15.53,10.12
Neurologists,28.76,7.65,21.57,9.20,16.79,10.12
Adhesive Bonding Machine Operators and Tenders,21.57,0.00,19.24,19.56,15.09,10.12
Physical Therapists,37.27,17.38,20.87,14.77,22.57,10.11
Quality Control Analysts,23.05,4.02,18.88,27.14,18.27,10.08
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",27.05,5.70,27.05,20.62,20.10,10.07
Cardiologists,21.34,0.00,21.34,13.63,14.08,10.07
"Opticians, Dispensing",20.21,0.00,20.21,7.02,11.86,10.06
Database Architects,53.37,54.80,38.92,63.08,52.54,10.04
Biofuels/Biodiesel Technology and Product Development Managers,22.85,0.00,16.40,7.44,11.67,10.02
Materials Scientists,41.89,29.54,25.58,17.93,28.73,10.01
"Airline Pilots, Copilots, and Flight Engineers",14.75,0.88,14.43,25.26,13.83,10.00
"Environmental Scientists and Specialists, Including Health",43.34,26.01,27.57,19.93,29.21,9.98
Paralegals and Legal Assistants,41.59,29.29,22.01,42.58,33.87,9.95
School Psychologists,31.25,8.31,21.51,26.81,21.97,9.94
Healthcare Social Workers,37.42,19.88,20.86,14.60,23.19,9.88
Food Cooking Machine Operators and Tenders,18.90,0.00,18.90,21.10,14.73,9.87
"Claims Adjusters, Examiners, and Investigators",33.75,48.91,33.75,25.23,35.41,9.85
"Tool Grinders, Filers, and Sharpeners",20.82,0.00,20.82,13.98,13.90,9.81
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",20.34,0.00,20.34,17.62,14.58,9.80
Pharmacists,42.36,24.97,38.24,22.41,31.99,9.79
Tool and Die Makers,22.89,3.61,22.89,9.34,14.68,9.76
Chefs and Head Cooks,31.59,14.64,24.58,9.98,20.20,9.73
Media Technical Directors/Managers,23.92,7.50,23.92,30.24,21.39,9.73
Industrial Ecologists,22.85,2.00,21.19,19.76,16.45,9.71
Electrical Power-Line Installers and Repairers,20.80,0.00,19.30,9.12,12.31,9.71
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",65.95,54.44,42.35,56.51,54.81,9.70
Non-Destructive Testing Specialists,39.98,17.25,33.86,27.71,29.70,9.69
"Umpires, Referees, and Other Sports Officials",13.30,0.00,13.30,23.60,12.55,9.67
Special Effects Artists and Animators,41.87,34.45,41.87,57.25,43.86,9.59
Bioengineers and Biomedical Engineers,40.11,19.99,40.11,35.97,34.05,9.57
Architectural and Engineering Managers,29.00,38.81,17.32,35.92,30.26,9.56
Bioinformatics Scientists,59.06,60.31,40.62,59.74,54.93,9.56
Weatherization Installers and Technicians,22.02,0.00,13.59,17.87,13.37,9.56
Geothermal Production Managers,10.04,0.00,8.75,23.07,10.47,9.51
"Patternmakers, Metal and Plastic",31.13,10.56,26.99,29.69,24.59,9.51
Environmental Economists,42.27,19.87,32.57,26.53,30.31,9.51
File Clerks,48.59,32.24,38.45,53.04,43.08,9.46
"Teaching Assistants, Special Education",26.69,6.67,26.69,20.56,20.15,9.44
Dietetic Technicians,44.74,38.91,23.79,29.16,34.15,9.44
Biomass Power Plant Managers,15.19,2.81,13.83,25.84,14.42,9.42
Brownfield Redevelopment Specialists and Site Managers,15.93,0.00,15.93,21.90,13.44,9.39
"Arbitrators, Mediators, and Conciliators",35.99,20.51,18.40,14.71,22.40,9.37
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",19.76,0.00,19.76,14.47,13.50,9.34
Medical Equipment Repairers,29.86,15.50,29.43,11.86,21.66,9.34
Shampooers,14.82,0.00,0.73,17.72,8.32,9.26
Librarians and Media Collections Specialists,40.40,22.66,40.40,42.35,36.45,9.24
Anthropologists and Archeologists,33.15,21.19,33.15,14.56,25.51,9.23
"Paper Goods Machine Setters, Operators, and Tenders",15.45,0.00,15.45,21.61,13.13,9.22
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",20.58,0.00,17.91,15.27,13.44,9.22
Photographers,54.72,32.66,41.86,39.72,42.24,9.20
"Educational, Guidance, and Career Counselors and Advisors",40.04,29.64,40.04,21.00,32.68,9.20
"Model Makers, Metal and Plastic",16.98,0.00,16.98,20.32,13.57,9.18
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",12.92,8.70,12.92,29.41,15.99,9.17
Furniture Finishers,16.17,0.00,16.17,0.62,8.24,9.16
Residential Advisors,38.53,17.78,28.27,21.23,26.45,9.16
Diagnostic Medical Sonographers,35.79,14.89,19.30,20.12,22.53,9.14
"Environmental Science and Protection Technicians, Including Health",29.56,7.61,21.88,18.04,19.27,9.13
Statisticians,59.35,59.91,45.46,67.17,57.97,9.07
"Helpers--Installation, Maintenance, and Repair Workers",18.07,0.00,14.13,1.37,8.39,9.06
Automotive Engineering Technicians,46.02,25.11,30.30,36.81,34.56,9.02
Mechanical Engineers,39.60,19.23,36.62,30.42,31.47,9.01
"Makeup Artists, Theatrical and Performance",17.67,0.00,13.92,0.88,8.12,9.00
Pest Control Workers,28.85,18.43,7.97,24.14,19.85,8.99
"Radio, Cellular, and Tower Equipment Installers and Repairers",27.44,13.44,27.43,10.75,19.77,8.92
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",66.18,59.56,44.84,57.31,56.97,8.92
Nuclear Medicine Technologists,37.55,16.66,21.95,23.57,24.93,8.91
"Special Education Teachers, Preschool",30.85,12.28,23.26,12.90,19.82,8.91
Hospitalists,18.60,0.00,18.60,15.41,13.15,8.89
Packaging and Filling Machine Operators and Tenders,5.10,0.00,5.10,20.51,7.68,8.89
Financial and Investment Analysts,50.47,34.81,50.47,55.12,47.72,8.88
Light Truck Drivers,15.34,0.00,15.34,20.51,12.80,8.87
Advertising Sales Agents,65.16,44.12,50.03,52.27,52.90,8.87
Mechanical Engineering Technologists and Technicians,33.51,17.18,33.51,36.87,30.27,8.87
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",23.19,4.44,19.72,22.77,17.53,8.86
"Production, Planning, and Expediting Clerks",42.85,23.16,34.78,40.78,35.40,8.84
Etchers and Engravers,17.43,0.00,16.91,18.50,13.21,8.83
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",18.58,0.00,18.58,14.48,12.91,8.82
Food Scientists and Technologists,37.30,34.61,33.86,17.90,30.92,8.81
Epidemiologists,29.35,8.99,24.67,23.46,21.62,8.79
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",20.62,0.00,15.23,13.71,12.39,8.78
"Pourers and Casters, Metal",17.06,0.00,17.06,4.37,9.62,8.77
Agricultural Equipment Operators,16.24,0.00,16.24,2.25,8.68,8.77
Health Information Technologists and Medical Registrars,38.11,30.02,38.11,51.21,39.36,8.77
First-Line Supervisors of Gambling Services Workers,37.61,23.26,37.61,21.66,30.03,8.77
Metal-Refining Furnace Operators and Tenders,17.97,0.00,17.97,15.94,12.97,8.70
Upholsterers,18.70,0.00,16.25,6.65,10.40,8.67
Operations Research Analysts,62.27,41.86,48.09,53.64,51.46,8.66
Nuclear Technicians,17.93,0.00,17.93,15.57,12.86,8.64
Insurance Sales Agents,49.96,46.68,31.37,36.68,41.17,8.64
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",14.94,0.00,14.94,0.00,7.47,8.63
"Welders, Cutters, Solderers, and Brazers",16.18,0.00,16.18,2.76,8.78,8.62
Solar Photovoltaic Installers,31.86,19.34,22.26,10.97,21.11,8.62
"Painters, Construction and Maintenance",19.35,2.06,9.33,0.46,7.80,8.61
Farm Equipment Mechanics and Service Technicians,18.20,0.00,18.20,13.28,12.42,8.60
Tile and Stone Setters,16.11,0.00,16.11,2.68,8.72,8.60
Counter and Rental Clerks,60.46,44.14,51.20,62.68,54.62,8.57
Producers and Directors,28.12,44.72,28.12,26.64,31.90,8.57
Locomotive Engineers,18.80,0.00,16.74,8.62,11.04,8.57
Acute Care Nurses,29.87,12.74,19.58,10.95,18.29,8.57
Personal Financial Advisors,61.54,59.97,44.46,47.82,53.45,8.57
Loss Prevention Managers,14.87,4.15,12.01,24.89,13.98,8.57
Lawyers,38.63,28.18,27.45,17.71,27.99,8.55
Commercial Pilots,23.97,6.13,23.39,22.10,18.90,8.55
First-Line Supervisors of Personal Service Workers,25.33,7.40,22.92,24.84,20.12,8.55
"Maintenance Workers, Machinery",17.99,0.00,17.99,13.86,12.46,8.53
Solar Sales Representatives and Assessors,55.50,49.76,35.67,50.67,47.90,8.53
Loan Interviewers and Clerks,46.37,36.86,33.99,52.36,42.39,8.49
Compliance Officers,31.35,17.80,31.35,38.00,29.62,8.48
Accountants and Auditors,28.09,46.01,28.09,35.32,34.37,8.47
"Mail Clerks and Mail Machine Operators, Except Postal Service",17.72,8.68,17.72,29.35,18.37,8.47
Watch and Clock Repairers,16.48,0.00,16.48,4.33,9.32,8.45
Chemical Technicians,43.39,26.22,26.80,26.53,30.74,8.44
Water and Wastewater Treatment Plant and System Operators,0.00,0.00,0.00,16.84,4.21,8.42
Bartenders,26.49,7.90,21.63,12.71,17.18,8.42
Airfield Operations Specialists,28.38,10.58,27.12,17.78,20.96,8.38
"Coil Winders, Tapers, and Finishers",16.19,0.00,16.19,17.66,12.51,8.37
Food Science Technicians,34.36,15.50,18.45,25.11,23.35,8.37
Railroad Conductors and Yardmasters,18.88,0.00,16.01,9.63,11.13,8.36
Financial Examiners,18.28,2.30,13.44,21.36,13.85,8.36
"Layout Workers, Metal and Plastic",18.20,0.00,17.11,10.62,11.48,8.35
Radiologic Technologists and Technicians,20.21,3.76,20.21,20.83,16.25,8.34
Construction Managers,36.54,23.50,17.16,21.59,24.70,8.33
Security Guards,42.56,23.52,26.75,31.52,31.09,8.33
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",24.87,9.86,24.87,11.12,17.68,8.32
Helpers--Electricians,15.52,0.00,15.52,2.43,8.37,8.32
Agricultural Inspectors,25.14,6.78,12.02,8.46,13.10,8.32
Police and Sheriff's Patrol Officers,26.44,15.94,26.44,9.60,19.61,8.31
"Rail Yard Engineers, Dinkey Operators, and Hostlers",18.05,0.00,15.94,7.80,10.45,8.25
Chief Executives,39.22,35.47,20.51,28.53,30.93,8.24
"Agents and Business Managers of Artists, Performers, and Athletes",47.46,33.71,28.24,33.41,35.70,8.23
Preventive Medicine Physicians,19.43,0.00,8.25,13.33,10.25,8.22
"Judges, Magistrate Judges, and Magistrates",23.86,15.69,10.97,4.44,13.74,8.17
"Potters, Manufacturing",17.30,0.00,16.83,8.53,10.66,8.17
Audio and Video Technicians,24.21,20.52,24.21,38.90,26.96,8.15
"Model Makers, Wood",24.17,7.38,20.86,10.09,15.63,8.15
First-Line Supervisors of Passenger Attendants,23.83,7.71,23.83,12.60,16.99,8.15
Subway and Streetcar Operators,14.09,8.94,12.41,27.51,15.74,8.14
"Electric Motor, Power Tool, and Related Repairers",19.94,3.22,19.63,9.81,13.15,8.12
Fallers,15.08,0.00,15.08,2.23,8.10,8.11
Helpers--Production Workers,12.12,5.79,5.39,22.75,11.51,8.10
Emergency Medicine Physicians,16.51,0.00,16.51,15.40,12.10,8.09
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,21.06,5.16,21.06,21.38,17.16,8.01
Nurse Anesthetists,16.64,0.00,16.64,7.95,10.31,8.00
Biofuels Production Managers,4.10,0.00,4.10,18.20,6.60,7.97
Mental Health and Substance Abuse Social Workers,39.44,30.86,22.05,23.58,28.98,7.96
"Tank Car, Truck, and Ship Loaders",14.53,0.00,14.53,17.76,11.71,7.95
"Mobile Heavy Equipment Mechanics, Except Engines",20.33,3.08,18.43,10.23,13.02,7.94
Magnetic Resonance Imaging Technologists,22.02,4.81,16.48,21.25,16.14,7.94
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",29.79,11.68,25.84,25.61,23.23,7.94
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",16.32,0.00,16.03,6.48,9.71,7.92
First-Line Supervisors of Housekeeping and Janitorial Workers,34.55,26.20,21.43,15.87,24.51,7.91
Clinical Nurse Specialists,30.64,22.30,24.89,11.75,22.39,7.91
Community Health Workers,30.65,12.43,27.17,24.02,23.57,7.90
Dental Assistants,12.50,28.60,12.50,13.49,16.77,7.90
Computer Systems Engineers/Architects,54.50,48.98,39.28,57.11,49.97,7.89
Computer Hardware Engineers,44.27,38.81,29.05,27.91,35.01,7.88
Rehabilitation Counselors,30.70,14.16,23.16,30.75,24.69,7.87
Optometrists,20.88,19.12,18.26,3.82,15.52,7.87
"Fraud Examiners, Investigators and Analysts",45.21,36.96,33.57,26.31,35.51,7.84
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",10.59,0.00,10.59,19.13,10.08,7.83
Baggage Porters and Bellhops,26.30,10.26,24.50,26.63,21.92,7.83
Environmental Engineering Technologists and Technicians,31.26,18.20,31.26,36.51,29.31,7.81
Funeral Home Managers,19.66,9.55,19.66,28.65,19.38,7.81
Jewelers and Precious Stone and Metal Workers,19.34,3.55,19.34,9.40,12.91,7.80
Crematory Operators,15.67,0.00,15.67,5.55,9.22,7.78
Electro-Mechanical and Mechatronics Technologists and Technicians,34.65,19.71,34.65,23.12,28.03,7.77
Millwrights,14.86,0.00,14.86,3.33,8.26,7.74
"Painting, Coating, and Decorating Workers",13.39,0.00,13.39,0.00,6.70,7.73
"Cooks, Institution and Cafeteria",16.33,0.00,14.96,14.76,11.51,7.71
Hoist and Winch Operators,8.77,0.00,8.77,18.80,9.09,7.68
Medical and Health Services Managers,44.33,25.69,33.34,35.81,34.79,7.68
Aircraft Service Attendants,14.25,0.00,14.25,2.35,7.71,7.61
Correctional Officers and Jailers,16.56,0.00,15.05,13.12,11.18,7.59
"Transportation, Storage, and Distribution Managers",27.35,11.68,27.35,25.15,22.88,7.54
Compliance Managers,41.31,24.22,27.19,33.09,31.45,7.54
General Internal Medicine Physicians,16.70,28.46,16.70,10.51,18.09,7.50
Engine and Other Machine Assemblers,18.72,7.43,15.25,2.19,10.90,7.49
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",14.28,0.00,12.51,1.08,6.97,7.47
Carpet Installers,15.76,0.00,15.76,11.37,10.72,7.44
"Refractory Materials Repairers, Except Brickmasons",12.88,0.00,12.88,0.00,6.44,7.44
Security Managers,29.20,20.20,11.83,24.78,21.50,7.42
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",15.25,0.00,15.25,13.79,11.08,7.42
Cytogenetic Technologists,28.56,13.70,25.00,14.72,20.49,7.41
Wind Energy Operations Managers,13.82,11.19,9.98,26.10,15.27,7.39
Log Graders and Scalers,12.19,0.00,12.19,17.41,10.45,7.39
Biomass Plant Technicians,8.87,0.00,8.87,18.02,8.94,7.36
Occupational Therapy Aides,26.41,8.94,17.43,14.02,16.70,7.35
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",16.96,6.38,16.96,2.63,10.73,7.35
Editors,53.93,36.77,42.04,41.10,43.46,7.35
"Shipping, Receiving, and Inventory Clerks",25.81,28.97,25.81,41.24,30.46,7.34
Taxi Drivers,22.94,9.02,22.94,11.71,16.65,7.34
Cardiovascular Technologists and Technicians,22.13,4.69,16.37,15.89,14.77,7.29
"Glass Blowers, Molders, Benders, and Finishers",14.67,0.00,14.67,5.26,8.65,7.28
Exercise Physiologists,34.42,37.90,22.34,25.79,30.11,7.27
"Cutting and Slicing Machine Setters, Operators, and Tenders",16.59,4.27,14.36,21.54,14.19,7.26
Business Continuity Planners,48.15,31.46,35.39,35.68,37.67,7.25
Microsystems Engineers,37.35,20.51,27.10,32.47,29.36,7.24
Glaziers,15.47,0.00,13.62,5.41,8.62,7.22
Social and Community Service Managers,34.49,18.17,24.89,20.46,24.50,7.22
Crane and Tower Operators,15.25,0.00,15.25,9.39,9.97,7.20
Aviation Inspectors,15.13,0.00,15.13,11.70,10.49,7.18
Respiratory Therapists,15.65,0.00,13.55,6.08,8.82,7.17
Food Service Managers,27.32,14.83,21.43,31.19,23.69,7.14
Physical Medicine and Rehabilitation Physicians,16.03,0.00,2.39,4.52,5.74,7.11
Chemical Plant and System Operators,17.22,0.00,7.17,9.23,8.41,7.08
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",15.06,0.00,14.58,12.17,10.45,7.08
"Bus Drivers, School",14.64,0.00,14.64,12.83,10.53,7.07
Signal and Track Switch Repairers,13.79,0.00,13.79,14.28,10.46,6.98
Foresters,12.88,0.00,12.88,1.80,6.89,6.96
"Laborers and Freight, Stock, and Material Movers, Hand",5.97,0.00,5.97,16.64,7.15,6.93
Team Assemblers,13.85,0.00,13.85,13.78,10.37,6.91
Conservation Scientists,14.57,0.00,14.57,10.98,10.03,6.90
Ophthalmic Laboratory Technicians,12.58,0.00,12.58,1.39,6.64,6.88
"Grinding and Polishing Workers, Hand",14.29,0.00,14.29,12.06,10.16,6.85
Psychiatric Technicians,15.72,0.00,12.21,6.80,8.68,6.85
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",20.80,7.99,10.04,20.77,14.90,6.85
Hydroelectric Plant Technicians,10.99,0.00,10.99,16.28,9.57,6.85
Recycling Coordinators,16.18,7.95,13.88,24.45,15.61,6.83
Power Plant Operators,15.78,2.81,11.94,18.37,12.22,6.81
Recycling and Reclamation Workers,0.00,0.00,0.00,13.56,3.39,6.78
Robotics Engineers,51.66,36.31,38.76,40.96,41.92,6.76
"Hairdressers, Hairstylists, and Cosmetologists",31.06,24.00,14.61,23.10,23.19,6.74
Clinical and Counseling Psychologists,28.86,39.26,28.86,23.11,30.02,6.73
"Electrical and Electronics Installers and Repairers, Transportation Equipment",26.09,12.73,23.50,13.98,19.07,6.71
Order Clerks,45.08,50.27,37.35,52.42,46.28,6.70
Gambling Managers,21.88,7.92,21.88,19.41,17.77,6.67
Forest and Conservation Technicians,21.02,5.30,16.84,14.63,14.45,6.65
Demonstrators and Product Promoters,53.10,38.49,41.67,40.14,43.35,6.63
Reinforcing Iron and Rebar Workers,11.47,0.00,11.47,0.00,5.74,6.62
Aircraft Mechanics and Service Technicians,14.03,0.00,14.03,9.01,9.27,6.62
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",11.82,0.00,8.71,15.46,9.00,6.60
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",40.73,46.42,40.73,54.66,45.64,6.59
Marriage and Family Therapists,45.76,37.29,32.88,30.96,36.72,6.58
Molecular and Cellular Biologists,35.84,35.67,23.06,26.12,30.17,6.56
Orthotists and Prosthetists,12.99,0.00,12.99,3.93,7.48,6.56
Firefighters,13.47,0.00,13.47,5.76,8.17,6.55
Range Managers,13.80,0.00,13.80,8.33,8.98,6.52
Neurodiagnostic Technologists,19.38,4.40,12.74,7.79,11.08,6.51
"Orthopedic Surgeons, Except Pediatric",13.62,0.00,13.62,11.12,9.59,6.50
"Eligibility Interviewers, Government Programs",45.25,36.81,37.08,50.05,42.30,6.49
Clinical Neuropsychologists,18.17,5.05,18.17,10.01,12.85,6.47
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",21.63,8.04,16.10,21.72,16.87,6.45
Agricultural Technicians,20.85,6.49,16.92,10.35,13.65,6.45
Textile Bleaching and Dyeing Machine Operators and Tenders,18.56,4.61,15.28,17.71,14.04,6.44
"Buyers and Purchasing Agents, Farm Products",29.58,25.33,24.78,38.69,29.59,6.43
Acupuncturists,19.67,5.05,7.33,10.04,10.52,6.43
Medical Assistants,29.17,22.57,17.88,32.13,25.44,6.43
"Insulation Workers, Floor, Ceiling, and Wall",13.62,0.00,13.62,9.57,9.20,6.43
"Special Education Teachers, Kindergarten",20.58,7.31,20.58,19.02,16.87,6.42
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",18.72,3.60,9.08,13.02,11.11,6.38
"Molders, Shapers, and Casters, Except Metal and Plastic",12.68,2.32,12.68,1.04,7.18,6.37
